CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
1;CH;7952;E;1;0;;1.62500;1.12200;0.17700;AZUL;137;
1;CH;8120;C;16;0;;2.44200;0.20800;0.17100;ROSA;140;
1;CH;9054;C;25;0;;2.16900;1.62100;0.18800;AMARELA;138;
1;CH;9689;A;3;0;;1.76600;-0.10200;0.16400;BRANCA;139;
1;CH;18289;A;17;0;;1.12100;-0.49300;0.19100;BRANCA;154;
2;CH;8011;A;13;0;;1.56800;-0.18900;0.16800;BRANCA;139;
2;CH;8450;E;26;0;;0.92900;0.51800;0.17100;AMARELA;138;
2;CH;8454;E;27;0;;2.15600;2.56700;0.14800;ROSA;140;
2;CH;9690;A;23;0;;2.01600;0.82300;0.20300;AZUL;137;
2;CH;18293;D;4;0;;0.98300;-0.40800;0.15000;BRANCA;154;
3;CH;7569;B;9;0;;2.85100;0.68300;0.13300;ROSA;140;
3;CH;8503;B;9;0;;2.61700;1.09900;0.25200;AMARELA;138;
3;CH;8602;C;21;0;;2.88000;-0.09400;0.17300;BRANCA;154;
3;CH;11047;D;24;0;;1.32400;2.95000;0.28600;AZUL;137;
3;CH;14121;B;24;0;;2.64100;0.46800;0.16000;BRANCA;139;
4;CH;7592;D;21;0;;2.37500;1.92100;0.06600;ROSA;140;
4;CH;7795;D;22;0;;2.15900;0.64400;0.14200;BRANCA;139;
4;CH;8102;B;3;0;;2.15500;0.75200;0.25400;AZUL;137;
4;CH;14529;E;11;0;;2.38300;0.00300;0.16700;AMARELA;138;
4;CH;18295;C;21;0;;3.07100;0.42200;0.15500;BRANCA;154;
5;CH;7586;D;2;0;;1.49300;0.70500;0.14600;ROSA;140;
5;CH;7589;E;12;0;;2.15500;0.21100;0.17100;BRANCA;139;
5;CH;7612;C;22;0;;1.27200;-0.22400;0.20200;AMARELA;138;
5;CH;9689;A;3;0;;1.76600;-0.10200;0.16400;AZUL;137;
5;CH;12151;D;13;0;;2.70400;2.17100;0.22100;BRANCA;154;
6;CH;7597;E;7;0;;1.25300;1.64000;0.26700;BRANCA;139;
6;CH;8011;A;13;0;;1.56800;-0.18900;0.16800;AZUL;137;
6;CH;8416;C;17;0;;1.14700;3.06700;0.24400;ROSA;140;
6;CH;8451;A;29;0;;1.39800;-0.29500;0.15000;AMARELA;138;
6;CH;9514;E;1;0;;1.62400;0.87300;0.15000;BRANCA;154;
7;CH;7572;E;15;0;;1.19400;1.19700;0.22200;BRANCA;139;
7;CH;7952;E;1;0;;1.62500;1.12200;0.17700;AMARELA;138;
7;CH;10932;D;4;0;;2.45100;0.54200;0.14000;ROSA;140;
7;CH;14105;E;12;0;;2.40600;2.06000;0.15900;BRANCA;154;
7;CH;14121;B;24;0;;2.64100;0.46800;0.16000;AZUL;137;
8;CH;6899;E;2;0;;2.16500;0.33300;0.14500;BRANCA;139;
8;CH;7795;D;22;0;;2.15900;0.64400;0.14200;AZUL;137;
8;CH;9104;C;23;0;;2.46100;0.83800;0.20100;BRANCA;154;
8;CH;9690;A;23;0;;2.01600;0.82300;0.20300;AMARELA;138;
8;CH;13850;A;26;0;;1.68700;1.22700;0.12300;ROSA;140;
9;CH;7952;E;1;0;;1.62500;1.12200;0.17700;BRANCA;139;
9;CH;8507;A;24;0;;2.20800;1.55000;0.13000;BRANCA;154;
9;CH;9054;C;25;0;;2.16900;1.62100;0.18800;AZUL;137;
9;CH;9101;E;4;0;;1.68800;2.01000;0.18700;ROSA;140;
9;CH;9689;A;3;0;;1.76600;-0.10200;0.16400;AMARELA;138;
10;CH;7607;D;15;0;;1.30800;1.05700;0.18200;BRANCA;154;
10;CH;8011;A;13;0;;1.56800;-0.18900;0.16800;AMARELA;138;
10;CH;8450;E;26;0;;0.92900;0.51800;0.17100;AZUL;137;
10;CH;9690;A;23;0;;2.01600;0.82300;0.20300;BRANCA;139;
10;CH;11449;C;23;0;;1.13500;2.45200;0.18900;ROSA;140;
11;CH;7952;E;1;0;;1.62500;1.12200;0.17700;ROSA;140;
11;CH;7987;B;13;0;;2.22600;2.50100;0.12900;BRANCA;154;
11;CH;8503;B;9;0;;2.61700;1.09900;0.25200;AZUL;137;
11;CH;9054;C;25;0;;2.16900;1.62100;0.18800;BRANCA;139;
11;CH;14121;B;24;0;;2.64100;0.46800;0.16000;AMARELA;138;
12;CH;7592;D;21;0;;2.37500;1.92100;0.06600;AZUL;137;
12;CH;7795;D;22;0;;2.15900;0.64400;0.14200;AMARELA;138;
12;CH;8450;E;26;0;;0.92900;0.51800;0.17100;BRANCA;139;
12;CH;9690;A;23;0;;2.01600;0.82300;0.20300;ROSA;140;
12;CH;11188;C;7;0;;1.79900;0.30600;0.22600;BRANCA;154;
13;CH;7586;D;2;0;;1.49300;0.70500;0.14600;AZUL;137;
13;CH;8503;B;9;0;;2.61700;1.09900;0.25200;BRANCA;139;
13;CH;9689;A;3;0;;1.76600;-0.10200;0.16400;ROSA;140;
13;CH;9879;B;16;0;;1.47700;1.91400;0.24800;BRANCA;154;
13;CH;11047;D;24;0;;1.32400;2.95000;0.28600;AMARELA;138;
14;CH;8011;A;13;0;;1.56800;-0.18900;0.16800;ROSA;140;
14;CH;8102;B;3;0;;2.15500;0.75200;0.25400;AMARELA;138;
14;CH;8120;C;16;0;;2.44200;0.20800;0.17100;BRANCA;139;
14;CH;8416;C;17;0;;1.14700;3.06700;0.24400;AZUL;137;
14;CH;8423;A;17;0;;1.23600;0.52500;0.16500;BRANCA;154;
15;CH;7589;E;12;0;;2.15500;0.21100;0.17100;AZUL;137;
15;CH;7600;C;10;0;;1.54400;0.87100;0.12900;AMARELA;138;
15;CH;8454;E;27;0;;2.15600;2.56700;0.14800;BRANCA;139;
15;CH;14121;B;24;0;;2.64100;0.46800;0.16000;ROSA;140;
15;CH;18296;A;9;0;;0.77700;1.00100;0.16000;BRANCA;154;
16;CH;7569;B;9;0;;2.85100;0.68300;0.13300;BRANCA;139;
16;CH;7597;E;7;0;;1.25300;1.64000;0.26700;AZUL;137;
16;CH;7795;D;22;0;;2.15900;0.64400;0.14200;ROSA;140;
16;CH;13971;D;15;0;;1.15700;2.74700;0.27100;AMARELA;138;
16;CH;18303;E;8;0;;2.84900;0.70800;0.12800;BRANCA;154;
17;CH;6903;B;18;0;;1.50600;0.78700;0.17100;BRANCA;154;
17;CH;7572;E;15;0;;1.19400;1.19700;0.22200;AZUL;137;
17;CH;8447;C;28;0;;2.07300;1.02900;0.11600;AMARELA;138;
17;CH;11047;D;24;0;;1.32400;2.95000;0.28600;BRANCA;139;
17;CH;11047;D;24;0;;1.32400;2.95000;0.28600;ROSA;140;
18;CH;6899;E;2;0;;2.16500;0.33300;0.14500;AZUL;137;
18;CH;8102;B;3;0;;2.15500;0.75200;0.25400;BRANCA;139;
18;CH;8102;B;3;0;;2.15500;0.75200;0.25400;ROSA;140;
18;CH;9810;B;24;0;;1.35100;2.03200;0.19900;BRANCA;154;
18;CH;14075;E;13;0;;1.13600;0.80600;0.16200;AMARELA;138;
19;CH;7589;E;12;0;;2.15500;0.21100;0.17100;AMARELA;138;
19;CH;7592;D;21;0;;2.37500;1.92100;0.06600;BRANCA;139;
19;CH;8120;C;16;0;;2.44200;0.20800;0.17100;AZUL;137;
19;CH;8452;A;27;0;;2.04500;0.58900;0.19200;ROSA;140;
19;CH;18305;E;19;0;;1.97300;0.65800;0.12100;BRANCA;154;
20;CH;7012;B;20;0;;1.85300;1.53900;0.11100;ROSA;140;
20;CH;7586;D;2;0;;1.49300;0.70500;0.14600;BRANCA;139;
20;CH;7597;E;7;0;;1.25300;1.64000;0.26700;AMARELA;138;
20;CH;8454;E;27;0;;2.15600;2.56700;0.14800;AZUL;137;
20;CH;15284;E;7;0;;2.92200;1.04800;0.11700;BRANCA;154;
21;CH;7569;B;9;0;;2.85100;0.68300;0.13300;AZUL;137;
21;CH;7572;E;15;0;;1.19400;1.19700;0.22200;AMARELA;138;
