question,body,A,B,C,D,E
QUESTÃO 91,"Para serem absorvidos pelas células do intestino humano, os lipídios ingeridos precisam ser primeiramente emulsificados. Nessa etapa da digestão, torna-se necessária a ação dos ácidos biliares, visto que os lipídios apresentam uma natureza apolar e são insolúveis em água. Esses ácidos atuam no processo de modo a",hidrolisar os lipídios.,agir como detergentes.,tornar os lipídios anfifílicos.,promover a secreção de lipases.,estimular o trânsito intestinal dos lipídios.
QUESTÃO 92,"A tecnologia de comunicação da etiqueta RFID (chamada de etiqueta inteligente) é usada há anos para rastrear gado, vagões de trem, bagagem aérea e carros nos pedágios. Um modelo mais barato dessas etiquetas pode funcionar sem baterias e é constituído por três componentes: um microprocessador de silício; uma bobina de metal, feita de cobre ou de alumínio, que é enrolada em um padrão circular; e um encapsulador, que é um material de vidro ou polímero envolvendo o microprocessador e a bobina. Na presença de um campo de radiofrequência gerado pelo leitor, a etiqueta transmite sinais. A distância de leitura é determinada pelo tamanho da bobina e pela potência da onda de rádio emitida pelo leitor. A etiqueta funciona sem pilhas porque o campo",elétrico da onda de rádio agita elétrons da bobina.,elétrico da onda de rádio cria uma tensão na bobina.,magnético da onda de rádio induz corrente na bobina.,magnético da onda de rádio aquece os fios da bobina.,magnético da onda de rádio diminui a ressonância no interior da bobina.
QUESTÃO 93,"Corredores ecológicos visam mitigar os efeitos da fragmentação dos ecossistemas promovendo a ligação entre diferentes áreas, com o objetivo de proporcionar o deslocamento de animais, a dispersão de sementes e o aumento da cobertura vegetal. São instituídos com base em informações como estudos sobre o deslocamento de espécies, sua área de vida (área necessária para o suprimento de suas necessidades vitais e reprodutivas) e a distribuição de suas populações. Nessa estratégia, a recuperação da biodiversidade é efetiva porque",propicia o fluxo gênico.,intensifica o manejo de espécies.,amplia o processo de ocupação humana.,aumenta o número de indivíduos nas populações.,favorece a formação de ilhas de proteção integral.
QUESTÃO 94,"A identificação de riscos de produtos perigosos para o transporte rodoviário é obrigatória e realizada por meio da sinalização composta por um painel de segurança, de cor alaranjada, e um rótulo de risco. As informações inseridas no painel de segurança e no rótulo de risco, conforme determina a legislação, permitem que se identifique o produto transportado e os perigos a ele associados. A sinalização mostrada identifica uma substância que está sendo transportada em um caminhão. Descrição da sinalização: Painel contendo dois números. Na parte superior está o número 268; na parte inferior, o número 1005. Do lado direito há um losango com a ilustração de um crânio humano com dois ossos cruzados e a informação textual: “Gás tóxico 2”. Os três algarismos da parte superior do painel indicam o “Número de risco”. O número 268 indica tratar-se de um gás (2), tóxico (6) e corrosivo (8). Os quatro dígitos da parte inferior correspondem ao “Número ONU”, que identifica o produto transportado. Considerando a identificação apresentada no caminhão, o código 1005 corresponde à substância",eteno (C 2 H4).,nitrogênio (N 2 ).,amônia (NH3).,propano (C3H8).,dióxido de c arbono (CO 2 ).
QUESTÃO 95,"Fundamentos da biologia celular No ciclo celular atuam moléculas reguladoras. Dentre elas, a proteína p53 é ativada em resposta a mutações no DNA, evitando a progressão do ciclo até que os danos sejam reparados, ou induzindo a célula à autodestruição. A ausência dessa proteína poderá favorecer a","redução da síntese de DNA, acelerando o ciclo celular.","saída imediata do ciclo celular, antecipando a proteção do DNA.","ativação de outras proteínas reguladoras, induzindo a apoptose.","manutenção da estabilidade genética, favorecendo a longevidade.","proliferação celular exagerada, resultando na formação de um tumor."
QUESTÃO 96,"Estratificação aquática é o fenômeno de divisão dos lagos em camadas com diferentes temperaturas.  No verão a água mais próxima à superfície é aquecida pelo sol, formando uma camada quente, e a camada inferior do lago se mantém mais fria. No inverno a camada superior esfria, ocorrendo um processo de troca de nutrientes e oxigênio entre as camadas. Esse processo ocorre devido ao(à)",diminuição da taxa de evaporação da água.,aproximação da temperatura entre as camadas.,diminuição da temperatura das camadas inferiores.,aumento da taxa de condensação da umidade do ar.,aumento da densidade da água da camada superior.
QUESTÃO 97,"O grafeno é uma forma alotrópica do carbono constituído por uma folha planar (arranjo bidimensional) de átomos de carbono compactados e com a espessura de apenas um átomo. Sua estrutura é hexagonal, conforme a figura. Nesse arranjo, os átomos de carbono possuem hibridação",sp de geometria linear.,sp dois de geometria trigonal planar.,sp três alternados com carbonos com hibridação sp de geometria linear.,sp três d de geometria planar.,sp três d  dois com geometria hexagonal planar.
QUESTÃO 98,"Um projetista deseja construir um brinquedo que lance um pequeno cubo ao longo de um trilho horizontal, e o dispositivo precisa oferecer a opção de mudar a velocidade de lançamento. Para isso, ele utiliza uma mola e um trilho onde o atrito pode ser desprezado, conforme a figura. Descrição da figura: A figura ilustra o brinquedo como um tubo (trilho horizontal) com a extremidade esquerda fechada e a direita aberta. Uma mola está dentro do tubo, fixada na extremidade fechada e sendo comprimida por um cubo, que se pretende lançar pela parte aberta. Para que a velocidade de lançamento do cubo seja aumentada quatro vezes, o projetista deve",manter a mesma mola e aumentar duas vezes a sua deformação.,manter a mesma mola e aumentar quatro vezes a sua deformação.,manter a mesma mola e aumentar dezesseis vezes a sua deformação.,trocar a mola por outra de constante elástica duas vezes maior e manter a deformação.,"trocar a mola por outra de constante elástica quatro vezes maior e manter a defo rmação. Descrição da estrutura do grafeno: A estrutura apresenta uma rede plana formada por vários hexágonos interligados, que contêm, em cada vértice, um átomo de carbono. Cada átomo de carbono está ligado a outros três átomos de carbono presentes nos vértices desses hexágonos."
QUESTÃO 99,"A liberação de gases poluentes para a atmosfera, provenientes da decomposição do lixo orgânico nos aterros sanitários, tornou-se um grande problema para o meio ambiente. Uma das alternativas para minimizá-lo é o aproveitamento desses gases para gerar energias elétrica e térmica. O gás produzido em grande quantidade utilizado para o propósito mencionado é o",H 2 S.,CH4.,N 2 O.,NO 2 .,SO3.
QUESTÃO 100,"O carro flex é uma realidade no Brasil. Estes veículos estão equipados com motor que tem a capacidade de funcionar com mais de um tipo de combustível. No entanto, as pessoas que têm esse tipo de veículo, na hora do abastecimento, têm sempre a dúvida: álcool ou gasolina? Para avaliar o consumo desses combustíveis, realizou-se um percurso com um veículo flex, consumindo 40 litros de gasolina e no percurso de volta utilizou-se etanol.  Foi considerado o mesmo consumo de energia tanto no percurso de ida quanto no de volta. O quadro resume alguns dados aproximados sobre esses combustíveis. O volume de etanol combustível, em litro, consumido no percurso de volta é mais próximo de",27.,32.,37.,58.,67.
