question,body,A,B,C,D,E
QUESTÃO 01,"Lava Mae: Creating Showers on Wheels for the Homeless San Francisco, according to recent city numbers, has 4,300 people living on the streets. Among the many problems the homeless face is little or no access to showers. San Francisco only has about 16 to 20 shower stalls to accommodate them. But Doniece Sandoval has made it her mission to change that. The 51-year-old former marketing executive started Lava Mae, a sort of showers on wheels, a new project that aims to turn decommissioned city buses into shower stations for the homeless. Each bus will have two shower stations and Sandoval expects that they'll be able to provide 2,000 showers a week. A relação dos vocábulos shower , bus e homeless , no texto, refere-se a",empregar moradores de rua em lava a jatos para ônibus.,criar acesso a banhos gratuitos para moradores de rua.,comissionar sem-teto para dirigir os ônibus da cidade.,exigir das autoridades que os ônibus municipais tenham banheiros.,abrigar dois mil moradores de rua em ônibus que foram adaptados.
QUESTÃO 02,"No cartum, a crítica está no fato de a sociedade exigir do adolescente que",se aposente prematuramente.,amadureça precocemente.,estude aplicadamente.,se forme rapidamente.,ouça atentam ente.
QUESTÃO 03,"Don't write in English, they said, English is not your mother tongue... ...The language I speak Becomes mine, its distortions, its queernessAll mine, mine alone, it is half English, half Indian, funny perhaps, but it is honest,It is as human as I am human... ...It voices my joys, my longings my Hopes... (Kamala Das, 1965:10) A poetisa Kamala Das, como muitos escritores indianos, escreve suas obras em inglês, apesar de essa não ser sua primeira língua. Nesses versos, ela",usa a língua inglesa com efeito humorístico.,recorre a vozes de vários escritores ingleses.,adverte sobre o uso distorcido da língua inglesa.,demonstra consciência de sua identidade linguística.,reconhece a incompreensão na sua maneira de falar inglês.
QUESTÃO 04,"TEXTO I A Free World-class Education for Anyone Anywhere The Khan Academy is an organization on a mission. We're a not-for-profit with the goal of changing education for the better by providing a free world-class education to anyone anywhere. All of the site's resources are available to anyone. The Khan Academy's materials and resources are available to you completely free of charge. TEXTO II I didn't have a problem with Khan Academy site until very recently. For me, the problem is the way Khan Academy is being promoted. The way the media sees it as “revolutionizing education”. The way people with power and money view education as simply “sit-and-get”. If your philosophy of education is “sit-and-get”, i.e., teaching is telling and learning is listening, then Khan Academy is way more efficient than classroom lecturing. Khan Academy does it better. But TRUE progressive educators, TRUE education visionaries and revolutionaries don't want to do these things better. We want to DO BETTER THINGS. Com o impacto das tecnologias e a ampliação das redes sociais, consumidores encontram na internet possibilidades de opinar sobre serviços oferecidos. Nesse sentido, o segundo texto, que é um comentário sobre o site divulgado no primeiro, apresenta a intenção do autor de",elogiar o trabalho proposto para a educação nessa era tecnológica.,reforçar como a mídia pode contribuir para revolucionar a educação.,chamar a atenção das pessoas influentes para o significado da educação.,destacar que o site tem melhores resultados do que a educação tradicional.,"criticar a concepção de educação em que se baseia a organização. Descrição do cartum: O cartum apresenta dois adolescentes caminhando lado a lado, com as mãos no bolso. Eles são muito parecidos e usam roupas semelhantes. Um deles diz: “When I was 5 everyone told me to be a big boy. When I was 10 they told me I should be more mature. Now they say it’s time to start acting like an adult. At this rate, I'll be eligible for social security before I graduate from High School!”."
QUESTÃO 05,"1984 (exc erpt) George Or well ‘Is it your opinion, Winston, that the past has real existence?’ [...] O'Brien smiled faintly. ‘I will put it more precisely. Does the past exist concretely, in space? Is there somewhere or other a place, a world of solid objects, where the past is still happening?’ ‘No.’ ‘Then where does the past exist, if at all?’ ‘In records. It is written down.’ ‘In records. And — — ?’ ‘In the mind. In human memories.’ ‘In memory. Very well, then. We, the Party, control all records, and we control all memories. Then we control the past, do we not?’ O romance 1984 descreve os perigos de um Estado totalitário. A ideia evidenciada nessa passagem é que o controle do Estado se dá por meio do(a)",boicote a ideais libertários.,veto ao culto das tradições.,poder sobre memórias e registros.,censura a produções orais e escritas.,"manipulação de pensamentos individuais. LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS Questões de 01 a 45 Questões de 01 a 05 (o pção espanhol)"
QUESTÃO 01,"Crónica de una muerte anunciada Gabriel García Márquez El día en que lo iban a matar, Santiago Nasar se levantó a las 5:30 de la mañana para esperar el buque en que llegaba el obispo. Había soñado que atravesaba un bosque de higuerones donde caía una llovizna tierna, y por un instante fue feliz en el sueño, pero al despertar se sintió por completo salpicado de cagada de pájaros. “Siempre soñaba con árboles”, me dijo Plácida Linero, su madre, evocando 27 años después los pormenores de aquel lunes ingrato. “La semana anterior había soñado que iba solo en un avión de papel de estaño que volaba sin tropezar por entre los almendros”, me dijo. Tenía una reputación muy bien ganada de intérprete certera de los sueños ajenos, siempre que se los contaran en ayunas, pero no había advertido ningún augurio aciago en esos dos sueños de su hijo, ni en los otros sueños con árboles que él le había contado en las mañanas que precedieron a su muerte. Na introdução do romance, o narrador resgata lembranças de Plácida Linero relacionadas a seu filho Santiago Nasar. Nessa introdução, o uso da expressão augurio aciago  remete ao(à)",relação mística que se estabelece entre Plácida e seu filho Santiago.,"destino trágico de Santiago, que Plácida foi incapaz de prever nos sonhos.",descompasso entre a felicidade de Santiago nos sonhos e seu azar na realidade.,crença de Plácida na importância da interpretação dos sonhos para mudar o futuro.,presença recorrente de elementos sombrios que se revelam nos sonhos de Santiago.
QUESTÃO 02,"Revolución en la arquitectura china Levantar rascacielos en 19 días Un rascacielos de 57 pisos no llama la atención en la China del siglo XXI. Salvo que se haya construido en 19 días, claro. Y eso es precisamente lo que ha conseguido Broad Sustainable Building (BSB), una empresa dedicada a la fabricación de purificadores de aire y de equipos de aire acondicionado para grandes infraestructuras que ahora se ha empeñado en liderar una revolución con su propio modelo de arquitectura modular prefabricada. Como subraya su presidente, Zhang Yue, es una fórmula económica, ecológica, segura, y limpia. Ese último término, además, lo utiliza tanto para referirse al polvo que se produce en la construcción como a los gruesos sobres que suelen circular por debajo de las mesas en adjudicaciones y permisos varios. “Quiero que nuestros edificios alumbren una nueva era en la arquitectura, y que se conviertan en símbolo de la lucha contra la contaminación y el cambio climático, que es la mayor amenaza a la que se enfrenta la humanidad”, sentencia. “Es como montar un Lego. Apenas hay subcontratación, lo cual ayuda a mantener un costo bajo y un control de calidad estricto, y nos permite eliminar también la corrupción inherente al sector”, explica la vicepresidenta de BSB y responsable del mercado internacional, Jiang Yan. No texto, alguns dos benefícios de se utilizar estruturas pré-moldadas na construção de altos edifícios estão expressos por meio da palavra limpia . Essa expressão indica que, além de produzir menos resíduos, o uso desse tipo de estrutura",reduz o contingente de mão de obra.,inibe a corrupção na construção civil.,facilita o controle da qualidade da obra.,apresenta um modelo arquitetônico conciso.,otimiza os custos da construção de edifícios.
QUESTÃO 03,"¿Qué es la X Solidaria ? La X Solidaria es una equis que ayuda a las personas más vulnerables. Podrás marcarla cuando hagas la declaración de la renta. Es la casilla que se denomina “Fines Sociales”. Nosotros preferimos llamarla X Solidaria : • porque al marcarla haces que se destine un  0,7 por ciento de tus impuestos a programas sociales que realizan las ONG. • porque se benefician los colectivos más desfavorecidos, sin ningún coste económico para ti. • porque NO marcarla es tomar una actitud pasiva, y dejar que sea el Estado quien decida el destino de esa parte de tus impuestos. • porque marcándola te conviertes en contribuyente activo solidario. As ações solidárias contribuem para o enfrentamento de problemas sociais. No texto, a ação solidária ocorre quando o contribuinte",delega ao governo o destino de seus impostos.,escolhe projetos que terão isenção de impostos.,destina parte de seus impostos para custeio de programas sociais.,determina a criação de impostos para implantação de projetos sociais.,seleciona programas para beneficiar cidadãos vulneráveis socialmente.
QUESTÃO 04,"¿Cómo gestionar la diversidad lingüística en el aula? El aprendizaje de idiomas es una de las demandas de la sociedad en la escuela: los alumnos tienen que finalizar la escolarización con un buen conocimiento, por lo menos, de las tres lenguas curriculares: catalán, castellano e inglés (o francés, portugués...). La metodología que promueve el aprendizaje integrado de idiomas en la escuela tiene en cuenta las relaciones entre las diferentes lenguas: la mejor enseñanza de una lengua incide en la mejora de todas las demás. Se trata de educar en y para la diversidad lingüística y cultural. Por eso, la V Jornada de Buenas Prácticas de Gestión del Multilingüismo, que se celebrará en Barcelona, debatirá sobre la gestión del multilingüismo en el aula. El objetivo es difundir propuestas para el aprendizaje integrado de idiomas y presentar experiencias prácticas de gestión de la diversidad lingüística presente en las aulas. Na região da Catalunha, Espanha, convivem duas línguas oficiais: o catalão e o espanhol. Além dessas, ensinam-se outras línguas nas escolas. De acordo com o texto, para administrar a variedade linguística nas aulas, é necessário",ampliar o número de línguas ofertadas para enriquecer o conteúdo.,divulgar o estudo de diferentes idiomas e culturas para atrair os estudantes.,privilegiar o estudo de línguas maternas para valorizar os aspectos regionais.,explorar as relações entre as línguas estudadas para promover a diversidade.,debater as práticas sobre multilinguismo para formar melhor os professores de línguas.
QUESTÃO 05,"Mayo 15 Que mañana no sea otro nombre de hoy Eduardo Galeano En el año 2011, miles de jóvenes, despojados de sus casas y de sus empleos, ocuparon las plazas y las calles de varias ciudades de España. Y la indignación se difundió. La buena salud resultó más contagiosa que las pestes, y las voces de los indignados atravesaron las fronteras dibujadas en los mapas. Así resonaron en el mundo: Nos dijeron “ ¡a la puta calle!”, y aquí estamos. Apaga la tele y enciende la calle. La llaman crisis, pero es estafa.No falta dinero: sobran ladrones. Los mercados gobiernan. Yo no los voté. Ellos toman decisiones por nosotros, sin nosotros.Se alquila esclavo económico.Estoy buscando mis derechos. ¿Alguien los ha visto? Si no nos dejan soñar, no los dejaremos dormir. Ao elencar algumas frases proferidas durante protestos na Espanha, o enunciador transcreve, de forma direta, as reivindicações dos manifestantes para",provocá-los de forma velada.,dar voz ao movimento popular.,fomentar o engajamento do leitor.,favorecer o diálogo entre governo e sociedade.,instaurar dúvidas sobre a legitimidade da causa.
