question,body,A,B,C,D,E
Questão 91,"A maioria das pessoas fica com a visão embaçada ao abrir os olhos debaixo dʼágua. Mas há uma exceção: o povo moken, que habita a costa da Tailândia.  Essa característica se deve principalmente à adaptabilidade do olho e à plasticidade do cérebro, o que significa que você também, com algum treinamento, poderia enxergar relativamente bem debaixo dʼágua. Estudos mostraram que as pupilas de olhos de indivíduos moken sofrem redução significativa debaixo dʼágua, o que faz com que os raios luminosos incidam quase paralelamente ao eixo óptico da pupila. A acuidade visual associada à redução das pupilas é fisicamente explicada pela diminuição",da intensidade luminosa incidente na retina.,da difração dos feixes luminosos que atravessam  a pupila.,da intensidade dos feixes luminosos em uma direção por polarização.,do desvio dos feixes luminosos refratados no interior do olho.,das reflexões dos feixes luminosos no interior  do olho.
Questão 92,"O “The Kidney Project” é um projeto realizado por cientistas que pretendem desenvolver um rim biônico que executará a maioria das funções biológicas do órgão. O rim biônico possuirá duas partes que incorporam recentes avanços de nanotecnologia, filtração de membrana e biologia celular. Esse projeto significará uma grande melhoria na qualidade de vida para aquelas pessoas que dependem da hemodiálise para sobrevivência. O dispositivo criado promoverá diretamente a",remoção de ureia.,excreção de lipídios.,síntese de vasopressina.,transformação de amônia.,fabricação de aldosterona.
Questão 93,"Um experimento simples, que pode ser realizado com materiais encontrados em casa, é realizado da seguinte forma: adiciona-se um volume de etanol em um copo de vidro e, em seguida, uma folha de papel. Com o passar do tempo, observa-se um comportamento peculiar: o etanol se desloca sobre a superfície do papel, superando a gravidade que o atrai no sentido oposto, como mostra a imagem. Para parte dos estudantes, isso ocorre por causa da absorção do líquido pelo papel. Descrição da imagem: Copo de vidro que contém próximo de um quarto de seu volume de etanol, no qual está mergulhado verticalmente um pedaço retangular de papel de filtro, que encosta no fundo do copo. Observa-se que o etanol molha o papel de filtro acima do nível do líquido, na imediação da metade do copo. Do ponto de vista científico, o que explica o movimento do líquido é a",evaporação do líquido.,diferença de densidades.,reação química com o papel.,capilaridade nos poros do papel.,resistência ao escoamento do líquido.
Questão 94,"Tratado sobre a luz Quando se considera a extrema velocidade com que a luz se espalha por todos os lados e que, quando vêm de diferentes lugares, mesmo totalmente opostos,  [os raios luminosos] se atravessam uns aos outros sem se atrapalharem, compreende-se que, quando vemos um objeto luminoso, isso não poderia ocorrer pelo transporte de uma matéria que venha do objeto até nós, como uma flecha ou bala atravessa o ar; pois certamente isso repugna bastante a essas duas propriedades da luz, principalmente a última. O texto contesta que concepção acerca do comportamento da luz?","O entendimento de que a luz precisa de um meio de propagação, difundido pelos defensores da existência do éter.","O modelo ondulatório para a luz, o qual  considera a possibilidade de interferência entre  feixes luminosos.","O modelo corpuscular defendido por Newton,  que descreve a luz como um feixe de partículas.","A crença na velocidade infinita da luz, defendida pela maioria dos filósofos gregos.",A ideia def endida pelos gregos de que a luz era pr oduzida pelos olhos.
Questão 95,"Um dos parâmetros de controle de qualidade de polpas de frutas destinadas ao consumo como bebida é a acidez total expressa em ácido cítrico, que corresponde à massa dessa substância em 100 gramas de polpa de fruta. O ácido cítrico é uma molécula orgânica que apresenta três hidrogênios ionizáveis (ácido triprótico) e massa molar 192 gramas por mol . O quadro indica o valor mínimo desse parâmetro de qualidade para polpas comerciais de algumas frutas. Descrição do quadro: Quadro com os tipos de polpa de fruta e seus respectivos valores mínimos da acidez total expressa em ácido cítrico, em grama por 100 gramas. Acerola: 0,8 Caju: 0,3 Cupuaçu: 1,5 Graviola: 0,6 Maracujá: 2,5 A acidez total expressa em ácido cítrico de uma amostra comercial de polpa de fruta foi determinada.  No procedimento, adicionou-se água destilada a 2,2 gramas  da amostra e, após a solubilização do ácido cítrico, o sólido remanescente foi filtrado. A solução obtida foi titulada com solução de hidróxido de sódio 0,01 mol por litro , em que se consumiram 24 mililitros da solução básica (titulante). Entre as listadas, a amostra analisada pode ser de qual polpa de fruta?",Apenas caju.,Apenas maracujá.,Caju ou graviola.,Acerola ou cupuaçu.,Cupuaçu ou graviola.
Questão 96,"Uma cozinheira colocou sal a mais no feijão que estava cozinhando. Para solucionar o problema, ela acrescentou batatas cruas e sem tempero dentro da panela. Quando terminou de cozinhá-lo, as batatas estavam salgadas, porque absorveram parte do caldo com excesso de sal. Finalmente, ela adicionou água para completar o caldo do feijão. O sal foi absorvido pelas batatas por","osmose, por envolver apenas o transporte do solvente.","fagocitose, porque o sal transportado é uma substância sólida.","exocitose, uma vez que o sal foi transportado da água para a batata.","pinocitose, porque o sal estava diluído na água quando foi transportado.","difusão, porque o transporte ocorreu a favor do gradiente de concentração."
Questão 97,"A agricultura de precisão reúne técnicas agrícolas que consideram particularidades locais do solo ou lavoura a fim de otimizar o uso de recursos. Uma das formas de adquirir informações sobre essas particularidades é a fotografia aérea de baixa altitude realizada por um veículo aéreo não tripulado (vant). Na fase de aquisição  é importante determinar o nível de sobreposição entre as fotografias. A figura ilustra como uma sequência de imagens é coletada por um vant e como são formadas as sobreposições frontais. Descrição da imagem:  Ilustração de um vant com câmera fotográfica num voo horizontal. Há 3 triângulos retângulos parcialmente sobrepostos com ângulos agudos de 45 graus, cujos lados tracejados formam um ângulo de 90 graus, oposto à base e com um vant sobre cada um deles. Na parte inferior, há a indicação de 20 por cento de sobreposição frontal (medida da base de um triângulo formado pela sobreposição de dois triângulos). Abaixo dos triângulos há 3 quadrados sobrepostos (numerados de 1 a 3, da esquerda para a direita, e de mesma largura que a base dos triângulos retângulos). Entre os quadrados 1 e 2 e entre os quadrados 2 e 3 há uma área cinza que corresponde aos 20 por cento de sobreposição frontal. O operador do vant recebe uma encomenda na qual as imagens devem ter uma sobreposição frontal de  20 por cento em um terreno plano. Para realizar a aquisição das imagens, seleciona uma altitude H fixa de voo de 1 000 metros , a uma velocidade constante de 50 metros por segundo . A abertura da câmera fotográfica do vant é de 90 graus . Considere tangente de 45 graus igual a 1. Com que intervalo de tempo o operador deve adquirir duas imagens consecutivas?",40 segundos.,32 segundos.,28 segundos.,16 segundos.,8 segundos.
Questão 98,"Uma das técnicas de reciclagem química do polímero PET [poli(tereftalato de etileno)] gera o tereftalato de metila e o etanodiol, conforme o esquema de reação, e ocorre por meio de uma reação de transesterificação. Descrição do esquema de reação: O polímero PET reage com 2 n do composto",", sob condições de altas temperaturas e pressão, formando dois produtos. O reagente PET é um polímero de n monômeros com a estrutura, entre colchetes, de um anel aromático com grupo CO ligado ao carbono 1 e COO ligado ao carbono 4. O oxigênio do grupo COO do carbono 4 faz ligação simples com o grupo CH 2 CH 2 O. Um dos produtos formado tem n moléculas de um composto que contém um anel aromático com grupos COOCH 3 ligados aos carbonos 1 e 4. O outro produto formado tem mais n moléculas do composto HOCH 2 CH 2 OH. O composto A , representado no esquema de reação, é o A metano.",metanol.,éter metílico.,ácido etanoico.,anidrido etanoico.
Questão 99,"Durante sua evolução, as plantas apresentaram grande diversidade de características, as quais permitiram sua sobrevivência em diferentes ambientes. Na imagem, cinco dessas características estão indicadas por números. Descrição da imagem: A imagem representa um cladograma a partir de uma alga verde ancestral, destacando cinco aquisições evolutivas. Aquisição evolutiva 1 (embriões protegidos no gametófito, entre 500 e 450 milhões de anos): linha tracejada para Hepáticas, outra para Antóceros, outra para Musgos e uma linha contínua para aquisição evolutiva 2. Aquisição evolutiva 2 (tecidos condutores verdadeiros, entre 450 e 400 milhões de anos): linha contínua para Licófitas (licopódios, Isoetes e Selaginella ), linha contínua para Pteridófitas (samambaias, cavalinhas, Psilotum ) e outra linha contínua para aquisição evolutiva 3. Aquisição evolutiva 3 (formação de tubo polínico, próximo de 300 milhões de anos): linha contínua para aquisição evolutiva 4 (polinização pelo vento, próximo de 0 milhão de anos) — Gimnospermas; e para aquisição evolutiva 5 (produção de frutos, próximo de 0 milhão de anos) — Angiospermas. A aquisição evolutiva que permitiu a conquista definitiva do ambiente terrestre pelas plantas está indicada pelo número",1 : Embriões protegidos no gametófito .,2 : Tecidos condutores verdadeiros .,3 : Formação de tubo polínico .,4 : Polinização pelo vento .,5 : Produção de frutos .
Questão 100,"Em 1962, um jingle (vinheta musical) criado por Heitor Carillo fez tanto sucesso que extrapolou as fronteiras do rádio e chegou à televisão ilustrado por um desenho animado. Nele, uma pessoa respondia ao fantasma que batia em sua porta, personificando o “frio”, que não o deixaria entrar, pois não abriria a porta e compraria lãs e cobertores para aquecer sua casa. Apesar de memorável, tal comercial televisivo continha incorreções a respeito de conceitos físicos relativos à calorimetria. Para solucionar essas incorreções, deve-se associar à porta e aos cobertores, respectivamente, as funções de:",Aquecer a casa e os corpos.,Evitar a entrada do frio na casa e nos corpos.,Minimizar a perda de calor pela casa e pelos corpos.,Diminuir a entrada do frio na casa e aquecer os corpos.,Aquecer a casa e reduzir a perda de calor pelos corpos.
