question,body,A,B,C,D,E
Questão 01,"Descrição do pôster: Pôster intitulado “ We’re a culture , not a costume” apresenta fotos de quatro pessoas, em quatro quadros, dois acima e dois abaixo, paralelamente. Cada pessoa, em vestimentas comuns, segura imagens de pessoas com vestimentas típicas de suas culturas. A primeira pessoa é uma mulher afro- americana, que segura a foto de quatro jovens: dois homens com chapéus e roupas estampadas e duas mulheres com minissaias. A segunda pessoa é uma jovem com traços asiáticos, que segura a foto de uma mulher vestida com um quimono curto, portando uma sombrinha. A terceira pessoa é um rapaz com traços latinos, que segura a foto de um casal vestindo calças, poncho e chapéu de aba larga, o homem porta um violão. A quarta imagem é de uma mulher com traços indígenas, que segura a foto de um casal com pena na cabeça e portando tacapes. Na interseção dos quatro quadros aparece a seguinte frase: “This is NOT Who We Are, and this is NOT OK”. Na parte inferior central do pôster aparece a identificação: “Office of Diversity and Inclusion”. Nesse pôster de divulgação de uma campanha que aborda a diversidade e a inclusão, a interação dos elementos verbais e não verbais faz referência ao ato de",estereotipar povos de certas culturas.,discriminar hábitos de grupos minoritários.,banir imigrantes de determinadas origens.,julgar padrões de beleza de diversas etnias.,desvalorizar costumes de algumas sociedades.
Questão 2,"Descrição do pôster: Rosto de uma mulher em preto e branco. Numa barra de pesquisa cobrindo sua boca aparecem as seguintes sugestões: “women shouldn’t (cursor)”; “women shouldn’t have rights”; “women shouldn’t vote”; “women shouldn’t work”; “women shouldn’t box”. Estão em destaque os seguintes termos: “have rights”; “vote”; “work”; “box”. À direita da barra, aparece o ícone “PESQUISAR”. Na parte inferior da imagem, a frase: “women shouldn’t suffer from discrimination anymore”. Os recursos usados nesse pôster de divulgação de uma campanha levam o leitor a refletir sobre a necessidade de",criticar o tipo de tratamento dado à mulher.,rever o desempenho da mulher no trabalho.,questionar a sobrecarga de atribuições da mulher.,analisar as pesquisas acerca dos direitos da mulher.,censurar a mulher pelo uso de determinadas palavras.
Questão 3,"Americanah Chimamanda Adichie Finally, Aisha finished with her customer and asked what colour Ifemelu wanted for her hair attachments. “Colour four.” “Not good colour,” Aisha said promptly. “That’s what I use.” “It look dirty. You don’t want colour one?” “Colour one is too black, it looks fake,” Ifemelu said, loosening her headwrap. “Sometimes I use colour two, but colour four is closest to my natural colour.” [...] She touched Ifemelu’s hair. “Why you don’t have relaxer?” “I like my hair the way God made it.” “But how you comb it? Hard to comb,” Aisha said. Ifemelu had brought her own comb. She gently combed her hair, dense, soft and tightly coiled, until it framed her head like a halo. “It’s not hard to comb if you moisturize it properly,” she said, slipping into the coaxing tone of the proselytizer that she used whenever she was trying to convince other black women about the merits of wearing their hair natural. Aisha snorted; she clearly could not understand why anybody would choose to suffer through combing natural hair, instead of simply relaxing it. She sectioned out Ifemelu’s hair, plucked a little attachment from the pile on the table and began deftly to twist. A passagem do romance da escritora nigeriana traz um diálogo entre duas mulheres negras: a cabeleireira, Aisha, e a cliente, Ifemelu. O posicionamento da cliente é sustentado por argumentos que",reforçam um padrão de beleza.,retratam um conflito de gerações.,revelam uma atitude de resistência.,demonstram uma postura de imaturidade.,evidenciam uma mudança de comportamento.
Questão 4,"A Minor Bird I have wished a bird would fly away, And not sing by my house all day; Have clapped my hands at him from the door When it seemed as if I could bear no more. The fault must partly have been in me. The bird was not to blame for his key. And of course there must be something wrong In wanting to silence any song. No poema de Robert Frost, as palavras “fault” e “blame” revelam por parte do eu lírico uma",culpa por não poder cuidar do pássaro.,atitude errada por querer matar o pássaro.,necessidade de entender o silêncio do pássaro.,sensibilização com relação à natureza do pássaro.,irritação quanto à persistência do canto do pássaro.
Questão 5,"A Mother in a Refugee Camp No Madonna and Child could touch Her tenderness for a son She soon would have to forget... The air was heavy with odors of diarrhea, Of unwashed children with washed-out ribs And dried-up bottoms waddling in labored steps Behind blown-empty bellies. Other mothers there Had long ceased to care, but not this one: She held a ghost-smile between her teeth, and in her eyes the memory Of a mother’s pride... She had bathed him And rubbed him down with bare palms. She took from their bundle of possessions A broken comb and combed The rust-colored hair left on his skull And then — humming in her eyes — began carefully [to part it. In their former life this was perhaps A little daily act of no consequence Before his breakfast and school; now she did it Like putting flowers on a tiny grave. O escritor nigeriano Chinua Achebe traz uma reflexão sobre a situação dos refugiados em um cenário pós-guerra civil em seu país. Essa reflexão é construída no poema por meio da representação de uma mãe, explorando a(s)",demonstração de orgulho por não precisar pedir doações.,descrições artísticas detalhadas de uma obra conhecida.,aceitação de um diagnóstico de doença terminal do filho.,consternação ao visitar o túmulo do filho recém-falecido.,impressões sensoriais experimentadas no ambiente.
Questão 01,"El héroe de la família Héctor Sánchez Poco después apareció en casa de Elisenda Morales, arrastrando su cansancio y las contrariedades de un largo día que había dejado su ánimo en ruinas. A pesar de todo, supo resistirlo, y cuando ella le ofreció una copa de mistela, abandonó su asiento para ir hasta la tienda en busca de algo más estimulante. Allí, en el corredor de la casa, en taburetes separados, recibieron los primeros cálidos soplos de la noche. Con su habitual entereza, Elisenda entró a conectar la luz de la sala, sofocando parte de su reflejo, mientras comentaba que así estarían mejor. Al menos, pensó el tío Camarillo, no había sacado la lámpara como otras veces, ni le había entregado alguno de sus álbumes, y parecía en cambio decidida a mantener en ascuas al vecindario. Aquélla fue la primera vez que en mucho tiempo dejaron de lado el tema de las rentas, para entrar con pies de plomo en el espinoso terreno de las confidencias. No texto, no qual é narrada a visita à casa de uma personagem, a expressão “entrar con pies de plomo” é utilizada para se referir ao(à)",determinação para conduzir discussões pessoais.,insensibilidade para lidar com temas do passado.,discrição para administrar questões financeiras.,disposição para resolver problemas familiares.,cuidado para tratar de assuntos íntimos.
Questão 2,"Oye, Pito, ésta es: la vida bruta de un boy Ricardo Sánchez  mis tierras eran nuevo méxico, colorado, california, arizona, tejas, y muchos otros senderos, aún cuando la luz existía sonrientemente en las palabras de mis antepasados... era entonces hombre, maduro y sencillo como los cerros y los peñascos, y mi cultura era el atole, el chaquehue, y los buenos días; mi idioma cantaba versículos por los cañones de tierra roja y tierra amarilla… Hoy sí, hoy ya no soy mejicano ni hispano ni tampoco americano, pero soy — y bien lo siento ser — una sombra del pasado y un esfuerzo hacia el futuro... Ao abordar a expropriação de territórios mexicanos pelos Estados Unidos, o eu lírico do poema revela um(a)",rejeição da língua utilizada por seus antepassados.,desejo de pertencimento ao espaço estadunidense.,certeza de manutenção de suas tradições.,reivindicação de um mundo unificado.,sentimento de conflito de identidades.
Questão 3,"La violencia como bella arte P ues bien, ‘Relatos Salvajes’, de Damián Szifrón, es sobre todo un brillante esfuerzo por poner rostro, por fotografiar, a la parte de la violencia que tanto cuesta ver en el cine. De repente, el director argentino coloca al espectador ante el espectáculo, digamos putrefacto, de una sociedad enferma de su propia indolencia, anestesiada por su ira, incapaz de entender el origen de la insatisfacción que la habita. ¿Cómo se quedan? Sí, estamos delante de la una película vocacionalmente violenta, obligadamente salvaje, pero, y sobre todo, deslumbrante en su claridad. Más allá del esplendor sabio de una producción perfecta, lo que más duele, lo que más divierte, lo que más conmueve es la sensación de reconocimiento. Cada uno de los damnificados, pese a su acento marcadamente argentino, somos nosotros. O, mejor, cada insulto proferido, y no siempre entendido, es nuestro, en algún momento ha salido de nuestra boca. O saldrá. La violencia no es sólo eso que tanto desagrada a los profesionales del buen gusto, a los programadores de ópera o a los filósofos de la nada; la violencia, la realmente insoportable, es también una cuestión de actitud, un simple gesto. Y esa violencia está por todas partes, está dentro. Y Szifrón acierta a retratarla tan fielmente que no queda otra cosa que romper a reír. Aunque sólo sea de simple desesperación. Brillante, magistral incluso. Nessa resenha crítica acerca do filme Relatos Salvajes , o autor evidencia o",cômico como fuga da sociedade diante de situações violentas.,estado de apatia da sociedade perante a violência rotineira do mundo atual.,empecilho para o espectador vivenciar a violência bruta na realidade e na ficção.,sotaque reforçado dos personagens a fim de marcar o espaço do cinema argentino.,autorreconhecimento diante dos diversos tipos de comportamento humano frente à violência.
Questão 4,"Los propietarios de la libertad Mario Benedetti Las palabras cumplen ciclos; las actitudes también. Sin embargo, cuando las palabras designan actitudes, los ciclos se vuelven más complejos. Cuando el hoy tan denostado Sartre puso la palabra compromiso sobre el tapete y hasta Mac Leish publicó un libro sobre la responsabilidad de los intelectuales, estas dos palabras, compromiso y responsabilidad , designaban actitudes que, sin ser gemelas, eran bastante afines. Salvo contadas excepciones, los intelectuales de entonces las hicieron suyas y, equivocados o no, dijeron sin eufemismos por qué empeño se la jugaban. Los intelectuales latinoamericanos también comprendieron dónde estaba esta vez el enemigo. Sólo entonces empezó la mala prensa. Los grandes pontífices de la propaganda subrayaron una y otra vez la palabra libertad y denostaron el compromiso . Libertad no era librarse de Batista o de Somoza, sino mantener la prensa libre . Libertad es la emocionada comprobación de que la gran prensa norteamericana es capaz de descubrir que Lumumba o Allende fueron liquidados por la CIA, sin poner el acento en que eso no sirve para resucitarlos. ¿Y compromiso ? Es la actitud que adoptan ciertos intelectuales, cuya carga ideológica perjudica notoriamente su arte. Después de todo, ¿cómo se atreven a frecuentar las provincias del espíritu, si es público y notorio que tales ámbitos son patrimonio exclusivo de los propietarios de  la libertad ? Transformar palavras em atitudes tem sido um dos grandes dilemas dos intelectuais. Ao ponderar sobre essa temática, o autor, um dos grandes críticos e literatos latino-americanos da atualidade, leva o leitor a perceber que",o compromisso político afasta o artista da criação.,os costumes sociais governam a linguagem e as atitudes das pessoas.,o compromisso ideológico de alguns intelectuais está refletido em suas obras.,a complexidade relacionada ao conceito de liberdade impede o compromisso.,os intelectuais latino-americanos têm um posicionamento acrítico perante o poder.
Questão 5,"Pablo Pueblo Regresa un hombre en silencio De su trabajo cansado Su paso no lleva prisa Su sombra nunca lo alcanza Lo espera el barrio de siempre Con el farol en la esquina Con la basura allá en frente Y el ruido de la cantina Pablo Pueblo llega hasta el zaguán oscuro Y vuelve a ver las paredes Con las viejas papeletas Que prometían futuros en lides politiqueras Y en su cara se dibuja la decepción de la espera. Rubén Blades é um compositor panamenho de canções socialmente engajadas. O título Pablo Pueblo , associado ao conteúdo da letra da canção, revela uma crítica social ao",contrapor a individualidade de um sujeito a uma estrutura social marcada pela decepção na atuação política.,demonstrar que o problema sofrido pelo indivíduo atinge toda a comunidade.,relativizar a importância que se dá ao sofrimento individual em uma estrutura social baseada na exploração.,"descrever a vida de um sujeito que nunca resolve suas inquietações e, por isso, mantém-se silencioso.",usar um apelido jocoso para designar a atuação de um indivíduo em seu próprio bairro.
