question,body,A,B,C,D,E
redação,"• O rascunho da redação deve ser feito no espaço apropriado. • O texto deﬁnitivo deve ser escrito à tinta, na folha própria, em até 30 linhas. • A redação que apresentar cópia dos textos da Proposta de Redação ou do Caderno de Questões terá o número de linhas copiadas desconsiderado para efeito de correção. Receberá nota zero, em qualquer das situações expressas a seguir, a redação que: • tiver até 7 (sete) linhas escrit as, sendo considerada “texto insuﬁciente”. • fugir ao tema ou que não atender ao tipo dissertativo-argumentativo. • apresentar proposta de intervenção que desrespeite os direitos humanos. • apresentar parte do texto deliberadamente desconectada do tema proposto. TEXTOS MOTIVADORES TEXTO I Em consonância com a Constituição da República Federativa do Brasil e com toda a legislação que assegura a liberdade de crença religiosa às pessoas, além de proteção e respeito às manifestações religiosas, a laicidade do Estado deve ser buscada, afastando a possibilidade de interferência de correntes religiosas em matérias sociais, políticas, culturais etc. TEXTO II O direito de criticar dogmas e encaminhamentos é assegurado como liberdade de expressão, mas atitudes agressivas, ofensas e tratamento diferenciado a alguém em função de crença ou de não ter religião são crimes inaﬁançáveis e imprescritíveis. TEXTO III Código Penal CAPÍTULO I Dos Crimes Contra o Sentimento Religioso Ultraje a culto e impedimento ou perturbação de ato a ele relativo Art. 208 - Escarnecer de alguém publicamente, por motivo de crença ou função religiosa; impedir ou perturbar cerimônia ou prática de culto religioso; vilipendiar publicamente ato ou objeto de culto religioso: Pena - detenção, de um mês a um ano, ou multa. Parágrafo único - Se há emprego de violência, a pena é aumentada de um terço, sem prejuízo da correspondente à violência. TEXTO IV Descrição da imagem: Infográﬁco intitulado “Intolerância religiosa no Brasil”, com o subtítulo “Fiéis de religiões afro-brasileiras são as principais vítimas de discriminação”. Nesse infográﬁco, à esquerda, há um grá ﬁco de barras horizontais com o título “Número de denúncias por religião (de 2011 a julho de 2014)”, sendo que as barras representam numericamente os seguintes dados: afro-brasileira – 75 denúncias; evangélica ‒ 58 denúncias;  espírita ‒ 27 denúncias; católica ‒ 22 denúncias; ateus ‒ 8 denúncias; judaica ‒ 6 denúncias;  islâmica ‒ 5 denúncias, e outras ‒ 15 denúncias. Há as seguintes informações à direita do gráﬁco: • 1 denúncia a cada 3 dias. • 213 denúncias com religião não informada. • 20% dos episódios relatados em 2013 envolveram violência física. • 12% dos episódios relatados até julho de 2014 envolveram violência física. De acordo com a fonte informada no infográﬁco, os dados são da Secretaria de Direitos Humanos da Presidência da República. PROPOSTA DE REDAÇÃO A partir da leitura dos textos motivadores e com base nos conhecimentos construídos ao longo de sua formação, redija texto dissertativo-argumentativo em modalidade escrita formal da língua portuguesa sobre o tema “Caminhos para combater a intolerância religiosa no Brasil”, apresentando proposta de intervenção que respeite os direitos humanos. Selecione, organize e relacione, de forma coerente e coesa, argumentos e fatos para defesa de seu ponto de vista. LC - 2º dia | Caderno 6 - CINZA - Página 3",,,,,
QUESTÃO 91,"Ebony and ivory Ebony and ivory live together in perfect harmony Side by side on my piano keyboard, oh Lord, why don’t we? We all know that people are the same wherever we go There is good and bad in ev’ryone, We learn to live, we learn to give Each other what we need to survive together alive Em diferentes épocas e lugares, compositores têm utilizado seu espaço de produção musical para expressar e problematizar perspectivas de mundo. Paul McCartney, na letra dessa canção, defende",o aprendizado compartilhado.,a necessidade de donativos.,as manifestações culturais.,o bem em relação ao mal.,o respeito étnico.
QUESTÃO 92,"Italian university switches to English By Sean Coughlan, BBC News education correspondent 16 May 2012 Last updated at 09:49 GMT Milan is crowded with Italian icons, which makes it even more of a cultural earthquake that one of Italy’s leading universities — the Politecnico di Milano — is going to switch to the English language. The university has announced that from 2014 most of its degree courses — including all its graduate courses — will be taught and assessed entirely in English rather than Italian. The waters of globalisation are rising around higher education — and the university believes that if it remains Italian-speaking it risks isolation and will be unable to compete as an international institution. “We strongly believe our classes should be international classes — and the only way to have international classes is to use the English language”, says the university’s rector, Giovanni Azzone. As línguas têm um papel importante na comunicação entre pessoas de diferentes culturas. Diante do movimento de internacionalização no ensino superior, a universidade Politecnico di Milano decidiu",elaborar exames em língua inglesa para o ingresso na universidade.,ampliar a oferta de vagas na graduação para alunos estrangeiros.,investir na divulgação da universidade no mercado internacional.,substituir a língua nacional para se inserir no contexto da globalização.,estabelecer metas para melhorar a qualidade do ensino de italiano.
QUESTÃO 93,"Descrição do cartaz: Cartaz dividido horizontalmente em duas partes. A parte de cima está com fundo na cor preta com as expressões: “Global Flu Pandemic”, “9 barra 11 Terrorism”, “Earthquake Haiti”, “Katrina Hurricane” e “Chernobyl Nuclear”. As palavras “Flu Pandemic”, “9 barra 11”, “Haiti”, “Katrina” e “Chernobyl” estão em destaque na cor branca, contrastando com as demais palavras em cinza. Na parte inferior do cartaz, sobre fundo branco, há o seguinte texto: “Connecticut? Would you know what to do if disaster struck here? Learn to live prepared. To learn more about living prepared, go to ct.gov/dph/prepare”. Próximo a este texto, há a ﬁgura de outro cartaz, com o seguinte título: “Connecticut Guide to Emergency Preparedness”. Orientações à população são encontradas também em sites oﬁciais. Ao clicar no endereço eletrônico mencionado no cartaz disponível na internet, o leitor tem acesso aos(às)",ações do governo local referentes a calamidades.,relatos de sobreviventes em tragédias marcantes.,tipos de desastres naturais possíveis de acontecer.,informações sobre acidentes ocorridos em Connecticut.,medidas de emergência a serem tomadas em catástrofes.
QUESTÃO 94,"Frankentissue: printable cell technology In November, researchers from the University of Wollongong in Australia announced a new bio-ink that is a step toward really printing living human tissue on an inkjet printer. It is like printing tissue dot-by-dot. A drop of bio-ink contains 10,000 to 30,000 cells. The focus of much of this research is the eventual production of tailored tissues suitable for surgery, like living Band-Aids, which could be printed on the inkjet. However, it is still nearly impossible to effectively replicate nature’s ingenious patterns on a home ofﬁce accessory. Consider that the liver is a series of globules, the kidney a set of pyramids. Those kinds of structures demand 3D printers that can build them up, layer by layer. At the moment, skin and other flat tissues are most promising for the inkjet. O texto relata perspectivas no campo da tecnologia para cirurgias em geral, e a mais promissora para este momento enfoca o(a)",uso de um produto natural com milhares de células para reparar tecidos humanos.,criação de uma impressora especial para traçar mapas cirúrgicos detalhados.,desenvolvimento de uma tinta para produzir pele e tecidos humanos ﬁnos.,reprodução de células em 3D para ajudar nas cirurgias de recuperação dos rins.,extração de glóbulos do fígado para serem reproduzid os em laboratório.
QUESTÃO 95,"BOGOF is used as a noun as in ‘There are some great bogofs on at the supermarket’ or an adjective, usually with a word such as ‘offer’ or ‘deal’ — ‘there are some great bogof offers in store’. When you combine the ﬁrst letters of the words in a phrase or the name of an organisation, you have an acronym. Acronyms are spoken as a word so NATO (North Atlantic Treaty Organisation) is not pronounced N-A-T-O. We say NATO. Bogof, when said out loud, is quite comical for a native speaker, as it sounds like an insult, ‘Bog off!’ meaning go away, leave me alone, slightly childish and a little old-fashioned. BOGOF is the best-known of the supermarket marketing strategies. The concept was ﬁrst imported from the USA during the 1970s recession, when food prices were very high. It came back into fashion in the late 1990s, led by big supermarket chains trying to gain a competitive advantage over each other. Consumers were attracted by the idea that they could get something for nothing. Who could possibly say ‘no’? Considerando-se as informações do texto, a expressão “bogof” é usada para",anunciar mercadorias em promoção.,pedir para uma pessoa se retirar.,comprar produtos fora de moda.,indicar recessão na economia.,"chamar alguém em voz alta. LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS Questões de 91 a 135 Questões de 91 a 95 (opção espanhol)"
QUESTÃO 91,"Preámbulo a las instrucciones para dar cuerda al reloj Piensa en esto: cuando te regalan un reloj te regalan un pequeño inﬁerno florido, una cadena de rosas, un calabozo de aire. No te dan solamente el reloj, que los cumplas muy felices y esperamos que te dure porque es de buena marca, suizo con áncora de rubíes; no te regalan solamente ese menudo picapedrero que te atarás a la muñeca y pasearás contigo. Te regalan — no lo saben, lo terrible es que no lo saben —, te regalan un nuevo pedazo frágil y precario de ti mismo, algo que es tuyo pero no es tu cuerpo, que hay que atar a tu cuerpo con su correa como un bracito desesperado colgándose de tu muñeca. Te regalan la necesidad de darle cuerda todos los días, la obligación de darle cuerda para que siga siendo un reloj; te regalan la obsesión de atender a la hora exacta en las vitrinas de las joyerías, en el anuncio por la radio, en el servicio telefónico. Te regalan el miedo de perderlo, de que te lo roben, de que se te caiga al suelo y se rompa. Te regalan su marca, y la seguridad de que es una marca mejor que las otras, te regalan la tendencia de comparar tu reloj con los d emás relojes. No te regalan un reloj, tú eres el regalado, a ti te ofrecen para el cumpleaños del reloj. Nesse texto, Júlio Cortázar transforma pequenas ações cotidianas em criação literária,",denunciando a má qualidade dos relógios modernos em relação aos antigos.,apresentando possibilidades de sermos presenteados com um relógio.,convidando o leitor a refletir sobre a coisiﬁcação do ser humano.,desaﬁando o leitor a pensar sobre a efemeridade do tempo.,criticando o leitor por ignorar os malefícios do relógio.
QUESTÃO 92,"La Sala II de la Cámara de Casación Penal ordenó que Marcela y Felipe Noble Herrera, los hijos adoptivos de la dueña de Clarín, se sometan “a la extracción directa, con o sin consentimiento, de mínimas muestras de sangre, saliva, piel, cabello u otras muestras biológicas” que les pertenezcan de “manera indubitable” para poder determinar si son hijos de desaparecidos. El tribunal, así, hizo lugar a un reclamo de las Abuelas de Plaza de Mayo y movió un casillero una causa judicial que ya lleva diez años de indeﬁnición. Sin embargo, simultáneamente, ﬁjó un límite y sólo habilitó la comparación de los perﬁles genéticos de los jóvenes con el ADN de las familias de personas “detenidas o desaparecidas con certeza” hasta el 13 de mayo de 1976, en el caso de Marcela, y hasta el 7 de julio del mismo año en el de Felipe. La obtención del material genético no será inmediata, ya que algunas de las partes apelarán y el tema inevitablemente desembocará a la Corte Suprema, que tendrá la palabra ﬁnal sobre la discusión de fondo. “Es una de cal y otra de arena, es querer quedar bien con Dios y con el diablo”, resumió la presidenta de Abuelas, Estela Carlotto, su primera impresión de la resolución que ﬁrmaron Guillermo Yacobucci, Luis García y Raúl Madueño. Aun así la evaluó como “un paso importante” porque determina que “sí o sí la extracción de sangre o de elementos que contengan ADN debe proceder”. “Lo que nos cayó mal”, acotó, es “la limitación” temporal que permitirá que la comparación se haga sólo con un grupo de familias. “Seguimos con la historia de que acá hay de primera y de segunda. ¿Por qué todos los demás casos siempre se han comparado con el Banco (de Datos Genéticos) completo y en éste no?”, se preguntó. Nessa notícia, publicada no jornal argentino Página 12, citam-se comentários de Estela Carlotto, presidente da associação Abuelas de Plaza de Mayo, com relação a uma decisão do tribunal argentino. No contexto da fala, a expressão “una de cal y otra de arena” é utilizada para",referir-se ao fato de a decisão judicial não implicar a sua imediata aplicação.,destacar a inevitável execução da sentença.,ironizar a parcialidade da Justiça nessa ação.,criticar a coleta compulsória do material genético.,enfatizar a determinação judicial como algo consolidado.
QUESTÃO 93,"Descrição da foto: Apresenta-se um muro branco com a seguinte frase graﬁtada: “No supe qué ponerme y me puse feliz. Acción Poética Lima”. Na palavra “puse”, a letra “s” está em destaque. Nesse graﬁte, realizado por um grupo que faz intervenções artísticas na cidade de Lima, há um jogo de palavras com o verbo “poner”. Na primeira ocorrência, o verbo equivale a “vestir uma roupa”, já na segunda, indica",início de ação.,mudança de estado.,conclusão de ideia.,simultaneidade de fatos.,continuidade de processo.
QUESTÃO 94,"Agua Alejandra Ortiz al soñar que un cántaroen la cabeza acarreas,será éxito y triunfo lo que tú veas.Bañarse en un ríodonde el agua escalda,es augurio de enemigosy de cuchillo en la espalda.Bañarse en un río de agua puerca,es perder a alguien cerca. O poema retoma elementos da cultura popular mexicana que refletem um dos aspectos que a constitui, caracterizado pela",percepção dos perigos de banhar-se em rios de águas poluídas.,crença na relevância dos sonhos como premonições ou conselhos.,necessidade de resgate da tradição de carregar água em cântaros.,exaltação da importância da preservação da água.,cautela no trato com inimigos e pessoas traiçoeiras.
QUESTÃO 95,"Inestabilidad estable Los que llevan toda la vida esforzándose por conseguir un pensamiento estable, con suﬁciente solidez como para evitar que la incertidumbre se apodere de sus habilidades, todas esas lecciones sobre cómo asegurarse el porvenir, aquellos que nos aconsejaban que nos dejáramos de bagatelas poéticas y encontráramos un trabajo ﬁjo y etcétera, abuelos, padres, maestros, suegros, bancos y seguradoras, nos estaban dando gato por liebre. Y el mundo, este mundo que nos han creado, que al tocarlo en la pantalla creemos estar transformando a medida de nuestro deseo, nos está modelando según un coeﬁciente de rentabilidad, nos está licuando para integrarnos a su metabolismo reflejo. O título do texto antecipa a opinião do autor pelo uso de dois termos contraditórios que expressam o sentido de","competitividade e busca do lucro, que caracterizam a sociedade contemporânea.","busca de estabilidade ﬁnanceira e emocional, que marca o mundo atual.",negação dos valores defendidos pelas gerações anteriores em relação ao trabalho.,necessidade de realização pessoal e proﬁssional no sistema vigente.,permanência da inconstância em uma sociedade marcada por contínuas mudanças. Questões de 96 a 135
QUESTÃO 96,"Ler não é decifrar, como num jogo de adivinhações, o sentido de um texto. É, a partir do texto, ser capaz de atribuir-lhe signiﬁcado, conseguir relacioná-lo a todos os outros textos signiﬁcativos para cada um, reconhecer nele o tipo de leitura que o seu autor pretendia e, dono da própria vontade, entregar-se a essa leitura, ou rebelar-se contra ela, propondo uma outra não prevista. Nesse texto, a autora apresenta reflexões sobre o processo de produção de sentidos, valendo-se da metalinguagem. Essa função da linguagem torna-se evidente pelo fato de o texto",ressaltar a importância da intertextualidade.,propor leituras diferentes das previsíveis.,apresentar o ponto de vista da autora.,discorrer sobre o ato de leitura.,focar a participação d o leitor.
