question,body,A,B,C,D,E
QUESTÃO 91,"I, too I, too, sing America. I am the darker brother. They send me to eat in the kitchenWhen company comes,But I laugh,And eat well,And grow strong. Tomorrow, I’ll be at the table When company comes.Nobody’ll dare Say to me, “Eat in the kitchen,”Then. Besides, They’ll see how beautiful I amAnd be ashamed I, too, am America.Langston Hughes foi um poeta negro americano que viveu no século XX e escreveu I, too em 1932. No poema, a personagem descreve uma prática racista que provoca nela um sentimento de","coragem, pela superação.","vergonha, pelo retraimento.","compreensão, pela aceitação.","superioridade, pela arrogância.","resignação, pela submissão."
QUESTÃO 92,"23 February 2012 Last update at 16:53 GMT BBC World Service J. K. Rowlin g to pen first novel for adults Author J. K. Rowling has announced plans to publish her first novel for adults, which will be “very different” from the Harry Potter books she is famous for. The book will be published worldwide although no date or title has yet been released. “The freedom to explore new territory is a gift that Harry’s sucess has brought me,” Rowling said. All the Potter books were published by Bloomsbury, but Rowling has chosen a new publisher for her debut into adult fiction. “Although I’ve enjoyed writing it every bit as  much, my next book will be very different to the Harry Potter series, which has been published so brilliantly by Bloomsbury and my other publishers around the world,” she said, in a statement. “I’m delighted to have a second publishing home in Little, Brown, and a publishing team that will be a great partner in this new phase of my writing life.” J. K. Rowling tornou-se famosa por seus livros sobre o bruxo Harry Potter e suas aventuras, adaptados para o cinema. Esse texto, que aborda a trajetória da escritora britânica, tem por objetivo",informar que a famosa série Harry Potter será adaptada para o público adulto.,divulgar a publicação do romance por J. K. Rowling inteiramente para adultos.,promover a nova editora que irá publicar os próximos livros de J. K. Rowling.,informar que a autora de Harry Potter agora pretende escrever para adultos.,anunciar um novo livro da série Harry Potter publicado por editora diferent e.
QUESTÃO 93,"Quotes of the Day Friday, Sep. 02, 2011 “There probably was a shortage of not just respect and boundaries but also love. But you do need, when they cross the line and break the law, to be very tough.” British Prime Minister DAVID CAMERON, arguing that those involved in the recent riots in England need “tough love” as he vows to “get to grips” with the country’s problem families. A respeito dos tumultos causados na Inglaterra em agosto de 2011, as palavras de alerta de David Cameron têm como foco principal",enfatizar a discriminação contra os jovens britânicos e suas famílias.,criticar as ações agressivas demonstradas nos tumultos pelos jovens.,estabelecer relação entre a falta de limites dos jovens e o excesso de amor.,"reforçar a ideia de que os jovens precisam de amor, mas também de firmeza.",descrever o tipo de amor que gera problemas às famílias de jovens britânicos.
QUESTÃO 94,"“When the power of love overcomes the love of POWER, the world will know peace .” Jimi Hendrix Aproveitando-se de seu status social e da possível influência sobre seus fãs, o famoso músico Jimi Hendrix associa, em seu texto, os termos love , power e peace  para justificar sua opinião de que",a paz tem o poder de aumentar o amor entre os homens.,o amor pelo poder deve ser menor do que o poder do amor.,o poder deve ser compartilhado entre aqueles que se amam.,o amor pelo poder é capaz de desunir cada vez mais as pessoas.,a paz será alcançada quando a busca pelo poder deixar de existir.
QUESTÃO 95,"Considere o cartum em que dois homem conversam: O primeiro homem diz:— Aint no way y’all shuld be here if ya dont speak english real good! O outro homem responde: —Sure! May I suggest you avoid double negatives and don’t forget to use an adverb! Cartuns são produzidos com o intuito de satirizar comportamentos humanos e assim oportunizam a reflexão sobre nossos próprios comportamentos e atitudes. Nesse cartum, a linguagem utilizada pelos personagens em uma conversa em inglês evidencia a",predominância do uso da linguagem informal sobre a língua padrão.,dificuldade de reconhecer a existência de diferentes usos da linguagem.,aceitação dos regionalismos utilizados por pessoas de diferentes lugares.,necessidade de estudo da língua inglesa por parte dos personagens.,facilidade de compreensão entre falantes com sotaques distintos.
QUESTÃO 91,"Obituario* Lo enterraron en el corazón de un bosque de pinos y sin embargoel ataúd de pino fue importado de Ohio;lo enterraron al borde de una mina de hierroy sin embargolos clavos de su ataúd y el hierro de la pala fueron importados de Pittsburg; lo enterraron junto al mejor pasto de ovejas del mundoy sin embargolas lanas de los festones del ataúd eran de California.Lo enterraron con un traje de New York,un par de zapatos de Boston,una camisa de Cincinattiy unos calcetines de Chicago. Guatemala no facilitó nada al funeral, excepto el cadáver. * Paráfrasis de un famoso texto norteamericano. O texto de Luis Rogelio Nogueras faz uma crítica",à dependência de produtos estrangeiros por uma nação.,ao comércio desigual entre Guatemala e Estados Unidos.,à má qualidade das mercadorias guatemaltecas.,às dificuldades para a realização de um funeral.,à ausência de recursos naturais na Guatemala.
QUESTÃO 92,"Excavarán plaza ceremonial del frontis norte de huaca de la Luna Trujillo, feb. 25 (ANDINA). Tras limpiar los escombros del saqueo colonial y de las excavaciones de los últimos años en huaca de la Luna, este año se intervendrá la plaza ceremonial del frontis norte, en donde se ubica la gran fachada del sitio arqueológico ubicado en Trujillo, La Libertad, informaron hoy fuentes culturales. Después de varias semanas de trabajo, el material fue sacado del sitio arqueológico para poder apreciar mejor la extensión y forma del patio que, según las investigaciones, sirvió hace unos 1 500 como escenario de extraños rituales. El codirector del Proyecto Arqueológico Huacas del Sol y la Luna, Ricardo Morales Gamarra, sostuvo que con la zona limpia de escombros, los visitantes conocerán la verdadera proporción de la imponente fachada, tal y como la conocieron los moches. Por su parte, el arqueólogo Santiago Uceda, también codirector del proyecto, dijo que las excavaciones se iniciarán este año para determinar qué otros elementos componían dicha área. “Hace poco nos sorprendió encontrar un altar semicircular escalonado. Era algo que no esperábamos. Por lo tanto, es difícil saber qué es lo que aún está escondido en la zona que exploraremos”, señaló Uceda a la Agencia Andina. La huaca de la Luna se localiza en el distrito trujillano de Moche. Es una pirámide de adobe adornada, en sus murales, con impresionantes imágenes mitológicas , muchas de ellas en alto relieve. O texto apresenta informações sobre um futuro trabalho de escavação de um sítio arqueológico peruano. Sua leitura permite inferir que",a pirâmide huaca de la Luna foi construída durante o período colonial peruano.,o sítio arqueológico contém um altar semicircular bastante deteriorado.,a pirâmide huaca de la Luna foi construída com cerâmica.,o sítio arqueológico possui um pátio que foi palco de rituais.,o sítio arqueológico mantém escombros deixados pela civilização moche.
QUESTÃO 93,"Nuestra comarca del mundo, que hoy llamamos América Latina perfeccionó sus funciones. Este ya no es el reino de las maravillas donde la realidad derrotaba a la fábula y la imaginación era humillada por los trofeos de la conquista, los yacimientos de oro y las montañas de plata. Pero la región sigue trabajando de sirvienta. Es América Latina, la región de las venas abiertas. Desde el descubrimiento hasta nuestros días, todo se ha trasmutado siempre en capital europeo o, más tarde, norteamericano, y como tal se ha acumulado y se acumula en los lejanos centros del poder. Todo: la tierra, sus frutos y sus profundidades ricas en minerales, los hombres y su capacidad de trabajo y de consumo, los recursos naturales y los recursos humanos. El modo de producción y la estructura de clases de cada lugar han sido sucesivamente determinados, desde fuera, por su incorporación al engranaje universal del capitalismo. Nuestra derrota estuvo siempre implícita en la victoria ajena; nuestra riqueza ha generado siempre nuestra pobreza para alimentar la prosperidad de otros: los imperios y sus caporales n ativos. A partir da leitura do texto de Eduardo Galeano, retirado da obra Las venas abiertas de América Latina , infere-se que, ao longo da história da América Latina,",suas relações com as nações exploradoras sempre se caracterizaram por uma rede de dependências.,seus países sempre foram explorados pelas mesmas nações desde o início do processo de colonização.,sua sociedade sempre resistiu à aceitação do capitalismo imposto pelo capital estrangeiro.,suas riquezas sempre foram acumuladas longe dos centros de poder.,suas riquezas nunca serviram ao enriquecimento das elites locais.
QUESTÃO 94,"Las Malvinas son nuestras Sí, las islas son nuestras. Esta afirmación no se basa en sentimientos nacionalistas, sino en normas y principios del derecho internacional que, si bien pueden suscitar interpretaciones en contrario por parte de los británicos, tienen la fuerza suficiente para imponerse. Los británicos optaron por sostener el derecho de autodeterminación de los habitantes de las islas, invocando la resolución 1514 de las Naciones Unidas, que acordó a los pueblos coloniales el derecho de independizarse de los Estados colonialistas. Pero esta tesitura es también indefendible. La citada resolución se aplica a los casos de pueblos sojuzgados por una potencia extranjera, que no es el caso de Malvinas, donde Gran Bretaña procedió a expulsar a los argentinos que residían en las islas, reemplazándolos por súbditos de la corona que pasaron a ser kelpers y luego ciudadanos británicos. Además, según surge de la misma resolución, el principio de autodeterminación no es de aplicación cuando afecta la integridad territorial de un país. Finalmente, en cuanto a qué haría la Argentina con los habitantes británicos de las islas en caso de ser recuperadas, la respuesta se encuentra en la cláusula transitoria primera de la Constitución Nacional sancionada por la reforma de 1994, que impone respetar el modo de vida de los isleños, lo que además significa respetar sus intereses. O texto apresenta uma opinião em relação à disputa entre e a Argentina e o Reino Unido pela soberania sobre as Ilhas Malvinas, ocupadas pelo Reino Unido em 1833. O autor dessa opinião apoia a reclamação argentina desse arquipélago, argumentando que",a descolonização das ilhas em disputa está contemplada na lei comum britânica.,as Nações Unidas estão desacreditadas devido à ambiguidade das suas resoluções.,o princípio de autodeterminação carece de aplicabilidade no caso das Ilhas Malvinas.,a população inglesa compreende a reivindicação nacionalista da administração argentina.,os cidadãos de origem britânica assentados nas ilhas seriam repatriados para a Inglaterra.
QUESTÃO 95,"Considere o diálogo entre as personagens Mafalda e Susanita em uma tirinha do Quino, composta por quatro quadrinhos.Primeiro quadrinho: Susanita: — Me revientan los tipos que piensan que la mujer es inferior . Mafalda: — Será que, mas que nada, la ven en tareas domésticas. Segundo quadrinho: Susanita: — ¡Y bueno, es que para eso estamos las mujeres!¡Al fin de cuentas una mujer que no cocina, que no plancha, que no lava, ni limpia, ni nada de eso, es menos mujer, qué diablos! Terceiro quadrinho: Mafalda: — Ah, según vos, una mujer que tenga cocinera, lavandera, mucama y demás, ¿Es poco mujer? Quarto quadrinho: Susanita: — ¡Momentito!... Una cosa es la mujerez y outra el status. A personagem Susanita, no último quadro, inventa o vocábulo mujerez , utilizando-se de um recurso de formação de palavra existente na língua espanhola. Na concepção da personagem, o sentido do vocábulo mujerez remete à",falta de feminilidade das mulheres que não se dedicam às tarefas domésticas.,valorização das mulheres que realizam todas as tarefas domésticas.,inferioridade das mulheres que praticam as tarefas domésticas.,relevância social das mulheres que possuem empregados para realizar as tarefas domésticas.,independência das mulheres que não se prendem apenas às tarefas domésticas.
