question,body,A,B,C,D,E
QUESTÃO 91,"Um fato corriqueiro ao se cozinhar arroz é o derramamento de parte da água de cozimento sobre a chama azul do fogo, mudando-a para uma chama amarela. Essa mudança de cor pode suscitar interpretações diversas, relacionadas às substâncias presentes na água de cozimento. Além do sal de cozinha (NaCl), nela se encontram carboidratos, proteínas e sais minerais. Cientiﬁcamente, sabe-se que essa mudança de cor da chama ocorre pela","reação do gás de cozinha com o sal, volatilizando gás cloro.","emissão de fótons pelo sódio, excitado por causa da chama.","produção de derivado amarelo, pela reação com o carboidrato.","reação do gás de cozinha com a água, formando gás hidrogênio.","excitação das moléculas de proteínas, com formação de luz amarela."
QUESTÃO 92,"A classiﬁcação biológica proposta por Whittaker permite distinguir cinco grandes linhas evolutivas utilizando, como critérios de classiﬁcação, a organização celular e o modo de nutrição. Woese e seus colaboradores, com base na comparação das sequências que codiﬁcam o RNA ribossômico dos seres vivos, estabeleceram relações de ancestralidade entre os grupos e concluíram que os procariontes do reino Monera não eram um grupo coeso do ponto de vista evolutivo. Descrição do quadro: No quadro são apresentadas duas colunas. • A primeira coluna apresenta a Classiﬁcação de Whittaker, do ano 1969, com cinco reinos: Monera, Protista, Fungi, Plantae e Animalia. • A segunda coluna apresenta a Classiﬁcação de Woese, do ano 1990, com três domínios: Archaea, Eubacteria e Eukarya. O reino Monera corresponde aos domínios Archaea e Eubacteria. Os reinos Protista, Fungi, Plantae e Animalia correspondem ao domínio Eukarya. A diferença básica nas classiﬁcações citadas é que a mais recente se baseia fundamentalmente em",tipos de células.,aspectos ecológicos.,relações ﬁlogenéticas.,propriedades ﬁsiológicas.,características morfológicas.
QUESTÃO 93,"Em uma colisão frontal entre dois automóveis, a força que o cinto de segurança exerce sobre o tórax e abdômen do motorista pode causar lesões graves nos órgãos internos. Pensando na segurança do seu produto, um fabricante de automóveis realizou testes em cinco modelos diferentes de cinto. Os testes simularam uma colisão de  0,30 segundo de duração, e os bonecos que representavam os ocupantes foram equipados com acelerômetros. Esse equipamento registra o módulo da desaceleração do boneco, que varia de zero a um valor máximo e volta para zero, no intervalo de tempo considerado . Os parâmetros como massa dos bonecos, dimensões dos cintos e velocidade imediatamente antes e após o impacto foram os mesmos para todos os testes. O resultado ﬁnal obtido está no gráﬁco de aceleração por tempo. Descrição do gráfico: O eixo horizontal apresenta o tempo, em segundo, de 0,00 a 0,30 (com intervalo de 0,05 em 0,05). O eixo vertical apresenta a aceleração, em metro por segundo ao quadrado, de 0 a 200 (com intervalo de 40 em 40).  • Cinto 1: Aceleração máxima de 150 entre o intervalo de tempo de 0,00 a 0,15. • Cinto 2: Aceleração máxima de 60 entre o intervalo de tempo de 0,04 a 0,27. • Cinto 3: Aceleração máxima de 190 entre o intervalo de tempo de 0,12 a 0,20. • Cinto 4: Aceleração máxima de 85 entre o intervalo de tempo de 0,05 a 0,30. • Cinto 5: Aceleração máxima de 170 entre o intervalo de tempo de 0,20 a 0,30. Qual modelo de cinto oferece menor risco de lesão interna ao motorista?",1,2,3,4,5
QUESTÃO 94,"Coagulação acelerada Pesquisadores criaram um tipo de plaqueta artiﬁcial, feita com um polímero gelatinoso coberto de anticorpos, que promete agilizar o processo de coagulação quando injetada no corpo. Se houver sangramento, esses anticorpos fazem com que a plaqueta mude sua forma e se transforme em uma espécie de rede que gruda nas lesões dos vasos sanguíneos e da pele.Qual a doença cujos pacientes teriam melhora de seu estado de saúde com o uso desse material?",Filariose.,Hemoﬁlia.,Aterosclerose.,Doença de Chagas.,Síndrome da imunodeﬁciência adquirida.
QUESTÃO 95,"A farinha de linhaça dourada é um produto natural que oferece grandes benefícios para o nosso organismo. A maior parte dos nutrientes da linhaça encontra-se no óleo desta semente, rico em substâncias lipossolúveis com massas moleculares elevadas. A farinha também apresenta altos teores de ﬁbras proteicas insolúveis em água, celulose, vitaminas lipossolúveis e sais minerais hidrossolúveis. Considere o esquema, que resume um processo de separação dos componentes principais da farinha de linhaça dourada. Descrição do esquema: • A farinha de linhaça é submetida à adição de éter etílico, seguida de agitação e ﬁltração que levam à obtenção do resíduo 1 e do extrato etéreo (fase orgânica). • O resíduo 1 é submetido à adição de água, seguida de agitação e ﬁltração que levam à obtenção do resíduo 2 e do extrato aquoso. • O extrato aquoso é submetido à destilação, e resulta no destilado 2 e no resíduo 3. • O extrato etéreo (fase orgânica) é submetido à destilação, e resulta no destilado 1 e no resíduo 4. O óleo de linhaça será obtido na fração",Destilado 1.,Destilado 2.,Resíduo 2.,Resíduo 3.,Resíduo 4.
QUESTÃO 96,"Automóveis com motores movidos a álcool, quando desregulados, podem produzir quantidades excessivas de monóxido de carbono, um poluente altamente tóxico, na câmara de combustão. Isso ocorre porque o etanol e outros combustíveis orgânicos podem reagir de várias maneiras com o oxigênio, dependendo das condições físico-químicas do sistema. As equações químicas exempliﬁcam duas possíveis reações de combustão do etanol. Descrição das equações químicas: Os reagentes C 2H6O + 7 meios de O2 formam os produtos 2 CO2 + 3 H2O. Os reagentes C2H6O + 5 meios de O2 formam os produtos 2 CO + 3 H2O. Essa desregulagem causou, em relação ao funcionamento normal do motor, um(a)",excesso na admissão de ar.,aumento da proporção etanol por oxigênio.,desativação do catalisador obrigatório.,elevação da pressão na câmara de combustão.,diminuição da temperatura na câmara de combustão.
QUESTÃO 97,"As centrífugas são equipamentos utilizados em laboratórios, clínicas e indústrias. Seu funcionamento faz uso da aceleração centrífuga obtida pela rotação de um recipiente e que serve para a separação de sólidos em suspensão em líquidos ou de líquidos misturados entre si.Nesse aparelho, a separação das substâncias ocorre em função",das diferentes densidades.,dos diferentes raios de rotação.,das diferentes velocidades angulares.,das diferentes quantidades de cada substância.,da diferente coesão molecular de cada substância.
QUESTÃO 98,"Visando explicar uma das propriedades da membrana plasmática, fusionou-se uma célula de camundongo com uma célula humana, formando uma célula híbrida. Em seguida, com o intuito de marcar as proteínas de membrana, dois anticorpos foram inseridos no experimento, um especíﬁco para as proteínas de membrana do camundongo e outro para as proteínas de membrana humana. Os anticorpos foram visualizados ao microscópio por meio de fluorescência de cores diferentes, como mostrado no experimento . Descrição do experimento: • Etapa 1: Seleção de uma célula de camundongo e de uma célula humana. A proteína da membrana de cada célula é representada por formatos diferentes. • Etapa 2: A fusão celular dessas duas células resulta em uma célula híbrida que apresenta, em seu lado esquerdo, o formato da proteína da membrana da célula de camundongo e, do lado direito, o formato da proteína da membrana da célula humana. Foram inseridos anticorpos contra proteínas da membrana de camundongo e anticorpos contra proteínas de membrana humana. Esses anticorpos foram marcados com fluoresceína e rodamina, respectivamente. • Etapa 3: Em tempo zero é possível verificar que os anticorpos marcados com fluoresceína se acoplaram às proteínas da membrana da célula de camundongo, à esquerda, e os anticorpos marcados com rodamina se acoplaram às proteínas da membrana da célula humana, à direita. • Etapa 4: Em tempo igual a 40 minutos, após incubação a 37 graus Celsius, é possível veriﬁcar que os anticorpos acoplados se redistribuíram de maneira intercalada. A mudança observada da etapa 3 para a etapa 4 do experimento ocorre porque as proteínas",movimentam-se livremente no plano da bicamada lipídica.,permanecem conﬁnadas em determinadas regiões da bicamada.,auxiliam o deslocamento dos fosfolipídios da membrana plasmática.,são mobilizadas em razão da inserção de anticorpos.,são bloqueadas pelos anticorpos.
QUESTÃO 99,"Pensando no elevado número de acidentes nas rodovias à noite, a indústria automobilística investiu em um novo sistema de segurança, que consiste num dispositivo de visão noturna. O aparelho é capaz de detectar pedestres e animais, uma vez que é sensível à temperatura dos corpos que estão à sua frente. A partir disso, um computador de bordo converte os dados em imagens, que são mostradas ao motorista. As cores avermelhadas referem-se aos corpos mais próximos ao automóvel, enquanto que as cores azuladas, aos corpos mais distantes.O sistema de segurança capta o sinal do espectro eletromagnético emitido pelos corpos citados, cuja frequência está na faixa de",raios X.,luz visível.,ultravioleta.,micro-ondas.,infravermelho.
QUESTÃO 100,"Fatores ambientais que afetam a precipitação úmida Partículas microscópicas existentes na atmosfera funcionam como núcleos de condensação de vapor de água que, sob condições adequadas de temperatura e pressão, propiciam a formação das nuvens e consequentemente das chuvas. No ar atmosférico, tais partículas são formadas pela reação de ácidos (H X ) com a base NH 3, de forma natural ou antropogênica, dando origem a sais de amônio (NH4 X ), de acordo com a equação química genérica: Descrição da equação química genérica: Os reagentes H X (gasoso) + NH 3 (gasoso) formam o produto NH4 X (sólido). A ﬁxação de moléculas de vapor de água pelos núcleos de condensação ocorre por",ligações iônicas.,interações dipolo-dipolo.,interações dipolo-dipolo induzido.,interações íon-dipolo.,ligações covalentes.
