question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 46,"A expansão das cidades e a formação das aglomerações urbanas no Brasil foram marcadas pela produção industrial e pela consolidação das metrópoles como locais de seu desenvolvimento. Na segunda metade do século XX, as metrópoles brasileiras estenderam-se por áreas de ocupação contínua, configurando densas regiões urbanizadas. O resultado do processo geográfico descrito foi o(a)",valorização da escala local.,crescimento das áreas periféricas.,densificação do transporte ferroviário.,predomínio do planejamento estadual.,inibição de consórcios intermunicipais.,2020,46,CH,B,portuguese
QUESTÃO 47,"Descrição da imagem: Representação que trata da zona de pastoreio e cultura do algodão e cereais do agreste (1963). A figura ilustra os meses do ano em três eixos referentes às culturas do feijão, do milho e do algodão, indicando para cada cultura as convenções de pastoreio, plantio e limpa, crescimento, colheita de feijão, colheita de milho verde, colheita de milho seco e colheita de algodão, apresentando os seguintes dados: O pastoreio ocorre em janeiro e fevereiro na cultura do feijão, em janeiro e fevereiro na cultura do milho e em janeiro e fevereiro na cultura do algodão. O plantio e a limpa ocorrem em março e abril na cultura do feijão, em março e abril na cultura do milho e em maio na cultura do algodão. O crescimento ocorre em maio na cultura do feijão, em maio na cultura do milho e de junho a outubro na cultura do algodão. A colheita do feijão ocorre em junho e julho, a colheita do milho verde ocorre em junho e julho, a colheita do milho seco ocorre de agosto a outubro e a colheita do algodão ocorre em novembro e dezembro. A dinâmica produtiva apresentada na imagem tem como estratégia central a",separação pelo tipo de solo.,exportação da colheita sazonal.,priorização da tecnologia moderna.,adequação pelo tempo da natureza.,intensificação da atividade pecuária.,2020,47,CH,D,portuguese
QUESTÃO 48,"A demanda mundial para a produção de alimentos aumenta progressivamente a taxas muito altas. Atualmente, na maioria dos países, continentes e regiões, a água consumida na agricultura é de cerca de 70 por cento da disponibilidade total. Para que haja a redução da pressão sobre o recurso natural mencionado, a expansão da agricultura demanda melhorias no(a)",fertilização química do solo.,escoamento hídrico do terreno.,manutenção de poços artesianos.,eficiência das técnicas de irrigação.,velocidade das máquinas colheitadeiras.,2020,48,CH,D,portuguese
QUESTÃO 49,"Hegemonias e emancipações no século XXI, Ana Esther Ceceña No caso do Departamento de Defesa dos Estados Unidos, a ênfase está posta no traçado de uma estratégia geral de desarticulação, não só dos inimigos reais como dos potenciais, inserida na concepção preventiva que supõe que a mínima dissidência é um sinal de perigo e de guerra futura. Deve-se ter capacidade para responder a uma guerra convencional tanto quanto para enfrentar um inimigo difuso, atentando simultaneamente para todas as áreas geográficas do planeta. Trata-se, sem dúvida, da estratégia com pretensões mais abrangentes que se desenvolveu até agora. Tomando o texto como parâmetro, qual tendência contemporânea impulsiona a formulação de estratégias mais abrangentes por parte do Estado americano?",Erradicação dos conflitos em territórios.,Propagação de organizações em redes.,Eliminação das diferenças regionais.,Ampliação de modelo democrático.,Projeção da diplomacia mundial.,2020,49,CH,B,portuguese
QUESTÃO 50,"O planejamento deixou de controlar o crescimento urbano e passou a encorajá-lo por todos os meios possíveis e imagináveis. Cidades, a nova mensagem soou em alto e bom som, eram máquinas de produzir riquezas; o primeiro e principal objetivo do planejamento devia ser o de azeitar a máquina. O modelo de planejamento urbano problematizado no texto é marcado pelo(a)",primazia da gestão popular.,uso de práticas sustentáveis.,construção do bem-estar social.,soberania do poder governamental.,ampliação da participação empresarial. ,2020,50,CH,E,portuguese
QUESTÃO 51,"Escudos antigos ou maciços cristalinos são blocos imensos de rochas antigas. Estes escudos são constituídos por rochas cristalinas abre parêntese magmático-plutônicas fecha parêntese, formadas em eras pré-cambrianas, ou por rochas metamórficas abre parêntese material sedimentar fecha parêntese do Paleozoico. São resistentes, estáveis, porém bastante desgastadas. Correspondem a 36 por cento da área territorial e dividem-se em duas grandes porções: o Escudo das Guianas abre parêntese norte da Planície Amazônica fecha parêntese e o Escudo Brasileiro abre parêntese porção centro-oriental brasileira fecha parêntese. As estruturas geológicas indicadas no texto são importantes economicamente para o Brasil por concentrarem",fontes de águas termais.,afloramentos de sal-gema.,jazidas de minerais metálicos.,depósitos de calcário agrícola.,reservas de combustível fóssil.,2020,51,CH,C,portuguese
QUESTÃO 52,"Em A morte de Ivan Ilitch , Tolstoi descreve com detalhes repulsivos o terror de encarar a morte iminente. Ilitch adoece depois de um pequeno acidente e logo compreende que se encaminha para o fim de modo impossível de parar. “Nas profundezas de seu coração, ele sabia estar morrendo, mas em vez de se acostumar com a ideia, simplesmente não o fazia e não conseguia compreendê-la”. O texto descreve a experiência do personagem de Tolstoi diante de um aspecto incontornável de nossas vidas. Esse aspecto foi um tema central na tradição filosófica","marxista, no contexto do materialismo histórico.","logicista, no propósito de entendimento dos fatos.","utilitarista, no sentido da racionalidade das ações.","pós-modernista, na discussão da fluidez das relações.","existencialista, na questão do reconhecimento de si.",2020,52,CH,E,portuguese
QUESTÃO 53,"Afirmar que a cartografia da época moderna integrou o processo de invenção da América por parte dos europeus significa que os conhecimentos dos ameríndios sobre o território foram ignorados pela cartografia europeia ou que eles foram privados de sua representação territorial e da autoridade que seus conhecimentos tinham sobre o espaço. Na análise contida no texto, a representação cartográfica da América foi marcada por",asserção da cultura dos nativos.,avanço dos estudos do ambiente.,afirmação das formas de dominação.,exatidão da demarcação das regiões.,aprimoramento do conceito de fronteira.,2020,53,CH,C,portuguese
QUESTÃO 54,"A democracia na América, Alexis Tocqueville A principal característica da situação social dos anglo-americanos é seu caráter eminentemente democrático. Afirmei anteriormente que reinava uma igualdade muito grande entre os emigrantes que foram se estabelecer na Nova Inglaterra. Para isso contribuiu a influência das leis de sucessão. Estabelecidas de uma maneira, as leis de sucessão reúnem, concentram e agrupam em um só a propriedade e o poder. Estabelecidas por outros princípios, produzem o oposto: dividem, partilham e disseminam os bens e o poder. O texto tematiza o papel desempenhado por uma norma na criação de um ambiente propício ao(à)",emprego do trabalho escravo.,consolidação dos valores burgueses.,banimento das dissidências religiosas.,contenção da identificação nacionalista.,hierarquização dos agentes econômicos.,2020,54,CH,B,portuguese
QUESTÃO 55,"Política, Aristóteles Vemos que toda cidade é uma espécie de comunidade, e toda comunidade se forma com vistas a algum bem, pois todas as ações de todos os homens são praticadas com vistas ao que lhe parece um bem; se todas as comunidades visam algum bem, é evidente que a mais importante de todas elas e que inclui todas as outras tem mais que todas este objetivo e visa ao mais importante de todos os bens. No fragmento, Aristóteles promove uma reflexão que associa dois elementos essenciais à discussão sobre a vida em comunidade, a saber:","Ética e política, pois conduzem à eudaimonia .","Retórica e linguagem, pois cuidam dos discursos na ágora.","Metafísica e ontologia, pois tratam da filosofia primeira.","Democracia e sociedade, pois se referem a relações sociais.","Geração e corrupção, pois abarcam o campo da physis .",2020,55,CH,A,portuguese
QUESTÃO 56,"O toyotismo, a partir dos anos 1970, teve grande impacto no mundo ocidental, quando se mostrou para os países avançados como uma opção possível para a superação de uma crise de acumulação. A característica organizacional do modelo em questão, requerida no contexto de crise, foi o(a)",expansão dos grandes estoques.,incremento da fabricação em massa.,adequação da produção à demanda.,aumento da mecanização do trabalho.,centralização das etapas de planejamento. ,2020,56,CH,C,portuguese
QUESTÃO 57,"Migrações e trabalho sob contrato no século XIX, Marco Aurelio dos Santos  O fenômeno histórico conhecido como “tráfico de coolies ” esteve associado diretamente ao período que vai do final da década de 1840 até o ano de 1874, quando milhares de chineses foram encaminhados principalmente para Cuba e o Peru e muitos abusos no recrutamento de mão de obra foram identificados. O tráfico de coolies ou, em outros termos, o transporte por meios coativos de mão de obra de um lugar para outro, foi comparado ao tráfico africano de escravos por muitos periodistas e analistas do século XIX. A comparação mencionada no texto foi possível em razão da seguinte característica:",Oferta de contrato formal.,Origem étnica dos grupos de trabalhadores.,Conhecimento das tarefas desenvolvidas.,Controle opressivo das vidas dos indivíduos.,Investimento requerido dos empregadores.,2020,57,CH,D,portuguese
QUESTÃO 58,Os aspectos físicos apresentados originam-se da atuação da força natural de,colisão de placas tectônicas.,rifteamento da crosta terrestre.,subducção da plataforma oceânica.,formação de cadeias montanhosas.,metamorfismo de bordas continentais.,2020,58,CH,B,portuguese
QUESTÃO 59,"A reabilitação da biografia histórica integrou as aquisições da história social e cultural, oferecendo aos diferentes atores históricos uma importância diferenciada, distinta, individual. Mas não se tratava mais de fazer, simplesmente, a história dos grandes nomes, em formato hagiográfico — quase uma vida de santo —, sem problemas, nem máculas. Mas de examinar os atores abre parêntese ou o ator fecha parêntese  célebres ou não, como testemunhas, como reflexos, como reveladores de uma época. De acordo com o texto, novos estudos têm valorizado a história do indivíduo por se constituir como possibilidade de",adesão ao método positivista.,expressão do papel das elites.,resgate das narrativas heroicas.,acesso ao cotidiano das comunidades.,"interpretação das manifestações do divino. Descrição da imagem : Representação cartográfica mostrando o Vale da Grande Fenda, que se estende ao longo da imagem, abrangendo partes da Ásia e da África, com a indicação de vulcões ao longo desse vale.",2020,59,CH,D,portuguese
QUESTÃO 60,"A sociedade como um sistema justo de cooperação social consiste em uma das ideias familiares fundamentais, que dá estrutura e organização à justiça como equidade. A cooperação social guia-se por regras e procedimentos publicamente reconhecidos e aceitos por aqueles que cooperam como sendo apropriados para regular a sua conduta. Diz-se que a cooperação é justa porque seus termos são tais que todos os participantes podem razoavelmente aceitar, desde que todos os demais também o aceitem. No contexto do pensamento político, a ideia apresentada mostra-se consoante o(a)",ideal republicano de governo.,corrente tripartite dos poderes.,posicionamento crítico do socialismo.,legitimidade do absolutismo monárquico.,entendimento do contratualismo moderno.,2020,60,CH,E,portuguese
QUESTÃO 61,"Com efeito, até a destruição de Cartago, o povo e o Senado romano governavam a República em harmonia e sem paixão, e não havia entre os cidadãos luta por glória ou dominação; o medo do inimigo mantinha a cidade no cumprimento do dever. Mas, assim que o medo desapareceu dos espíritos, introduziram-se os males pelos quais a prosperidade tem predileção, isto é, a libertinagem e o orgulho. O acontecimento histórico mencionado no texto de Salústio, datado de I a.C., manteve correspondência com o processo de",demarcação de terras públicas.,imposição da escravidão por dívidas.,restrição da cidadania por parentesco.,restauração de instituições ancestrais.,expansão das fronteiras extrapeninsulares. ,2020,61,CH,E,portuguese
QUESTÃO 62,"O movimento sedicioso ocorrido na capitania de Pernambuco, no ano 1817, foi analisado de formas diferentes por dois meios de comunicação daquela época. O Correio Braziliense apontou para o fato de ser “a comoção no Brasil motivada por um descontentamento geral, e não por maquinações de alguns indivíduos”. Já a Gazeta do Rio de Janeiro considerou o movimento como um “pontual desvio de norma, apenas uma ‘mancha’ nas ‘páginas da História Portuguesa’, tão distinta pelos testemunhos de amor e respeito que os vassalos desta nação consagram ao seu soberano”. Os fragmentos das matérias jornalísticas sobre o acontecimento, embora com percepções diversas, relacionam-se a um aspecto do processo de independência da colônia luso-americana expresso em dissensões entre",quadros dirigentes em torno da abolição da ordem escravocrata.,grupos regionais acerca da configuração político- -territorial.,intelectuais laicos acerca da revogação do domínio eclesiástico.,homens livres em torno da extensão do direito de voto.,elites locais acerca da ordenação do monopólio fundiário.,2020,62,CH,B,portuguese
