question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 136,"Os celulares das áreas com DDD 11 ganharam o dígito “9” no início do número; ou seja, se o número do telefone era XYWT-HGMK agora será 9XYWT-HGMK , no qual as letras correspondem a dígitos. Antes da inclusão do “9”, o dígito X poderia assumir somente os valores 6, 7, 8 ou 9. Após a inclusão, X também poderá assumir os valores 1, 2, 3, 4 ou 5. A quantidade total de linhas telefônicas para celulares nas áreas de DDD 11, agora, é igual a",1 814 400.,3 628 800.,90 000 000.,100 000 000.,360 000 000.,2016,136,MT,C,portuguese
QUESTÃO 137,"Para garantir a segurança de um grande evento público que terá início às 4 horas da tarde, um organizador precisa monitorar a quantidade de pessoas presentes em cada instante. Para cada 2 000 pessoas se faz necessária a presença de um policial. Além disso, estima-se uma densidade de quatro pessoas por metro quadrado de área de terreno ocupado. Às 10 horas da manhã, o organizador veriﬁca que a área de terreno já ocupada equivale a um quadrado com lados medindo 500 metros. Porém, nas horas seguintes, espera-se que o público aumente a uma taxa de 120 000 pessoas por hora até o início do evento, quando não será mais permitida a entrada de público. Quantos policiais serão necessários no início do evento para garantir a segurança?",360,485,560,740,860,2016,137,MT,E,portuguese
QUESTÃO 138,"A permanência de um gerente em uma empresa está condicionada à sua produção no semestre. Essa produção é avaliada pela média do lucro mensal do semestre. Se a média for, no mínimo, de 30 mil reais, o gerente permanece no cargo, caso contrário, ele será despedido. Descrição do quadro: Quadro que apresenta o lucro mensal da empresa, em milhares de reais, de janeiro a maio do ano em curso é: Janeiro: 21; Fevereiro: 35; Março: 21; Abril: 30 e Maio: 38. Qual deve ser o lucro mínimo da empresa no mês de junho, em milhares de reais, para o gerente continuar no cargo no próximo semestre?",26,29,30,31,35 ,2016,138,MT,E,portuguese
QUESTÃO 139,"A diretoria de um clube decide construir um estádio de futebol, e quer que o campo de futebol tenha a forma de um retângulo de lados 105 metros e 75 metros. Para tal, contrata uma equipe que faz a maquete do estádio, numa escala de 1 para 250. Na fase de acabamento da maquete, a tinta terminou quando 75 por cento da área que representa o campo já estava pintada. Qual é a área, em centímetro quadrado, que representa a parte do campo de futebol na maquete que não recebeu pintura?","23,625","31,500","315,000","1 260,000","1 968,750",2016,139,MT,C,portuguese
QUESTÃO 140,"Em uma cidade, o número de casos de dengue conﬁrmados aumentou consideravelmente nos últimos dias. A prefeitura resolveu desenvolver uma ação contratando funcionários para ajudar no combate à doença, os quais orientarão os moradores a eliminarem criadouros do mosquito Aedes aegypti , transmissor da dengue. Descrição da tabela: Tabela que indica o número de casos conﬁrmados nas regiões da cidade. Oeste: 237; Centro: 262; Norte: 158; Sul: 159; Noroeste: 160; Leste: 278; Centro-Oeste: 300 e Centro-Sul: 278. A prefeitura optou pela seguinte distribuição dos funcionários a serem contratados: Um: 10 funcionários para cada região da cidade cujo número de casos seja maior que a média dos casos conﬁrmados. Dois: 7 funcionários para cada região da cidade cujo número de casos seja menor ou igual à média dos casos conﬁrmados. Quantos funcionários a prefeitura deverá contratar para efetivar a ação?",59,65,68,71,80,2016,140,MT,D,portuguese
QUESTÃO 141,Cinco marcas de pão integral apresentam as seguintes concentrações de ﬁbras (massa de ﬁbra por massa de pão): • Marca A: 2 gramas de ﬁbras a cada 50 gramas de pão; • Marca B: 5 gramas de ﬁbras a cada 40 gramas de pão; • Marca C: 5 gramas de ﬁbras a cada 100 gramas de pão; • Marca D: 6 gramas de ﬁbras a cada 90 gramas de pão; • Marca E: 7 gramas de ﬁbras a cada 70 gramas de pão. Recomenda-se a ingestão do pão que possui a maior concentração de ﬁbras. A marca a ser escolhida é,A.,B.,C.,D.,E. ,2016,141,MT,B,portuguese
QUESTÃO 142,"Em regiões agrícolas, é comum a presença de silos para armazenamento e secagem da produção de grãos, no formato de um cilindro reto, sobreposto por um cone, e dimensões indicadas na ﬁgura. O silo ﬁca cheio e o transporte dos grãos é feito em caminhões de carga cuja capacidade é de 20 metros cúbicos . Uma região possui um silo cheio e apenas um caminhão para transportar os grãos para a usina de beneﬁciamento. Descrição da figura: A ﬁgura mostra três silos idênticos. Cada um dos silos tem a parte inferior em formato cilíndrico, com raio da base medindo 3 metros e altura de 12 metros. A parte superior, acoplada ao cilindro, tem formato cônico, com raio da base e altura medindo 3 metros. Utilize 3 como aproximação para pi. O número mínimo de viagens que o caminhão precisará fazer para transportar todo o volume de grãos armazenados no silo é",6.,16.,17.,18.,21.,2016,142,MT,D,portuguese
QUESTÃO 143,"Em uma empresa de móveis, um cliente encomenda um guarda-roupa nas dimensões 220 centímetros de altura, 120 centímetros de largura e 50 centímetros de profundidade. Alguns dias depois, o projetista, com o desenho elaborado na escala 1 para 8, entra em contato com o cliente para fazer sua apresentação. No momento da impressão, o proﬁssional percebe que o desenho não caberia na folha de papel que costumava usar. Para resolver o problema, conﬁgurou a impressora para que a ﬁgura fosse reduzida em 20 por cento. A altura, a largura e a profundidade do desenho impresso para a apresentação serão, respectivamente,","22,00 centímetros, 12,00 centímetros e 5,00 centímetros.","27,50 centímetros, 15,00 centímetros e 6,25 centímetros.","34,37 centímetros, 18,75 centímetros e 7,81 centímetros.","35,20 centímetros, 19,20 centímetros e 8,00 centímetros.","44,00 centímetros, 24,00 centímetros e 10,00 centímetros.",2016,143,MT,A,portuguese
QUESTÃO 144,"A London Eye é uma enorme roda-gigante na capital inglesa. Por ser um dos monumentos construídos para celebrar a entrada do terceiro milênio, ela também é conhecida como Roda do Milênio. Um turista brasileiro, em visita à Inglaterra, perguntou a um londrino o diâmetro da Roda do Milênio e ele respondeu que ele tem 443 pés. Não habituado com a unidade pé, e querendo satisfazer sua curiosidade, esse turista consultou um manual de unidades de medidas e constatou que 1 pé equivale a 12 polegadas, e que 1 polegada equivale a 2,54 cm. Após alguns cálculos de conversão, o turista ﬁcou surpreendido com o resultado obtido em metros. Qual a medida que mais se aproxima do diâmetro da Roda do Milênio, em metro?",53,94,113,135,145 ,2016,144,MT,D,portuguese
QUESTÃO 145,"Cinco competidores de salto com varas ﬁzeram uma aposta: será o vencedor aquele que obtiver a maior média aritmética das alturas atingidas. No caso de empate, vence o que tiver a menor variância. Ao computar as alturas dos saltos de cada competidor, em metro, obteve-se: Descrição da imagem: Competidor um: primeiro salto: 4,5 e segundo salto: 5,5 Competidor dois: primeiro salto: 4,0 e segundo salto: 6,5 Competidor três: primeiro salto: 5,6 e segundo salto: 5,4Competidor quatro: primeiro salto: 5,9 e segundo salto: 5,1Competidor cinco: primeiro salto: 5,5 e segundo salto: 5,5 Venceu a prova o competidor",1.,2.,3.,4.,5.,2016,145,MT,E,portuguese
