question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 91,"Megaespetáculos com queima de grande quantidade de fogos de artifício em festas de final de ano são muito comuns no Brasil. Após a queima, grande quantidade de material particulado permanece suspensa no ar. Entre os resíduos, encontram-se compostos de sódio, potássio, bário, cálcio, chumbo, antimônio, cromo, além de percloratos e gases, como os dióxidos de nitrogênio e enxofre. Esses espetáculos promovem riscos ambientais, porque",as substâncias resultantes da queima de fogos de artifício são inflamáveis.,os resíduos produzidos na queima de fogos de artifício ainda são explosivos.,o sódio e o potássio são os principais responsáveis pela toxicidade do produto da queima.,os produtos da queima contêm metais pesados e gases tóxicos que resultam em poluição atmosférica.,o material particulado gerado se deposita na superfície das folhas das plantas impedindo os processos de respiração celular.,2020,91,CN,D,portuguese
QUESTÃO 92,"Há muitos mitos em relação a como se proteger de raios: cobrir espelhos e não pegar em facas, garfos e outros objetos metálicos, por exemplo. Mas, de fato, se houver uma tempestade com raios, alguns cuidados são importantes, como evitar ambientes abertos. Um bom abrigo para proteção é o interior de um automóvel, desde que este não seja conversível. Qual o motivo físico da proteção fornecida pelos automóveis, conforme citado no texto?",Isolamento elétrico dos pneus.,Efeito de para-raios da antena.,Blindagem pela carcaça metálica.,Escoamento da água pela lataria.,Aterramento pelo fio terra da bateria.,2020,92,CN,C,portuguese
QUESTÃO 93,"As moedas despertam o interesse de colecionadores, numismatas e investidores há bastante tempo. Uma moeda de 100 por cento cobre, circulante no período do Brasil Colônia, pode ser bastante valiosa. O elevado valor gera a necessidade de realização de testes que validem a procedência da moeda, bem como a veracidade de sua composição. Sabendo que a densidade do cobre metálico é próxima de 9 gramas por centímetro cúbico , um investidor negocia a aquisição de um lote de quatro moedas, A, B, C e D, fabricadas supostamente de 100 por cento cobre e massas 26 gramas, 27 gramas, 10 gramas e 36 gramas, respectivamente. Com o objetivo de testar a densidade das moedas, foi realizado um procedimento em que elas foram sequencialmente inseridas em uma proveta contendo 5 mililitros de água, conforme esquematizado. Descrição do esquema gráfico: Esquema gráfico com a representação de cinco cilindros (provetas) que contêm água e moedas. Da esquerda para a direita. A primeira proveta contém apenas água, para a qual o eixo vertical do gráfico indica um volume de água igual a 5 mililitros. Na segunda proveta a moeda A está imersa em água, de modo a indicar no eixo vertical um volume total igual a 7 mililitros. Na terceira proveta encontram-se imersas em água uma moeda A e uma moeda B, totalizando um volume de 10 mililitros no eixo vertical do gráfico. Na quarta proveta há três moedas imersas: A, B e C, totalizando um volume de 12 mililitros. Na quinta proveta há quatro moedas imersas em água: A, B, C e D, totalizando um volume de 16 mililitros. Com base nos dados obtidos, o investidor adquiriu as moedas",A e B.,A e C.,B e C.,B e D.,C e D.,2020,93,CN,D,portuguese
QUESTÃO 94,"Os diferentes tipos de café que consumimos nem sempre vêm da mesma espécie de planta. As duas espécies de café mais utilizadas são Coffea canephora e Coffea arabica . A primeira é diploide (2 vezes n é igual a 22) e a segunda é tetraploide (2 vezes n é igual a 44). Acredita-se que a espécie tetraploide surgiu de um cruzamento natural entre C . canephora e C . eugenioides , ambas diploides, há milhões de anos. De fato, as análises genéticas atuais nos cromossomos de C . arabica detectam os alelos de ambas as origens. A alteração cromossômica que poderia explicar o surgimento do café da espécie C . arabica é:",Duplicação em uma das plantas parentais antes do cruzamento.,Inversão durante a meiose gamética em ambas as plantas parentais.,Separação desigual na meiose gamética de uma das plantas parentais.,Falha na separação durante a meiose gamética em ambas as plantas parentais.,Deleções durante as primeiras mitoses zigóticas na planta descendente C . arabica .,2020,94,CN,anulada,portuguese
QUESTÃO 95,"Os manuais de refrigerador apresentam a recomendação de que o equipamento não deve ser instalado próximo a fontes de calor, como fogão e aquecedores, ou em local onde incida diretamente a luz do sol. A instalação em local inadequado prejudica o funcionamento do refrigerador e aumenta o consumo de energia. O não atendimento dessa recomendação resulta em aumento do consumo de energia porque",o fluxo de calor por condução no condensador sofre considerável redução.,a temperatura da substância refrigerante no condensador diminui mais rapidamente.,o fluxo de calor promove significativa elevação da temperatura no interior do refrigerador.,a liquefação da substância refrigerante no condensador exige mais trabalho do compressor.,as correntes de convecção nas proximidades do condensador ocorrem com maior dificuldade.,2020,95,CN,D,portuguese
QUESTÃO 96,"Durante a realização de uma partida de futebol, os jogadores perceberam que a bola estava murcha. Para calibrar a bola, um jogador utilizou uma bomba pneumática manual, composta por um êmbolo que desliza no interior de um cilindro feito de plástico. No processo de calibração da bola, o jogador percebeu que a parte final da bomba em contato com sua mão, e que fica mais próxima ao bico da bomba, ficou bem quente. O significativo aquecimento notado pelo jogador deve-se ao(à)",atrito sucessivo entre o êmbolo e as paredes internas da bomba.,transferência de calor por condução das mãos do jogador para a bomba.,aumento da energia interna do ar contido na bomba a cada compressão promovida.,turbilhonamento promovido nas porções de ar confinadas acima e abaixo do êmbolo.,expansão do ar na saída pela parte inferior da bomba a cada compressão promovida.,2020,96,CN,C,portuguese
QUESTÃO 97,"A Torre Eiffel, com seus 324 metros de altura, feita com treliças de ferro, pesava 7 300 toneladas quando terminou de ser construída em 1889. Um arquiteto resolve construir um protótipo dessa torre em escala 1 para 100, usando os mesmos materiais (cada dimensão linear em escala de 1 para 100 do monumento real). Considere que a torre real tenha uma massa M1 e exerça na fundação sobre a qual foi erguida uma pressão P1. O modelo construído pelo arquiteto terá uma massa M2 e exercerá uma pressão P2. Como a pressão exercida pela torre se compara com a pressão exercida pelo protótipo? Ou seja, qual é o valor da razão entre as pressões (P1 dividido por P2)?",10 elevado a zero .,10 elevado a um .,10 elevado a dois .,10 elevado a quatro .,10 elevado a seis .,2020,97,CN,C,portuguese
QUESTÃO 98,"Um chuveiro elétrico foi instalado indevidamente, de forma que, quando é ligado com a chave seletora na posição inverno, a água fica com temperatura baixa. Verifica-se que o chuveiro está ligado a um disjuntor de 50 ampères e a corrente medida é de cerca de 30 ampères. A potência do chuveiro, como especificado, é de 4 400 watts na tensão de 110 volts. Para aquecer a água até a temperatura máxima, pode-se",diminuir o comprimento da resistência elétrica do chuveiro.,substituir o fio que alimenta o chuveiro por outro de menor diâmetro.,instalar um resistor em série com a resistência do chuveiro.,ligar o chuveiro a um disjuntor de menor amperagem.,trocar sua resistência elétrica por outra de maior resistividade.,2020,98,CN,A,portuguese
QUESTÃO 99,"A Química Verde é um ramo da química que prega o desenvolvimento de processos eficientes, que transformem a maior parte do reagente em produto, de forma mais rápida e seletiva, que utilizem poucos reagentes, que produzam somente o produto desejado, evitando a formação de coprodutos, e que utilizem solventes não agressivos ao meio ambiente. Assim, as indústrias contornariam problemas relacionados à poluição ambiental e ao desperdício de água e energia. O perfil de um processo que segue todos os princípios desse ramo da química pode ser representado por:",Os reagentes A mais B mais C formam o produto D. A reação ocorre a altas pressões.,Os reagentes A mais B formam os produtos C mais D. A reação é fortemente endotérmica.,Os reagentes A mais 3 B formam o produto C. A reação ocorre com uso de solvente orgânico.,"Os reagentes 3 A mais 2 B formam o produto 2 C, que se transforma nos produtos 3 D mais 2 E. A reação ocorre sob pressão atmosférica.","Os reagentes A mais 0,5 B formam o produto C. A reação ocorre com o uso de um catalisador contendo um metal não tóxico.",2020,99,CN,E,portuguese
QUESTÃO 100,"O diapasão de garfo é um instrumento metálico em forma de forquilha, que serve para afinar instrumentos musicais. Para isso, o diapasão é feito para vibrar e o som de determinada altura por ele emitido é comparado com o som emitido pelo instrumento. O ajuste ocorre até que o instrumento emita um som de mesma característica que a do diapasão. Qual característica do som deve ser ajustada?",Amplitude.,Frequência.,Intensidade.,Timbre.,Velocidade de propagação.,2020,100,CN,B,portuguese
