question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 136,"O medidor de energia elétrica das residências, conhecido por “relógio de luz”, é constituído de quatro pequenos relógios, dispostos lado a lado, correspondentes, respectivamente, às posições MILHAR, CENTENA, DEZENA e UNIDADE. Em cada um desses relógios, há um único ponteiro, que gira no sentido crescente da numeração. A medida é expressa em kWh. O número obtido na leitura é composto por quatro algarismos, sendo cada posição desse número formada pelo último algarismo ultrapassado pelo ponteiro do relógio correspondente àquela posição. Em determinado momento, o relógio de luz de uma residência apresentava a seguinte sequência: • relógio correspondente à posição MILHAR: ponteiro entre os algarismos 2 e 3; • relógio correspondente à posição CENTENA: ponteiro entre os algarismos 6 e 7; • relógio correspondente à posição DEZENA: ponteiro entre os algarismos 1 e 2; • relógio correspondente à posição UNIDADE: ponteiro entre os algarismos 4 e 5. De acordo com essa descrição, o número obtido, em kWh, pela leitura do relógio de luz dessa residência é",2 614.,3 624.,2 715.,3 725.,4 162.,2011,136,MT,A,portuguese
QUESTÃO 137,"Um mecânico de uma equipe de corrida necessita que as seguintes medidas realizadas em um carro sejam obtidas em metros: a) distância a entre os eixos dianteiro e traseiro: 2 300 mm ; b) altura b entre o solo e o encosto do piloto: 160 cm . Ao optar pelas medidas a e b em metros, obtêm-se, respectivamente,","0,23 e 0,16.","2,3 e 1,6.",23 e 16.,230 e 160.,2 300 e 1 600.,2011,137,MT,B,portuguese
QUESTÃO 138,"A Escala de Magnitude de Momento (abreviada como MMS e denotada como Mw ), introduzida em 1979 por Thomas Haks e Hiroo Kanamori, substituiu a Escala de Richter para medir a magnitude dos terremotos em termos de energia liberada. Menos conhecida pelo público, a MMS é, no entanto, a escala usada para estimar as magnitudes de todos os grandes terremotos da atualidade. Assim como a escala Richter, a MMS é uma escala logarítmica. M W e M 0 se relacionam pela fórmula: () 01 0log327 ,1 0 M MW +− =  − Onde M 0 é o momento sísmico (usualmente estimado a partir dos registros de movimento da superfície, através dos sismogramas), cuja unidade é o dina∙cm. O terremoto de Kobe, acontecido no dia 17 de janeiro de 1995, foi um dos terremotos que causaram maior impacto no Japão e na comunidade científica internacional. Teve magnitude M W = 7,3. Mostrando que é possível determinar a medida por meio de conhecimentos matemáticos, qual foi o momento sísmico M 0 do terremoto de Kobe (em dina∙cm)?","10-5,10","10-0,73","1012,00","1021,65","1027,00",2011,138,MT,E,portuguese
QUESTÃO 139,"O dono de uma oficina mecânica precisa de um pistão das partes de um motor, de 68 mm de diâmetro, para o conserto de um carro. Para conseguir um, esse dono vai até um ferro velho e lá encontra pistões com diâmetros iguais a 68,21 mm; 68,102 mm; 68,001 mm; 68,02 mm e 68,012 mm. Para colocar o pistão no motor que está sendo consertado, o dono da oficina terá de adquirir aquele que tenha o diâmetro mais próximo do que precisa. Nessa condição, o dono da oficina deverá comprar o pistão de diâmetro","68,21 mm.","68,102 mm.","68,02 mm.","68,012 mm.","68,001 mm.",2011,139,MT,E,portuguese
QUESTÃO 140,"Café no Brasil O consumo de café atingiu o maior nível da história no ano de 2009: os brasileiros beberam o equivalente a 331 bilhões de xícaras. Considere que a xícara citada na notícia seja equivalente a, aproximadamente, 120 mL de café. Suponha que em 2010 os brasileiros tenham bebido ainda mais café, aumentando o consumo em 1 5 do que foi consumido no ano anterior. De acordo com essas informações, o consumo aproximado de café em 2010 foi de",8 bilhões de litros.,16 bilhões de litros.,32 bilhões de litros.,40 bilhões de litros.,48 bilhões de litros.,2011,140,MT,E,portuguese
QUESTÃO 141,"Você pode adapta r as atividades do seu dia a dia de uma forma que possa queimar mais calorias do que as gastas normalmente, conforme a relação seguinte: - Enquanto você fala ao telefone, faça agachamentos: 100 calorias gastas em 20 minutos. - Meia hora de supermercado: 100 calorias. - Cuidar do jardim por 30 minutos: 200 calorias. - Passear com o cachorro: 200 calorias em 30 minutos. - Tirar o pó dos móveis: 150 calorias em 30 minutos. - Lavar roupas por 30 minutos: 200 calorias. Uma pessoa deseja executar essas atividades, porém, ajustando o tempo para que, em cada uma, gaste igualmente 200 calorias. A partir dos ajustes, quanto tempo a mais será necessário para realizar todas as atividades ?",50 minutos.,60 minutos.,80 minutos.,120 minutos.,170 minutos.,2011,141,MT,B,portuguese
QUESTÃO 142,"Em uma certa cidade, os moradores de um bairro carente de espaços de lazer reivindicam à prefeitura municipal a construção de uma praça. A prefeitura concorda com a solicitação e afirma que irá construí-la em formato retangular devido às características técnicas do terreno. Restrições de natureza orçamentária impõem que sejam gastos, no máximo, 180 m de tela para cercar a praça. A prefeitura apresenta aos moradores desse bairro as medidas dos terrenos disponíveis para a construção da praça: Terreno 1: 55 m por 45 m Terreno 2: 55 m por 55 m Terreno 3: 60 m por 30 mTerreno 4: 70 m por 20 m Terreno 5: 95 m por 85 m Para optar pelo terreno de maior área, que atenda às restrições impostas pela prefeitura, os moradores deverão escolher o terreno",1.,2.,3.,4.,5.,2011,142,MT,C,portuguese
QUESTÃO 143,"Sabe-se que a distância real, em linha reta, de uma cidade A, localizada no estado de São Paulo, a uma cidade B, localizada no estado de Alagoas, é igual a 2 000 km. Um estudante, ao analisar um mapa, verificou com sua régua que a distância entre essas duas cidades, A e B, era 8 cm. Os dados nos indicam que o mapa observado pelo estudante está na escala de",1 : 250.,1 : 2 500.,1 : 25 000.,1 : 250 000.,1 : 25 000 000.,2011,143,MT,E,portuguese
QUESTÃO 144,"Uma indústria fabrica brindes promocionais em forma de pirâmide, que é obtida a partir de quatro cortes feitos em um sólido que tem a forma de um cubo, cujos vértices da face inferior são indicados pelas letras A, B, C e D e o ponto central da face superior é indicado pela letra O. A cada corte, é descartada a parte que não comporá a pirâmide. Os cortes são feitos da seguinte maneira: • o primeiro corte é feito pelo plano que passa pelo ponto O e pela aresta","D , BC , A","e CD ,  ; • o segundo corte é feito pelo plano que passa pelo ponto O e pela aresta  A D , BC , A B e CD ,  , paralela à aresta A D , BC , A B e CD ,  ; • o terceiro corte é feito pelo plano que passa pelo ponto O e pela aresta  A D , BC , A B e CD ,  ; • o quarto corte é feito pelo plano que passa pelo ponto O e pela aresta  A D , BC , A B e CD ,  , paralela à aresta A D , BC , A B e CD ,  . Os formatos dos só lidos descartados são A todos iguais. B todos diferentes.",três iguais e um diferente.,apenas dois iguais.,iguais dois a do is.,2011,144,MT,E,portuguese
QUESTÃO 145,"Uma equipe de especialistas do centro meteorológico de uma cidade mediu a temperatura do ambiente, sempre no mesmo horário, durante 15 dias intercalados, a partir do primeiro dia de um mês. Esse tipo de procedimento é frequente, uma vez que os dados coletados servem de referência para estudos e verificação de tendências climáticas ao longo dos meses e anos. As medições ocorridas nesse período foram as seguintes: • dia primeiro: 15,5 ºC; • dia 3: 14 ºC; • dia 5: 13,5 ºC; • dia 7: 18 ºC; • dia 9: 19,5 ºC; • dia 11: 20 ºC; • dia 13: 13,5 ºC; • dia 15: 13,5 ºC; • dia 17: 18 ºC; • dia 19: 20 ºC; • dia 21: 18,5 ºC; • dia 23: 13,5 ºC; • dia 25: 21,5 ºC; • dia 27: 20 ºC; • dia 29: 16 ºC. Em relação à temperatura, os valores da média, mediana e moda são, respectivamente, iguais a","17 °C, 17 °C e 13,5 °C.","17 °C, 18 °C e 13,5 °C.","17 °C, 13,5 °C e 18 °C.","17 °C, 18 °C e 21,5 °C.","17 °C, 13,5 °C e 21,5 °C.",2011,145,MT,B,portuguese
