question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 46,"A figura representa a análise gráfica de um estudo acerca da dispersão de uma doença transmitida a um grupo de pessoas que compartilhou um mesmo ambiente de trabalho: Descrição da imagem: A figura apresenta um gráfico cartesiano xOy, em que o eixo x corresponde ao tempo, em horas, e o eixo y, ao número de doentes. Por meio desse gráfico, verifica-se que no instante inicial (x = 0) havia 1 doente. Verifica-se, ainda, que: em x = 4 havia 2 doentes; em x = 10, 3 doentes; em x = 15, 10 doentes; em x = 20, 26 doentes; em x = 25, 31 doentes; em x = 30, 34 doentes. O último registro desse gráfico indica que em x = 34 havia 35 doentes. De acordo com o padrão apresentado no gráfico, a transmissão da doença ocorreu por",ingestão de água contaminada no mesmo ambiente de trabalho.,consumo de alimentos estragados vindos da mesma fonte.,contaminação pelo ar a partir de uma pessoa infectada.,infecção do grupo por insetos vetores.,manipulação de objetos contaminados.,2013,46,CN,B,portuguese
QUESTÃO 47,"A fabricação de cerveja envolve a atuação de enzimas amilases sobre as moléculas de amido da cevada. Sob temperatura de cerca de 65 °C, ocorre a conversão do amido em maltose e glicose. O caldo obtido (mosto) é fervido para a inativação das enzimas. Após o resfriamento e a filtração, são adicionados o lúpulo e a levedura para que ocorra a fermentação. A cerveja sofre maturação de 4 a 40 dias, para ser engarrafada e pasteurizada. Dentre as etapas descritas, a atividade biológica no processo ocorre durante o(a)",filtração do mosto.,resfriamento do mosto.,pasteurização da bebida.,fermentação da maltose e da glicose.,inativação enzimática no aquecimento.,2013,47,CN,E,portuguese
QUESTÃO 48,"O trem de passageiros da Estrada de Ferro Vitória-Minas (EFVM), que circula diariamente entre a cidade de Cariacica, na Grande Vitória, e a capital mineira Belo Horizonte, está utilizando uma nova tecnologia de frenagem eletrônica. Com a tecnologia anterior, era preciso iniciar a frenagem cerca de 400 metros antes da estação. Atualmente, essa distância caiu para 250 metros, o que proporciona redução no tempo de viagem. Considerando uma velocidade de 72 km/h, qual o módulo da diferença entre as acelerações de frenagem depois e antes da adoção dessa tecnologia?","0,08 m/s2","0,30 m/s2","1,10 m/s2","1,60 m/s2","3,90 m/s2",2013,48,CN,B,portuguese
QUESTÃO 49,"Descrição da imagem: É apresentada uma garrafa contendo vinagre e um balão de festa não inflado. A boca do balão está presa à boca da garrafa. O balão contém uma massa de bicarbonato de sódio sólido. Em um segundo momento, após a adição do bicarbonato de sódio sólido à garrafa com vinagre, o balão fica inflado. A transformação química em questão é representada pela equação:",Os reagentes CH3COOH (aquoso) + NaHCO3 (sólido) formam os produtos Na+ (aquoso) + CH3COO − (aquoso) + CO2 (gasoso) + H2O (líquido).,Os reagentes CH3COOH (aquoso) + NaHCO3 (sólido) formam os produtos Na+ (aquoso) + CH3COO − (aquoso) + O2 (gasoso) + H2O (líquido).,Os reagentes CH3COOH (aquoso) + NaHCO3 (sólido) formam os produtos Na+ (aquoso) + CH3COO − (aquoso) + H2O (líquido).,Os reagentes CH3COOH (aquoso) + NaHCO3 (sólido) formam os produtos NaCO2+ (aquoso) + CH3COO − (aquoso) + H2O (líquido).,Os reagentes CH3COOH (aquoso) + NaHCO3 (sólido) formam os produtos Na+ (aquoso) + CH3COO − (aquoso) + H2 (gasoso) + H2O (líquido).,2013,49,CN,D,portuguese
QUESTÃO 50,"Lobos da espécie Canis lycaon , do leste dos Estados Unidos, estão intercruzando com coiotes ( Canis latrans ). Além disso, indivíduos presentes na borda oeste da área de distribuição de C. lycaon estão se acasalando também com lobos cinzentos ( Canis lupus ). Todos esses cruzamentos têm gerado descendentes férteis. Os animais descritos foram classificados como espécies distintas no século XVIII. No entanto, aplicando-se o conceito biológico de espécie, proposto por Ernst Mayr em 1942, e ainda muito usado hoje em dia, esse fato não se confirma, porque",esses animais são morfologicamente muito semelhantes.,o fluxo gênico entre as três populações é mantido.,apresentam nichos ecológicos muito parecidos.,todos têm o mesmo ancestral comum.,pertencem ao mesmo gênero.,2013,50,CN,A,portuguese
QUESTÃO 51,"Um grupo de amigos foi passar o fim de semana em um acampamento rural, onde não há eletricidade. Uma pessoa levou um gerador a diesel e outra levou duas lâmpadas, diferentes fios e bocais. Perto do anoitecer, iniciaram a instalação e verificaram que as lâmpadas eram de 60 W – 110 V e o gerador produzia uma tensão de 220 V. Para que as duas lâmpadas possam funcionar de acordo com suas especificações e o circuito tenha menor perda possível, a estrutura do circuito elétrico deverá ser de dois bocais ligados em",série e usar fios de maior espessura.,série e usar fios de máximo comprimento.,paralelo e usar fios de menor espessura.,paralelo e usar fios de maior espessura.,paralelo e usar fios de máximo comprimento.,2013,51,CN,B,portuguese
QUESTÃO 52,"Conta-se que um curioso incidente aconteceu durante a Primeira Guerra Mundial. Quando voava a uma altitude de dois mil metros, um piloto francês viu o que acreditava ser uma mosca parada perto de sua face. Apanhando-a rapidamente, ficou surpreso ao verificar que se tratava de um projétil alemão. O piloto consegue apanhar o projétil, pois","ele foi disparado em direção ao avião francês, freado pelo ar e parou justamente na frente do piloto.","o avião se movia no mesmo sentido que o dele, com velocidade visivelmente superior.","ele foi disparado para cima com velocidade constante, no instante em que o avião francês passou.","o avião se movia no sentido oposto ao dele, com velocidade de mesmo valor.","o avião se movia no mesmo sentido que o dele, com velocidade de mesmo valor.",2013,52,CN,C,portuguese
QUESTÃO 53,"A Caatinga é o único bioma exclusivamente brasileiro, ocupando cerca de 7% a 10% do território nacional. Nesse ambiente seco, mesmo quando chove, não há acúmulo de água, pois o solo é raso e pedregoso. Assim, as plantas desse bioma possuem modificações em suas raízes, caules e folhas, que permitem melhor adaptação a esse ambiente, contra a perda de água e de nutrientes. Geralmente, seus caules são suculentos e suas folhas possuem forma de espinhos e cutículas altamente impermeáveis, que apresentam queda na estação seca. Considerando as adaptações nos órgãos vegetativos, a principal característica das raízes dessas plantas, que atribui sua maior adaptação à Caatinga, é o(a)",armazenamento de nutrientes por um sistema radicular aéreo.,fixação do vegetal ao solo por um sistema radicular do tipo tuberoso.,fixação do vegetal ao substrato por um sistema radicular do tipo sugador.,absorção de água por um sistema radicular desenvolvido e profundo.,armazenamento de água do solo por um sistema radicular do tipo respiratório.,2013,53,CN,B,portuguese
QUESTÃO 54,"Após o desmonte da bateria automotiva, é obtida uma pasta residual de 6 kg, em que 19%, em massa, é dióxido de chumbo(IV), 60%, sulfato de chumbo(II) e 21%, chumbo metálico. O processo pirometalúrgico é o mais comum na obtenção do chumbo metálico, porém, devido à alta concentração de sulfato de chumbo(II), ocorre grande produção de dióxido de enxofre (SO 2), causador de problemas ambientais. Para eliminar a produção de dióxido de enxofre, utiliza-se o processo hidrometalúrgico, constituído de três etapas, no qual o sulfato de chumbo(II) reage com carbonato de sódio a 1,0 mol/L a 45 °C, obtendo-se um sal insolúvel (etapa 1), que, tratado com ácido nítrico, produz um sal de chumbo solúvel (etapa 2) e, por eletrólise, obtém-se o chumbo metálico com alto grau de pureza (etapa 3). Considerando a obtenção de chumbo metálico a partir de sulfato de chumbo(II) na pasta residual, pelo processo hidrometalúrgico, as etapas 1, 2 e 3 objetivam, respectivamente,",a lixiviação básica e dessulfuração; a lixiviação ácida e solubilização; a redução do Pb 2+ em Pb0.,a lixiviação ácida e dessulfuração; a lixiviação básica e solubilização; a redução do Pb4+ em Pb0.,a lixiviação básica e dessulfuração; a lixiviação ácida e solubilização; a redução do Pb 0 em Pb2+.,a lixiviação ácida e dessulfuração; a lixiviação básica e solubilização; a redução do Pb 2+ em Pb0.,a lixiviação básica e dessulfuração; a lixiviação ácida e solubilização; a redução do Pb 4+ em Pb0.,2013,54,CN,B,portuguese
QUESTÃO 55,"A palha de aço, um material de baixo custo e vida útil pequena, utilizada para lavar louças, é um emaranhado de fios leves e finos que servem para a remoção por atrito dos resíduos aderidos aos objetos. A propriedade do aço que justifica o aspecto físico descrito no texto é a",ductilidade.,maleabilidade.,densidade baixa.,condutividade elétrica.,condutividade térmica.,2013,55,CN,A,portuguese
