question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 136,"A cidade de Guarulhos (SP) tem o 8º PIB municipal do Brasil, além do maior aeroporto da América do Sul. Em proporção, possui a economia que mais cresce em indústrias, conforme mostra o gráfico. Descrição da imagem: O gráfico, denominado Crescimento – Indústria registra que o Brasil obteve um índice de crescimento no valor de 30,95%; São Paulo (estado) obteve um índice de 14,76%; São Paulo (capital) obteve um índice de 3,57% e Guarulhos obteve um índice de 60,52%. Analisando os dados percentuais do gráfico, qual a diferença entre o maior e o menor centro em crescimento no polo das indústrias?","75,28","64,09","56,95","45,76","30,07",2013,136,MT,C,portuguese
QUESTÃO 137,"Em um certo teatro, as poltronas são divididas em setores. A figura apresenta a vista do setor 3 desse teatro, no qual as cadeiras escuras estão reservadas e as claras não foram vendidas. Descrição da imagem: A figura ilustra uma sala com 7 fileiras de cadeiras, cada uma contendo 10 cadeiras. Desse total de cadeiras, 17 são escuras e as demais são claras. A razão que representa a quantidade de cadeiras reservadas do setor 3 em relação ao total de cadeiras desse mesmo setor é",1770,1753,5370,5317,7017,2013,137,MT,A,portuguese
QUESTÃO 138,"Uma loja acompanhou o número de compradores de dois produtos, A e B, durante os meses de janeiro, fevereiro e março de 2012. Com isso, obteve este gráfico: Descrição da imagem: O gráfico, que apresenta o número de compradores dos produtos A e B durante os meses de janeiro, fevereiro e março de 2012, registra os seguintes dados: • Janeiro – 10 compradores adquiriram o produto A e 20 adquiriram o produto B; • Fevereiro – 30 compradores adquiriram o produto A e 20 adquiriram o produto B; • Março – 60 compradores adquiriram o produto A e 80 adquiriram o produto B. A loja sorteará um brinde entre os compradores do produto A e outro brinde entre os compradores do produto B. Qual a probabilidade de que os dois sorteados tenham feito suas compras em fevereiro de 2012?",1 20,3 242,5 22,6 25,7 15,2013,138,MT,A,portuguese
QUESTÃO 139,"Para o reflorestamento de uma área, deve-se cercar totalmente, com tela, os lados de um terreno, exceto o lado margeado pelo rio, conforme a figura. Cada rolo de tela que será comprado para confecção da cerca contém 48 metros de comprimento. Descrição da imagem: A figura representa um terreno com lados medindo 190 metros, 81 metros e 81 metros. O rio coincide com o outro dos lados maiores do terreno. A quantidade mínima de rolos que deve ser comprada para cercar esse terreno é",6.,7.,8.,11.,12.,2013,139,MT,C,portuguese
QUESTÃO 140,"Um dos grandes problemas enfrentados nas rodovias brasileiras é o excesso de carga transportada pelos caminhões. Dimensionado para o tráfego dentro dos limites legais de carga, o piso das estradas se deteriora com o peso excessivo dos caminhões. Além disso, o excesso de carga interfere na capacidade de frenagem e no funcionamento da suspensão do veículo, causas frequentes de acidentes. Ciente dessa responsabilidade e com base na experiência adquirida com pesagens, um caminhoneiro sabe que seu caminhão pode carregar, no máximo, 1 500 telhas ou 1 200 tijolos. Considerando esse caminhão carregado com 900 telhas, quantos tijolos, no máximo, podem ser acrescentados à carga de modo a não ultrapassar a carga máxima do caminhão?",300 tijolos,360 tijolos,400 tijolos,480 tijolos,600 tijolos,2013,140,MT,D,portuguese
QUESTÃO 141,"As projeções para a produção de arroz no período de 2012 - 2021, em uma determinada região produtora, apontam para uma perspectiva de crescimento constante da produção anual. O quadro apresenta a quantidade de arroz, em toneladas, que será produzida nos primeiros anos desse período, de acordo com essa projeção. Descrição da imagem: A projeção da produção para cada ano é a seguinte: • 2012 — 50,25 toneladas; • 2013 — 51,50 toneladas; • 2014 — 52,75 toneladas; • 2015 — 54,00 toneladas. A quantidade total de arroz, em toneladas, que deverá ser produzida no período de 2012 a 2021 será de","497,25.","500,85.","502,87.","558,75.","563,25.",2013,141,MT,D,portuguese
QUESTÃO 142,"Numa escola com 1 200 alunos foi realizada uma pesquisa sobre o conhecimento desses em duas línguas estrangeiras, inglês e espanhol. Nessa pesquisa constatou-se que 600 alunos falam inglês, 500 falam espanhol e 300 não falam qualquer um desses idiomas.Escolhend o-se um aluno dessa escola ao acaso e sabendo-se que ele não fala inglês, qual a probabilidade de que esse aluno fale espanhol?",12,58,14,56,5 14,2013,142,MT,A,portuguese
QUESTÃO 143,"A duração do dia na Terra é de 24 horas, período chamado de dia terrestre. Já no planeta Marte a duração do dia equivale a 24 horas e 40 minutos terrestres, período chamado de dia marciano. Um astronauta passa 90 dias marcianos em missão na superfície de Marte. Quantos dias terrestres terão se passado nesse período?","87,5","88,5","90,0","91,5","92,5",2013,143,MT,E,portuguese
QUESTÃO 144,"As torres Puerta de Europa são duas torres inclinadas uma contra a outra, construídas numa avenida de Madri, na Espanha. A inclinação das torres é de 15° com a vertical e elas têm, cada uma, uma altura de 114 m (a altura é indicada na figura como o segmento AB) . Estas torres são um bom exemplo de um prisma oblíquo de base quadrada e uma delas pode ser observada na imagem: Descrição da imagem: A partir da figura, obtém-se um triângulo retângulo com um dos catetos medindo 114 m, correspondendo à altura da torre, e o outro cateto tendo um comprimento desconhecido x, correspondendo a um dos lados da base quadrada da torre. O ângulo oposto ao cateto de comprimento x é de 15°. Utilizando 0,26 como valor aproximado para a tangente de 15º e duas casas decimais nas operações, descobre-se que a área da base desse prédio ocupa na avenida um espaço",menor que 100 m 2.,entre 100 m2 e 300 m2.,entre 300 m2 e 500 m2.,entre 500 m2 e 700 m2.,maior que 700 m2.,2013,144,MT,E,portuguese
QUESTÃO 145,"As notas de um professor que participou de um processo seletivo, em que a banca avaliadora era composta por cinco membros, são apresentadas no gráfico. Sabe-se que cada membro da banca atribuiu duas notas ao professor, uma relativa aos conhecimentos específicos da área de atuação e outra, aos conhecimentos pedagógicos, e que a média final do professor foi dada pela média aritmética de todas as notas atribuídas pela banca avaliadora. Descrição da imagem: O gráfico, que apresenta as notas em pontos referentes aos conhecimentos específicos e aos conhecimentos pedagógicos de acordo com os avaliadores A, B, C, D e E, registra os seguintes dados: • Avaliador A – Conhecimentos específicos: 18; Conhecimentos pedagógicos: 16. • Avaliador B – Conhecimentos específicos: 17; Conhecimentos pedagógicos: 13. • Avaliador C – Conhecimentos específicos: 14; Conhecimentos pedagógicos: 1. • Avaliador D – Conhecimentos específicos: 19; Conhecimentos pedagógicos: 14. • Avaliador E – Conhecimentos específicos: 16; Conhecimentos pedagógicos: 12. Utilizando um novo critério, essa banca avaliadora resolveu descartar a maior e a menor notas atribuídas ao professor.A nova média, em relação à média anterior, é","0,25 ponto maior.","1,00 ponto maior.","1,00 ponto menor.","1,25 ponto maior.","2,00 pontos menor.",2013,145,MT,B,portuguese
