question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 136,"O sistema de numeração romano ainda é utilizado na indicação de capítulos e volumes de livros, na designação de séculos e, em ordem cronológica, de papas e reis de mesmo nome. São utilizadas sete letras do alfabeto: Quatro fundamentais: | (vale 1); X (vale 10); C (vale 100) e M (vale 1 000). Três secundárias: V (vale 5); L (vale 50) e D (vale 500). As regras para escrever números romanos são: 1. Não existe símbolo correspondente ao zero; 2. Os símbolos fundamentais podem ser repetidos até três vezes e seus valores são adicionados. Exemplo: XXX é igual a 30; 3. Uma letra posta à esquerda de outra de maior valor indica subtração dos respectivos valores. Exemplo: IX é igual a 10 menos 1 é igual a 9; 4. Uma letra posta à direita de outra de maior valor indica adição dos respectivos valores. Exemplo: XI é igual a 10 mais 1 é igual a 11. Em uma cidade europeia há uma placa indicando o ano de sua fundação: MCDLXIX. Quantos anos de fundação essa cidade comemorará em 2050? ",379 ,381 ,579 ,581 ,601 ,2021,136,MT,D,portuguese
QUESTÃO 137,"Uma das bases mais utilizadas para representar um número é a base decimal. Entretanto, os computadores trabalham com números na base binária. Nessa base, qualquer número natural é representado usando apenas os algarismos O e 1. Por exemplo, as representações dos números 9 e 12, na base binária, são (um zero zero um)e (um um zero zero) respectivamente. A operação de adição, na base binária, segue um algoritmo similar ao utilizado na base decimal, como detalhado no quadro: enemo021 VODOO enemo021 Descrição da imagem: O quadro apresenta as seguintes informações: “a, b e a mais b”. Quando a é igual a zero e b é igual a zero, a mais b é igual a zero. Quando a é igual a zero e b é igual a um, a mais b é igual a um. Quando a é igual a um e b é igual a zero, a mais b é igual a um. Quando a é igual a um e b é igual a um, a mais b é igual a (um zero).   VICUIU Por exemplo, na base binária, a soma dos números (um zero)e (um zero)é (um zero zero) como apresentado: Descrição da imagem: Adição: (um zero)mais (um zero)é igual a (um zero zero). Considerando as informações do texto, o resultado da adição 9 mais 12 será representado, na base binária, por", (um zero um). , (um um zero um)., (um um um um), (um zero um zero um). , (um um zero zero um). ,2021,137,MT,D,portuguese
QUESTÃO 138,"Uma unidade de medida comum usada para expressar áreas de terrenos de grandes dimensões é o hectare, que equivale a 10 000 metros quadrados. Um fazendeiro decide fazer um loteamento utilizando 3 hectares de sua fazenda, dos quais 0,9 hectare será usado para a construção de ruas e calçadas e o restante será dividido em terrenos com área de 300 metros quadrados cada um. Os 20 primeiros terrenos vendidos terão preços promocionais de 20 000 reais cada, e os demais, 30 000 reais cada. Nas condições estabelecidas, o valor total, em real, obtido pelo fazendeiro com a venda de todos os terrenos será igual a", 700 000. ,1 600 000., 1 900 000., 2 200 000. ,2 800 000. ,2021,138,MT,C,portuguese
QUESTÃO 139,Uma pessoa produzirá uma fantasia utilizando como materiais: 2 tipos de tecidos diferentes e 5 tipos distintos de pedras ornamentais. Essa pessoa tem à sua disposição 6 tecidos diferentes e 15 pedras ornamentais distintas. A quantidade de fantasias com materiais diferentes que podem ser produzidas é representada pela expressão ,Fração de numerador 6 fatorial e denominador (4 fatorial vezes 2 fatorial); vezes fração de numerador 15 fatorial e denominador (10 fatorial vezes 5 fatorial). , Fração de numerador 6 fatorial e denominador (4 fatorial vezes 2 fatorial); mais fração de numerador 15 fatorial e denominador (10 fatorial vezes 5 fatorial).,Fração de numerador 6 fatorial e denominador 2 fatorial; mais fração de numerador 15 fatorial e denominador 5 fatorial. ,Fração de numerador 6 fatorial e denominador 2 fatorial; vezes fração de numerador 15 fatorial e denominador 5 fatorial., Fração de numerador 21 fatorial e denominador (7 fatorial vezes 14 fatorial). ,2021,139,MT,A,portuguese
QUESTÃO 140,"Os diretores de uma escola precisam construir um laboratório para uso dos alunos. Há duas possibilidades: (1) um laboratório do tipo A, com capacidade para 100 usuários, a um custo de 180 mil reais e gastos de 60 mil reais por ano para manutenção; (2) um laboratório do tipo B, com capacidade para 80 usuários, a um custo de 120 mil reais e gastos com manutenção de 16 mil reais por ano. Considera-se que, em qualquer caso, o laboratório implantado será utilizado na totalidade de sua capacidade. A economia da escola, na utilização de um laboratório tipo B, em vez de um laboratório tipo A, num período de 4 anos, por usuário, será de ","1,31 mil reais.","1,90 mil reais."," 2,30 mil reais. "," O 2,36 mil reais. ","2,95 mil reais. ",2021,140,MT,B,portuguese
QUESTÃO 141,"Um ciclista amador de 61 anos de idade utilizou um monitor cardíaco para medir suas frequências cardíacas em quatro diferentes tipos de trechos do percurso. Os resultados das frequências cardíacas máximas alcançadas nesses trechos foram: Descrição da imagem: Quadro com as seguintes informações: “Frequências cardíacas máximas (batimentos por minuto) em cada trecho do percurso”. No trecho do percurso “leve no plano”, a frequência cardíaca máxima foi de 90 batimentos por minuto. No trecho do percurso “forte no plano”, a frequência cardíaca máxima foi de 120 batimentos por minuto. No trecho do percurso “subida moderada”, a frequência cardíaca máxima foi de 130 batimentos por minuto. No trecho do percurso “subida forte”, a frequência cardíaca máxima foi de 140 batimentos por minuto. Sabe-se que a faixa aeróbica ideal para o ganho de condicionamento físico é entre 65 por cento e 85 por cento da frequência cardíaca máxima, que, por sua vez, é determinada pela fórmula: Frequência cardíaca máxima é igual a 220 menos idade, em que a idade é dada em ano e Frequência cardíaca máxima é dada em batimento por minuto. Os trechos do percurso nos quais esse ciclista se mantém dentro de sua faixa aeróbica ideal, para o ganho de condicionamento físico, são ","leve no plano, forte no plano, subida moderada e subida forte.","leve no plano, forte no plano e subida moderada. "," forte no plano, subida moderada e subida forte.",forte no plano e subida moderada. ,leve no plano e subida forte. ,2021,141,MT,D,portuguese
QUESTÃO 142,"Um lava-rápido oferece dois tipos de lavagem de veículos: lavagem simples, ao preço de 20 reais, e lavagem completa, ao preço de 35 reais. Para cobrir as despesas com produtos e funcionários, e não ter prejuízos, o lava-rápido deve ter uma receita diária de, pelo menos, 300 reais. Para não ter prejuízo, o menor número de lavagens diárias que o lava-rápido deve efetuar é ",6,8,9,15,20,2021,142,MT,C,portuguese
QUESTÃO 143,"Após consulta médica, um paciente deve seguir um tratamento composto por três medicamentos: X, Y e Z. O paciente, para adquirir os três medicamentos, faz um orçamento em três farmácias diferentes, conforme o quadro. Descrição da imagem: Quadro com as seguintes informações: Na farmácia 1, o medicamento X custa 45 reais, O medicamento Y custa 40 reais e o medicamento Z custa 50 reais. Na farmácia 2, o medicamento X custa 50 reais, o medicamento Y custa 50 reais e o medicamento Z custa 40 reais. Na farmácia 3, o medicamento X custa 65 reais, O medicamento Y custa 45 reais e o medicamento Z custa 35 reais. Dessas farmácias, algumas oferecem descontos: * na compra dos medicamentos X e Y na Farmácia 2, recebe-se um desconto de 20 por cento em ambos os produtos, independentemente da compra do medicamento Z, e não há desconto para o medicamento Z; * na compra dos 3 medicamentos na Farmácia 3, recebe-se 20 por cento de desconto no valor total da compra. O paciente deseja efetuar a compra de modo a minimizar sua despesa com os medicamentos. De acordo com as informações fornecidas, o paciente deve comprar os medicamentos da seguinte forma: ", X Y e Z na Farmácia 1.," X e Y na Farmácia 1, e Z na Farmácia 3. "," X e Y na Farmácia 2, e Z na Farmácia 3.","X na Farmácia 2,e Y e Z na Farmácia 3. ","X, Y e Z na Farmácia 3.",2021,143,MT,C,portuguese
QUESTÃO 144,"Um operário da construção civil assentou as cerâmicas nos cômodos de uma casa, ganhando 20 reais por hora trabalhada, e realizou o serviço em dois dias. No primeiro dia, chegou pontualmente às 8 horas da manhã e saiu às 20 horas e 15 minutos, tendo 2 horas de descanso. No segundo dia, chegou 1 hora e 20 minutos atrasado em relação ao primeiro dia e terminou o serviço 3 horas e 45 minutos mais cedo do que no primeiro dia, tendo somente 40 minutos de descanso. enem2021 Considere que a fração da hora trabalhada é proporcional ao ganho por hora e que o tempo de descanso não é remunerado. Quanto o operário recebeu, em real, para colocar as cerâmicas nessa casa? ","335,00","361,67","375,00","395,00","408,3",2021,144,MT,A,portuguese
QUESTÃO 145,"Em algumas cidades do norte do estado do Paraná, há décadas nascem mais meninas do que meninos. Uma das explicações sugeridas para esse fato é a contaminação do meio ambiente por agrotóxicos que se acumulam no lençol freático, levando à contaminação das populações por meio da cadeia alimentar. Na cidade de nome Jardim Olinda, por exemplo, de todas as crianças nascidas entre 2002 e 2008, aproximadamente 40 por cento foram meninos. Considerando que esse percentual nos nascimentos corresponda à probabilidade de um bebê nascido em Jardim Olinda ser menino ou menina, qual é a probabilidade de um casal dessa cidade ter exatamente duas meninas? ","Um, cento e vinte avos. ","Um, sessenta avos. ",Um quarto. ,Três décimos. ,"Nove, vinte e cinco avos. ",2021,145,MT,E,portuguese
