question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 136,"O dono de uma farmácia resolveu colocar à vista do público o gráfico mostrado a seguir, que apresenta a evolução do total de vendas (em Reais) de certo medicamento ao longo do ano de 2011. Descrição do gráfico: o gráfico apresenta um plano cartesiano, tendo, no eixo horizontal, os meses de janeiro a dezembro e, no eixo vertical, o total de vendas. O ponto do gráfico que tem a maior ordenada corresponde ao mês de junho, enquanto que o ponto do gráfico que tem a menor ordenada corresponde ao mês de agosto. De acordo com o gráfico, os meses em que ocorreram, respectivamente, a maior e a menor venda absolutas em 2011 foram",março e abril.,março e agosto.,agosto e setembro.,junho e setembro.,junho e agosto.,2012,136,MT,E,portuguese
QUESTÃO 137,"Duas pessoas constituíram uma empresa em sociedade, uma com participação de 60% e a outra com 40%. O percentual de lucro da empresa é de 35% da receita bruta. A parte do lucro de cada sócio é diretamente proporcional à sua participação. A receita bruta da empresa no mês em que um sócio lucrou R$ 75 600,00 a mais do que o outro foi","R$ 1 080 000,00","R$ 540 000,00","R$ 378 000,00","R$ 360 000,00","R$ 216 000,00",2012,137,MT,A,portuguese
QUESTÃO 138,"Jogar baralho é uma atividade que estimula o raciocínio. Um jogo tradicional é a Paciência, que utiliza 52 cartas. Inicialmente são formadas sete colunas com as cartas. A primeira coluna tem uma carta, a segunda tem duas cartas, a terceira tem três cartas, a quarta tem quatro cartas, e assim sucessivamente até a sétima coluna, a qual tem sete cartas, e o que sobra forma o monte, que são as cartas não utilizadas nas colunas. A quantidade de cartas que forma o monte é",21.,24.,26.,28.,31.,2012,138,MT,B,portuguese
QUESTÃO 139,"A tabela seguinte mostra a variação da extensão média de gelo marítimo, em milhões de quilômetros quadrados, comparando dados dos anos 1995, 1998, 2000, 2005 e 2007. Os dados correspondem aos meses de junho a setembro. O Ártico começa a recobrar o gelo quando termina o verão, em meados de setembro. O gelo do mar atua como o sistema de resfriamento da Terra, refletindo quase toda a luz solar de volta ao espaço. Águas de oceanos escuros, por sua vez, absorvem a luz solar e reforçam o aquecimento do Ártico, ocasionando derretimento crescente do gelo. Tabela Extensão média do gelo marítimo  (em milhões de quilômetros quadrados) AnoExtensão Junho Setembro 1995 14 9 1998 14 8 2000 12 7 2005 11,5 5,5 2007 11,5 4 Com base na tabela e nas informações do texto, é possível inferir que houve maior aquecimento global em",1995.,1998.,2000.,2005.,2007.,2012,139,MT,E,portuguese
QUESTÃO 140,"Uma pesquisa realizada por estudantes da Faculdade de Estatística mostra, em horas por dia, como os jovens entre 12 e 18 anos gastam seu tempo, tanto durante a semana (de segunda-feira a sexta-feira), como no fim de semana (sábado e domingo). A seguinte tabela ilustra os resultados da pesquisa. Rotina Juvenil Durante a semana No fim de semana Assistir à televisão 3 3 Atividades domésticas 1 1 Atividades escolares 5 1 Atividades de lazer 2 4 Descanso, higiene e alimentação10 12 Outras atividades 3 3 De acordo com esta pesquisa, quantas horas de seu tempo gasta um jovem entre 12 e 18 anos, na semana inteira (de segunda-feira a domingo), nas atividades escolares?",20,21,24,25,27,2012,140,MT,E,portuguese
QUESTÃO 141,"Certo vendedor tem seu salário mensal calculado da seguinte maneira: ele ganha um valor fixo de R$ 750,00, mais uma comissão de R$ 3,00 para cada produto vendido. Caso ele venda mais de 100 produtos, sua comissão passa a ser de R$ 9,00 para cada produto vendido, a partir do 101º produto vendido. Com essas informações, qual gráfico que mostra um plano cartesiano, com os “Produtos vendidos” representados no eixo horizontal e o “Salário em R$” representado no eixo vertical, melhor representa a relação entre salário e o número de produtos vendidos? Todos os gráficos foram feitos para a venda de 0 a 200 produtos.","Gráfico composto por um segmento de reta com inclinação positiva, que liga o ponto (0, 750) ao ponto (200, 1 450).","Gráfico composto por dois segmentos de reta conectados (ambos de inclinação positiva), um que liga o ponto (0, 750) ao ponto (100, 1 650) e o outro que liga o ponto (100, 1 650) ao ponto (200, 1 950).","Gráfico composto por dois segmentos de reta conectados, um deles horizontal, que liga o ponto (0, 750) ao ponto (100, 750), e o outro de inclinação positiva, que liga o ponto (100, 750) ao ponto (200, 1 600).","Gráfico que consiste de um segmento de reta horizontal, que liga o ponto (0, 750) ao ponto (200, 750).","Gráfico composto por dois segmentos de reta conectados (ambos de inclinação positiva), um que liga o ponto (0, 750) ao ponto (100, 1 050) e o outro que liga o ponto (100, 1 050) ao ponto (200, 1 950).",2012,141,MT,E,portuguese
QUESTÃO 142,"Uma informação muito recorrente em textos acadêmicos e escolares é a de que o valor de π aparece de forma implícita na Bíblia, no Primeiro Livro dos Reis, capítulo 7, versículo 23: “Fez mais o mar de fundição, de dez côvados, de uma borda até a outra borda, redondo ao redor, e de cinco côvados ao alto; e um cordão de trinta côvados o cingia, em redor.” Esse trecho se refere a um determinado poço cilíndrico construído no templo do rei Salomão. O valor dessa medição não é exato, mas considera uma aproximação de π com valor igual a 3. Para o cálculo do valor do π bíblico, utilizando apenas as medidas descritas no texto, é preciso",converter côvados para metros e realizar os cálculos necessários.,considerar o diâmetro com cinco côvados e a circunferência com trinta côvados.,considerar o diâmetro com dez côvados e a circunferência com trinta côvados.,considerar o diâmetro com cinco côvados e a circunferência com quinze côvados.,considerar o raio com cinco côvados e a circunferência com dez côvados.,2012,142,MT,C,portuguese
QUESTÃO 143,"As curvas de oferta e de demanda de um produto representam, respectivamente, as quantidades que vendedores e consumidores estão dispostos a comercializar em função do preço do produto. Em alguns casos, essas curvas podem ser representadas por retas. Suponha que as quantidades de oferta e de demanda de um produto sejam, respectivamente, representadas pelas equações: Q O = –20 + 4P QD = 46 – 2P em que QO é quantidade de oferta, QD é a quantidade de demanda e P é o preço do produto.A partir dessas equações, de oferta e de demanda, os economistas encontram o preço de equilíbrio de mercado, ou seja, quando Q O e QD se igualam. Para a situação descrita, qual o valor do preço de equilíbrio?",5,11,13,23,33,2012,143,MT,B,portuguese
QUESTÃO 144,"Nos shopping centers costumam existir parques com vários brinquedos e jogos. Os usuários colocam créditos em um cartão, que são descontados por cada período de tempo de uso dos jogos. Dependendo da pontuação da criança no jogo, ela recebe um certo número de tíquetes para trocar por produtos nas lojas dos parques. Suponha que o período de uso de um brinquedo em certo shopping custa R$ 3,00 e que uma bicicleta custa 9 200 tíquetes. Para uma criança que recebe 20 tíquetes por período de tempo que joga, o valor, em reais, gasto com créditos para obter a quantidade de tíquetes para trocar pela bicicleta é",153.,460.,1 218.,1 380.,3 066.,2012,144,MT,D,portuguese
QUESTÃO 145,"O diretor de uma escola convidou os 280 alunos de terceiro ano a participarem de uma brincadeira. Suponha que existem 5 objetos e 6 personagens numa casa de 9 cômodos; um dos personagens esconde um dos objetos em um dos cômodos da casa. O objetivo da brincadeira é adivinhar qual objeto foi escondido por qual personagem e em qual cômodo da casa o objeto foi escondido. Todos os alunos decidiram participar. A cada vez um aluno é sorteado e dá a sua resposta. As respostas devem ser sempre distintas das anteriores, e um mesmo aluno não pode ser sorteado mais de uma vez. Se a resposta do aluno estiver correta, ele é declarado vencedor e a brincadeira é encerrada. O diretor sabe que algum aluno acertará a resposta porque há",10 alunos a mais do que possíveis respostas distintas.,20 alunos a mais do que possíveis respostas distintas.,119 alunos a mais do que possíveis respostas distintas.,260 alunos a mais do que possíveis respostas distintas.,270 alunos a mais do que possíveis respostas distintas.,2012,145,MT,A,portuguese
QUESTÃO 146,"Um biólogo mediu a altura de cinco árvores distintas e representou-as em uma mesma malha quadriculada, utilizando escalas diferentes, conforme indicações na figura a seguir. Descrição da figura: a figura mostra os seguintes dados para cada árvore: • Árvore I: escala = 1:100; altura = 9 lados do quadradinho da malha quadriculada; • Árvore II: escala = 2:100; altura = 9 lados do quadradinho da malha quadriculada; • Árvore III: escala = 2:300; altura = 6 lados do quadradinho da malha quadriculada; • Árvore IV: escala = 1:300; altura = 4,5 lados do quadradinho da malha quadriculada; • Árvore V: escala = 2:300; altura = 4,5 lados do quadradinho da malha quadriculada. Qual é a árvore que apresenta a maior altura real?",I,II,III,IV,V,2012,146,MT,D,portuguese
QUESTÃO 147,"Em um jogo há duas urnas com 10 bolas de mesmo tamanho em cada urna. A tabela a seguir indica as quantidades de bolas de cada cor em cada urna. Cor Urna 1 Urna 2 Amarela 4 0 Azul 3 1 Branca 2 2 Verde 1 3 Vermelha 0 4 Uma jogada consiste em: 1º) o jogador apresenta um palpite sobre a cor da bola que será retirada por ele da urna 2; 2º) ele retira, aleatoriamente, uma bola da urna 1, e a coloca na urna 2, misturando-a com as que lá estão; 3º) em seguida ele retira, também aleatoriamente, uma bola da urna 2; 4º) se a cor da última bola retirada for a mesma do palpite inicial, ele ganha o jogo. Qual cor deve ser escolhida pelo jogador para que ele tenha a maior probabilidade de ganhar?",Azul.,Amarela.,Branca.,Verde.,Vermelha.,2012,147,MT,E,portuguese
QUESTÃO 148,"Em uma parede, medindo 240 cm por 180 cm, serão assentados azulejos pretos e brancos na forma de um triângulo retângulo isósceles cujo lado mede 15 cm. Serão assentados 96 azulejos pretos na parede. Quantos azulejos brancos devem ser assentados para, juntos com os pretos, cubrir toda a parede?",96.,144.,192.,288.,384.,2012,148,MT,D,portuguese
QUESTÃO 149,"Um maquinista de trem ganha R$ 100,00 por viagem e só pode viajar a cada 4 dias. Ele ganha somente se fizer a viagem e sabe que estará de férias de 1º a 10 de junho, quando não poderá viajar. Sua primeira viagem ocorreu no dia primeiro de janeiro. Considere que o ano tem 365 dias. Se o maquinista quiser ganhar o máximo possível, quantas viagens precisará fazer?",37,51,88,89,91,2012,149,MT,C,portuguese
QUESTÃO 150,"Alguns objetos, durante a sua fabricação, necessitam passar por um processo de resfriamento. Para que isso ocorra, uma fábrica utiliza um tanque de resfriamento, como mostrado na figura. Descrição da figura: a figura ilustra um tanque na forma de paralelepípedo, de 40 cm de comprimento, 30 cm de largura e 25 cm de altura; nesse tanque, foi colocada água até a altura de 20 cm — ou seja, apenas os últimos 5 cm da altura do tanque não estão preenchidos com água. O que aconteceria com o nível da água se colocássemos no tanque um objeto cujo volume fosse de 2 400 cm 3 ?","O nível subiria 0,2 cm, fazendo a água ficar com 20,2 cm de altura.","O nível subiria 1 cm, fazendo a água ficar com 21 cm de altura.","O nível subiria 2 cm, fazendo a água ficar com 22 cm de altura.","O nível subiria 8 cm, fazendo a água transbordar.","O nível subiria 20 cm, fazendo a água transbordar.",2012,150,MT,C,portuguese
QUESTÃO 151,"Jorge quer instalar aquecedores no seu salão de beleza para melhorar o conforto dos seus clientes no inverno. Ele estuda a compra de unidades de dois tipos de aquecedores: modelo A, que consome 600 g/h (gramas por hora) de gás propano e cobre 35 m 2 de área, ou modelo B, que consome 750 g/h de gás propano e cobre 45 m 2 de área. O fabricante indica que o aquecedor deve ser instalado em um ambiente com área menor do que a da sua cobertura. Jorge vai instalar uma unidade por ambiente e quer gastar o mínimo possível com gás. A área do salão que deve ser climatizada encontra-se na planta seguinte (ambientes representados por três retângulos e um trapézio). Descrição da figura: da figura apresentada, obtém-se as seguintes informações para os ambientes que compõem o salão de Jorge: • Ambiente I : retângulo com 5 m de largura e 8 m de comprimento; • Ambiente II : retângulo com 5 m de largura e 6 m de comprimento; • Ambiente III : retângulo com 4 m de largura e 6 m de comprimento; • Ambiente IV : trapézio com base maior medindo 6 m, base menor medindo 4 m e altura medindo 7 m. Avaliando-se todas as informações, serão necessários",quatro unidades do tipo A e nenhuma unidade do tipo B.,três unidades do tipo A e uma unidade do tipo B.,duas unidades do tipo A e duas unidades do tipo B.,uma unidade do tipo A e três unidades do tipo B.,nenhuma unidade do tipo A e quatro unidades do tipo B.,2012,151,MT,C,portuguese
QUESTÃO 152,"Um professor utilizou o plano cartesiano, com seus alunos, para identificar figuras planas. Ele pediu aos alunos que marcassem pontos no plano e em seguida trabalhassem as principais propriedades da figura que era formada tendo estes pontos como vértices. Em um determinado dia pediu para que seus alunos marcassem os seguintes pontos: A(–3,3), B(5,3), C(8,–3) e D(–3,–3). O quadrilátero ABCD é um",quadrado.,trapézio.,retângulo.,losango.,paralelogram o.,2012,152,MT,B,portuguese
