question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 136,"O sistema de numeração decimal é o mais utilizado no dia a dia. Nesse sistema, cada número natural é escrito como uma soma de potências de dez, cada uma multiplicada por um número de 0 a 9. Por exemplo, o número 3 256 é igual a 3 vezes (10 elevado a 3)mais 2 vezes (10 elevado a 2)mais 5 vezes 10 mais 6 vezes (10 elevado a 0). Os computadores, por sua vez, processam seus dados usando o sistema de numeração binário, que segue uma lógica similar à do decimal: cada natural é escrito como soma de potências de 2, em que cada uma delas é multiplicada por 0 ou por 1. A tabela mostra como são denotados os números naturais de 1 até 10 no sistema binário. Descrição da tabela:  1 é descrito como: um; 2 é descrito como: um zero; 3 é descrito como: um um; 4 é descrito como: um zero zero; 5 é descrito como: um zero um; 6 é descrito como: um um zero; 7 é descrito como: um um um; 8 é descrito como: um zero zero zero; 9 é descrito como: um zero zero um; 10 é descrito como: um zero um zero. Um usuário de computador, ao se conectar à rede de internet do seu trabalho, recebe um protocolo de conexão, dado pelo número binário um zero um zero um zero . Para fazer uma solicitação de manutenção na sua rede, a equipe competente pede que o número do protocolo seja informado no sistema decimal. O número do protocolo a ser informado pelo usuário é",18.,42.,84.,102.,222.,2020,136,MT,B,portuguese
QUESTÃO 137,"Suponha que uma equipe de corrida de automóveis disponha de cinco tipos de pneu (1, 2, 3, 4, 5), em que o fator de eficiência climática EC (índice que fornece o comportamento do pneu em uso, dependendo do clima) é apresentado: • EC do pneu 1: com chuva 6, sem chuva 3; • EC do pneu 2 : com chuva 7, sem chuva −4; • EC do pneu 3 : com chuva −2, sem chuva 10; • EC do pneu 4: com chuva 2, sem chuva 8; • EC do pneu 5 : com chuva −6, sem chuva 7. O coeficiente de rendimento climático (CRC) de um pneu é calculado como a soma dos produtos dos fatores de EC, com ou sem chuva, pelas correspondentes probabilidades de se ter tais condições climáticas: ele é utilizado para determinar qual pneu deve ser selecionado para uma dada corrida, escolhendo-se o pneu que apresentar o maior CRC naquele dia. No dia de certa corrida, a probabilidade de chover era de 70 por cento e o chefe da equipe calculou o CRC de cada um dos cinco tipos de pneu. O pneu escolhido foi",1.,2.,3.,4.,5.,2020,137,MT,A,portuguese
QUESTÃO 138,"Um pé de eucalipto em idade adequada para o corte rende, em média, 20 mil folhas de papel A4. A densidade superficial do papel A4, medida pela razão da massa de uma folha desse papel por sua área, é de 75 gramas por metro quadrado, e a área de uma folha de A4 é 0,062 metro quadrado. Nessas condições, quantos quilogramas de papel rende, em média, um pé de eucalipto?",4 301,1 500,930,267,93,2020,138,MT,E,portuguese
QUESTÃO 139,"Com o objetivo de contratar uma empresa responsável pelo serviço de atendimento ao público, os executivos de uma agência bancária realizaram uma pesquisa de satisfação envolvendo cinco empresas especializadas nesse segmento. Os procedimentos analisados (com pesos que medem sua importância para a agência) e as respectivas notas que cada empresa recebeu estão organizados no quadro. A agência bancária contratará a empresa com a maior média ponderada das notas obtidas nos procedimentos analisados. Após a análise dos resultados da pesquisa de satisfação, os executivos da agência bancária contrataram a empresa",X.,Y.,Z.,W.,"T. Descrição do quadro: São três os procedimentos analisados, aos quais foram atribuídas notas às cinco empresas. Procedimento “Rapidez no atendimento”: peso 3. Empresa X: nota 5; empresa Y: nota 1; empresa Z: nota 4; empresa W: nota 3; empresa T: nota 4. Procedimento “Clareza nas informações passadas aos clientes”: peso 5. Empresa X: nota 1; empresa Y: nota 4; empresa Z: nota 3; empresa W: nota 3; empresa T: nota 2. Procedimento “Cortesia no atendimento”: peso 2. Empresa X: nota 2; empresa Y: nota 2; empresa Z: nota 2; empresa W: nota 3; empresa T: nota 4.",2020,139,MT,C,portuguese
QUESTÃO 140,"O técnico de um time de basquete pretende aumentar a estatura média de sua equipe de 1,93 metros para, no mínimo, 1,99 metros. Para tanto, dentre os 15 jogadores que fazem parte de sua equipe, irá substituir os quatro mais baixos, de estaturas: 1,78 metros, 1,82 metros, 1,84 metros e 1,86 metros. Para isso, o técnico contratou um novo jogador de 2,02 metros. Os outros três jogadores que ele ainda precisa contratar devem satisfazer à sua necessidade de aumentar a média das estaturas da equipe. Ele fixará a média das estaturas para os três jogadores que ainda precisa contratar dentro do critério inicialmente estabelecido. Qual deverá ser a média mínima das estaturas, em metro, que ele deverá fixar para o grupo de três novos jogadores que ainda irá contratar?","1,96","1,98","2,05","2,06","2,08",2020,140,MT,D,portuguese
QUESTÃO 141,"Uma pessoa pretende percorrer, a pé, uma distância de 1 800 metros em doze minutos. Para isso, contrata um preparador físico que estabelece o seguinte cronograma: correr 800 metros em doze minutos, por dia, durante a primeira semana e, a cada semana seguinte, correr 200 metros a mais do que o praticado diariamente na semana anterior, respeitando o mesmo tempo. A pessoa acata a sugestão e inicia seu treinamento na segunda-feira da próxima semana. Cumprido o cronograma adotado, a partir de qual semana essa pessoa estará correndo 1 800 metros diários?",Quinta.,Sexta.,Sétima.,Oitava.,Nona.,2020,141,MT,B,portuguese
QUESTÃO 142,"O quadro representa os gastos mensais, em real, de uma família com internet, mensalidade escolar e mesada do filho. Descrição do Quadro: Gastos com internet: 120; gastos com mensalidade escolar: 700; gastos com mesada do filho: 400 No início do ano, a internet e a mensalidade escolar tiveram acréscimos, respectivamente, de 20 por cento e 10 por cento. Necessitando manter o valor da despesa mensal total com os itens citados, a família reduzirá a mesada do filho. Qual será a porcentagem da redução da mesada?","15,0","23,5","30,0","70,0","76,5",2020,142,MT,B,portuguese
QUESTÃO 143,"Amigo secreto é uma brincadeira tradicional nas festas de fim de ano. Um grupo de amigos se reúne e cada um deles sorteia o nome da pessoa que irá presentear. No dia da troca de presentes, uma primeira pessoa presenteia seu amigo secreto. Em seguida, o presenteado revela seu amigo secreto e o presenteia. A brincadeira continua até que todos sejam presenteados, mesmo no caso em que o ciclo se fecha. Dez funcionários de uma empresa, entre eles um casal, participarão de um amigo secreto. A primeira pessoa a revelar será definida por sorteio. Qual é a probabilidade de que a primeira pessoa a revelar o seu amigo secreto e a última presenteada sejam as duas pessoas do casal?",Um quinto.,Um quarenta e cinco avos.,Um cinquenta avos.,Um noventa avos.,Um cem avos.,2020,143,MT,anulada,portuguese
QUESTÃO 144,"A correta administração de medicamentos é de suma importância para o tratamento e melhora de um paciente. A quantidade de gotas por minuto a serem administradas em um paciente é diretamente proporcional ao volume, em mililitro, que se quer administrar e inversamente proporcional ao triplo do tempo, em hora, com constante de proporcionalidade igual a 1. Um paciente desidratado irá receber 500 mililitros de soro fisiológico em 12 horas. O número que mais se aproxima da quantidade de gotas por minuto que devem ser administradas é",2.,4.,14.,18.,42.,2020,144,MT,C,portuguese
QUESTÃO 145,"Uma pessoa precisa comprar 15 sacos de cimento para uma reforma em sua casa. Faz pesquisa de preço em cinco depósitos que vendem o cimento de sua preferência e cobram frete para entrega do material, conforme a distância do depósito à sua casa. As informações sobre preço do cimento, valor do frete e distância do depósito até a casa dessa pessoa estão apresentadas no quadro. Descrição do quadro: O quadro informa os valores do saco de cimento em cada depósito, os respectivos valores do frete para cada quilômetro e a distância, em quilômetro, entre a casa da pessoa e o depósito. Depósito A − Saco de cimento: 23 reais; valor do frete para cada quilômetro: 1 real; distância: 10 qui- lômetros. Depósito B − Saco de cimento: 21,50 reais; valor do frete para cada quilômetro: 3 reais; distância: 12 quilômetros. Depósito C − Saco de cimento: 22 reais; valor do frete para cada quilômetro: 1,50 real; distância: 14 quilômetros. Depósito D − Saco de cimento: 21 reais; valor do frete para cada quilômetro: 3,50 reais; distância: 18 quilômetros. Depósito E − Saco de cimento: 24 reais; valor do frete para cada quilômetro: 2,50 reais; distância: 2 quilômetros. A pessoa escolherá um desses depósitos para realizar sua compra, considerando os preços do cimento e do fre- te oferecidos em cada opção. Se a pessoa decidir pela opção mais econômica, o depósito escolhido para a realização dessa compra será o",A.,B.,C.,D.,E.,2020,145,MT,C,portuguese
