question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 136,"Os cerca de 40 mil engenheiros formados anualmente no Brasil não serão suficientes para atender à demanda de 300 mil profissionais da área, necessários para obras e investimentos previstos para os próximos cinco anos, como os da Copa do Mundo, das Olimpíadas, do Programa de Aceleração do Crescimento (PAC) e do petróleo do pré-sal. Apesar dessa demanda, um dos fatores causadores do desinteresse pelos cursos de engenharia são os necessários conhecimentos em matemática. Um exemplo de habilidade que um engenheiro deve ter é de desenhar um objeto real com 5 metros de comprimento, numa escala de um para vinte. Considere que todo o comprimento do papel deve ser usado. Qual é o comprimento necessário, em centímetros, do papel para fazer esse desenho?",10,20,25,40,100,2015,136,MT,A,portuguese
QUESTÃO 137,"Um técnico precisa consertar o termostato do aparelho de ar-condicionado de um escritório, que está desregulado. A temperatura T, em graus Celsius, no escritório, varia de acordo com a função T de h igual a A mais B vezes seno abre parêntese no numerador pi no denominador 12 abre parêntese h menos 12 fecha parêntese, fecha parêntese, sendo h o tempo, medido em horas, a partir da meia-noite abre parêntese zero menor ou igual a h menor que 24 e",e,"os parâmetros que o técnico precisa regular. Os funcionários do escritório pediram que a temperatura máxima fosse 26 graus celsius, a mínima 18 graus celsius , e que durante a tarde a temperatura fosse menor do que durante a manhã. Quais devem ser os valores de A e de B para que o pedido dos funcionários seja atendido? A A = 18 e B = 8 B A = 22 e B = - 4",A = 22 e B = 4,A = 26 e B = - 8,A = 26 e B = 8,2015,137,MT,B,portuguese
QUESTÃO 138,"Num campeonato de futebol de 2012, um time sagrou-se campeão com um total de 77 pontos ( P ) em 38 jogos, tendo 22 vitórias ( V ), 11 empates ( E ) e 5 derrotas ( D ). No critério adotado para esse ano, somente as vitórias e empates têm pontuações positivas e inteiras. As derrotas têm valor zero e o valor de cada vitória é maior que o valor de cada empate. Um torcedor, considerando a fórmula da soma de pontos injusta, propôs aos organizadores do campeonato que, para o ano de 2013, o time derrotado em cada partida perca 2 pontos, privilegiando os times que perdem menos ao longo do campeonato. Cada vitória e cada empate continuariam com a mesma pontuação de 2012. Qual a expressão que fornece a quantidade de pontos ( P ), em função do número de vitórias ( V ), do número de empates ( E ) e do número de derrotas ( D ), no sistema de pontuação proposto pelo torcedor para o ano de 2013?",P igual a 3 vezes V mais E,P igual a 3 vezes V menos 2 vezes D,P igual a 3 vezes V mais E menos,D P igual a 3 vezes V mais,menos 2 vezes D E P igual a 3 vezes V mais E mais 2 vezes D,2015,138,MT,D,portuguese
QUESTÃO 139,"O gráfico mostra a variação percentual do valor do Produto Interno Bruto (PIB) do Brasil, por trimestre, em relação ao trimestre anterior: Descrição do gráfico: Gráfico de segmentos que apresenta os seguintes dados: 2009 – primeiro trimestre: -1,92; segundo trimestre: 1,87; terceiro trimestre: 2,57; e quarto trimestre: 2,45. 2010 – primeiro trimestre: 2,19; segundo trimestre: 1,59; terceiro trimestre: 0,39; e quarto trimestre: 0,75. 2011 – primeiro trimestre: 1,1. De acordo com o gráfico, no período considerado, o trimestre em que o Brasil teve o maior valor do PIB foi o",segundo trimestre de 2009.,quarto trimestre de 2009.,terceiro trimestre de 2010.,quarto trimestre de 2010.,primeiro trimestre de 2011.  ,2015,139,MT,D,portuguese
QUESTÃO 140,"A Organização Mundial da Saúde (OMS) recomenda que o consumo diário de sal de cozinha não exceda 5 gramas. Sabe-se que o sal de cozinha é composto por 40 por cento de sódio e 60 por cento de cloro. Qual é a quantidade máxima de sódio proveniente do sal de cozinha, recomendada pela OMS, que uma pessoa pode ingerir por dia?",1 250 miligramas,2 000 miligramas,3 000 miligramas,5 000 miligramas,12 500 miligramas,2015,140,MT,C,portuguese
QUESTÃO 141,"Um fornecedor vendia caixas de leite a um supermercado por R$ 1,50 a unidade. O supermercado costumava comprar 3 000 caixas de leite por mês desse fornecedor. Uma forte seca, ocorrida na região onde o leite é produzido, forçou o fornecedor a encarecer o preço de venda em 40 por cento. O supermercado decidiu então cortar em 20 por cento a compra mensal dessas caixas de leite. Após essas mudanças, o fornecedor verificou que sua receita nas vendas ao supermercado tinha aumentado. O aumento da receita nas vendas do fornecedor, em reais, foi de",540.,600.,900.,1 260.,1 500.,2015,141,MT,C,portuguese
QUESTÃO 142,"Cinco amigos marcaram uma viagem à praia em dezembro. Para economizar, combinaram de ir num único carro. Cada amigo anotou quantos quilômetros seu carro fez, em média, por litro de gasolina, nos meses de setembro, outubro e novembro. Ao final desse trimestre, calcularam a média dos três valores obtidos para escolherem o carro mais econômico, ou seja, o que teve a maior média. Os dados estão repr esentados na tabela: Descrição da tabela: Tabela que apresenta o desempenho médio mensal em quilômetros por litro Carro I – Setembro: 6,2 quilômetros por litro; Outubro: 9,0 quilômetros por litro; Novembro: 9,3 quilômetros por litro. Carro II – Setembro: 6,7 quilômetros por litro; Outubro: 6,8 quilômetros por litro; Novembro: 9,5 quilômetros por litro. Carro III – Setembro: 8,3 quilômetros por litro; Outubro: 8,7 quilômetros por litro; Novembro: 9,0 quilômetros por litro. Carro IV – Setembro: 8,5 quilômetros por litro; Outubro: 7,5 quilômetros por litro; Novembro: 8,5 quilômetros por litro. Carro V – Setembro: 8,0 quilômetros por litro; Outubro: 8,0 quilômetros por litro; Novembro: 8,0 quilômetros por litro. Qual carro os amigos deverão escolher para a viagem?",I,II,III,IV,V,2015,142,MT,C,portuguese
QUESTÃO 143,"Um paciente precisa ser submetido a um tratamento, sob orientação médica, com determinado medicamento. Há cinco possibilidades de medicação, variando a dosagem e o intervalo de ingestão do medicamento. As opções apresentadas são: A: um comprimido de 400 miligramas , de 3 em 3 horas, durante 1 semana; B: um comprimido de 400 miligramas , de 4 em 4 horas, durante 10 dias; C: um comprimido de 400 miligramas , de 6 em 6 horas, durante 2 semanas; D: um comprimido de 500 miligramas , de 8 em 8 horas, durante 10 dias; E: um comprimido de 500 miligramas , de 12 em 12 horas, durante 2 semanas. Para evitar efeitos colaterais e intoxicação, a recomendação é que a quantidade total de massa da medicação ingerida, em miligramas, seja a menor possível. Seguindo a recomendação, deve ser escolhida a opção",A.,B.,C.,D.,E.  ,2015,143,MT,C,portuguese
QUESTÃO 144,"Pedro e José são operários da construção civil. Eles carregavam vários sacos de areia idênticos em carrinhos de mão, quando Pedro começou a reclamar da tarefa. Nesse momento, José desabafou: “Do que você está reclamando, Pedro? Se você me der um saco de areia, carregarei o dobro de sacos que você! E se eu lhe der um saco de areia, carregaremos a mesma quantidade”. Na situação descrita, quantos sacos de areia carregava José?",5.,6.,7.,8.,9.,2015,144,MT,C,portuguese
QUESTÃO 145,"O sindicato de trabalhadores de uma empresa sugere que o piso salarial da classe seja de R$ 1 800,00, propondo um aumento percentual fixo por cada ano dedicado ao trabalho. A expressão que corresponde à proposta salarial ( s ), em função do tempo de serviço ( t ), em anos, é s de t igual a 1 800 vezes abre parêntese 1,03 fecha parêntese elevado a t. De acordo com a proposta do sindicato, o salário de um profissional dessa empresa com 2 anos de tempo de serviço será, em reais,","7 416,00.","3 819,24.","3 709,62.","3 708,00.","1 909,62.",2015,145,MT,A,portuguese
