question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 46,"Um paciente deu entrada em um pronto-socorro apresentando os seguintes sintomas: cansaço, dificuldade em respirar e sangramento nasal. O médico solicitou um hemograma ao paciente para definir um diagnóstico. Os resultados do hemograma e os valores de referência são apresentados a seguir: glóbulos vermelhos: 4 milhões por milímetro cúbico (número normal: 4,8 milhões por milímetro cúbico); glóbulos brancos: 9 000 por milímetro cúbico (número normal: 5 000 a 10 000 por milímetro cúbico); plaquetas: 200 000 por milímetro cúbico (número normal: 250 000 a 400 000 por milímetro cúbico). Relacionando os sintomas apresentados pelo paciente com os resultados de seu hemograma, constata-se que","o sangramento nasal é devido à baixa quantidade de plaquetas, que são responsáveis pela coagulação sanguínea.","o cansaço ocorreu em função da quantidade de glóbulos brancos, que são responsáveis pela coagulação sanguínea.","a dificuldade respiratória decorreu da baixa quantidade de glóbulos vermelhos, que são responsáveis pela defesa imunológica.","o sangramento nasal é decorrente da baixa quantidade de glóbulos brancos, que são responsáveis pelo transporte de gases no sangue.","a dificuldade respiratória ocorreu pela quantidade de plaquetas, que são responsáveis pelo transporte de oxigênio no sangue.",2011,46,CN,A,portuguese
QUESTÃO 47,"Considere uma situação hipotética em uma cadeia alimentar, em que os personagens sejam um tigre, um homem e alguns abutres. Nessa situação, o homem pensa em abater o tigre; o tigre, em abater o homem; os abutres, no topo de uma colina, esperam que o resultado desse confronto seja o abate de ambos: do tigre e do homem. Considere, ainda, que o homem, anteriormente, tenha-se alimentado de frutas e grãos que conseguiu coletar. Na hipótese de o tigre ser bem-sucedido em abater o homem e, posteriormente, servir de alimento aos abutres, tigre e abutres ocuparão, respectivamente, os níveis tróficos de",produtor e consumidor primário.,consumidor primário e consumidor secundário.,consumidor secundário e consumidor terciário.,consumidor terciário e produtor.,consumidor secundário e consumidor primário.,2011,47,CN,C,portuguese
QUESTÃO 48,"A produção de soro antiofídico é feita por meio da extração da peçonha de serpentes que, após tratamento, é introduzida em um cavalo. Em seguida são feitas sangrias para avaliar a concentração de anticorpos produzidos pelo cavalo. Quando essa concentração atinge o valor desejado, é realizada a sangria final para obtenção do soro. As hemácias são devolvidas ao animal, por meio de uma técnica denominada plasmaferese, a fim de reduzir os efeitos colaterais provocados pela sangria. A plasmaferese é importante, pois, se o animal ficar com  baixa quantidade de hemácias, ele poderá apresentar",febre alta e constante.,redução de imunidade.,aumento da pressão arterial.,quadro de leucemia profunda.,problemas no transporte de oxigênio.,2011,48,CN,E,portuguese
QUESTÃO 49,"Um dos problemas dos combustíveis que contêm carbono é que sua queima produz dióxido de carbono. Portanto, uma característica importante, ao se escolher um combustível, é analisar seu calor de combustão ( ∆H cº), definido como a energia liberada na queima completa de um mol de combustível no estado padrão. A seguir, são fornecidos os calores de combustão de algumas substâncias que contêm carbono. benzeno — C6H6 (líquido): –3 268 quilojoules por mol etanol — C2H5 OH (líquido): −1 368 quilojoules por mol glicose — C6H12O6 (sólido): −2 808 quilojoules por mol metano — CH4 (gasoso): −890 quilojoules por mol octano — C8H18 (líquido): −5 471 quilojoules por mol Neste contexto, qual dos combustíveis, quando queimado completamente, libera mais dióxido de carbono no ambiente pela mesma quantidade de energia produzida?",Benzeno.,Metano.,Glicose.,Octano.,Etanol.,2011,49,CN,C,portuguese
QUESTÃO 50,"Para evitar o desmatamento da Mata Atlântica nos arredores da cidade de Amargosa, no Recôncavo da Bahia, o Ibama tem atuado no sentido de fiscalizar, entre outras, as pequenas propriedades rurais que dependem da lenha proveniente das matas para a produção da farinha de mandioca, produto típico da região. Com isso, pequenos produtores procuram alternativas como o gás de cozinha, o que encarece a farinha. Uma alternativa viável, em curto prazo, para os produtores de farinha em Amargosa, que não cause danos à Mata Atlântica nem encareça o produto é a","construção, nas pequenas propriedades, de grandes fornos elétricos para torrar a mandioca.","plantação, em suas propriedades, de árvores para serem utilizadas na produção de lenha.","permissão, por parte do Ibama, da exploração da Mata Atlântica apenas pelos pequenos produtores.","construção de biodigestores, para a produção de gás combustível a partir de resíduos orgânicos da região.","coleta de carvão de regiões mais distantes, onde existe menor intensidade de fis calização do Ibama.",2011,50,CN,D,portuguese
QUESTÃO 51,"Um barco feito com 12 500 garrafas plásticas recicladas fez uma travessia de 4 meses no Oceano Atlântico. O objetivo da viagem era chamar a atenção dos riscos do lixo plástico para os mares. O Plastiki, como foi denominado esse barco, é um catamarã de 18 metros de comprimento e quase inteiramente feito de garrafas, unidas por cola orgânica feita de cana-de-açúcar e caju. O que confere ao Plastiki a capacidade de boiar sobre a água é",seu casco de plástico.,sua forma achatada.,seu tamanho.,sua densidade.,sua altura.,2011,51,CN,D,portuguese
QUESTÃO 52,"O manual de funcionamento de um captador de guitarra elétrica apresenta o seguinte texto: Esse captador comum consiste de uma bobina, fios  condutores enrolados em torno de um ímã permanente. O campo magnético do ímã induz o ordenamento dos polos magnéticos na corda da guitarra, que está próxima a ele. Assim, quando a corda é tocada, as oscilações produzem variações, com o mesmo padrão, no fluxo magnético que atravessa a bobina. Isso induz uma corrente elétrica na bobina, que é transmitida até o amplificador e, daí, para o alto-falante. Um guitarrista trocou as cordas originais de sua guitarra, que eram feitas de aço, por outras feitas de náilon. Com o uso dessas cordas, o amplificador ligado ao instrumento não emitia mais som, porque a corda de náilon",isola a passagem de corrente elétrica da bobina para o alto-falante.,varia seu comprimento mais intensamente do que ocorre com o aço.,apresenta uma magnetização desprezível sob a ação do ímã permanente.,induz correntes elétricas na bobina mais intensas que a capacidade do captador.,oscila com uma frequência menor do que a que pode ser percebida pelo captador.,2011,52,CN,C,portuguese
QUESTÃO 53,"O controle biol ógico, técnica empregada no combate a espécies que causam danos e prejuízos aos seres humanos, é utilizado no combate à lagarta que se alimenta de folhas de algodoeiro. Algumas espécies de borboleta depositam seus ovos nessa cultura. A microvespa Trichogramma sp . introduz seus ovos nos ovos de outros insetos, incluindo os das borboletas em questão. Os embriões da vespa se alimentam do conteúdo desses ovos e impedem que as larvas de borboleta se desenvolvam. Assim, é possível reduzir a densidade populacional das borboletas até níveis que não prejudiquem a cultur a. A técnica de controle biológico realizado pela microvespa Trichogramma sp. consiste na",introdução de um parasita no ambiente da espécie que se deseja combater.,"introdução de um gene letal nas borboletas, a fim de diminuir o número de indivíduos.",competição entre a borboleta e a microvespa para a obtenção de recursos.,modificação do ambiente para selecionar indivíduos melhor adaptados.,aplicação de inseticidas a fim de diminuir o número de indivíduos que se deseja combate r.,2011,53,CN,A,portuguese
QUESTÃO 54,"Belém é cercada por 39 ilhas, e suas populações convivem com ameaças de doenças. O motivo, apontado por especialistas, é a poluição da água do rio, principal fonte de sobrevivência dos ribeirinhos. A diarreia é frequente nas crianças e ocorre como consequência da falta de saneamento básico, já que a população não tem acesso à água de boa qualidade. Como não há água potável, a alternativa é consumir a do rio. O procedimento adequado para tratar a água dos rios, a fim de atenuar os problemas de saúde causados por microrganismos a essas populações ribeirinhas é a",filtração.,cloração.,coagulação.,fluoretação.,decantação.,2011,54,CN,B,portuguese
QUESTÃO 55,"O vírus do papiloma humano (HPV, na sigla em inglês) causa o aparecimento de verrugas e infecção persistente, sendo o principal fator ambiental do câncer de colo de útero nas mulheres. O vírus pode entrar pela pele ou por mucosas do corpo, o qual desenvolve anticorpos contra a ameaça, embora em alguns casos a defesa natural do organismo não seja suficiente. Foi desenvolvida uma vacina contra o HPV, que reduz em até 90% as verrugas e 85,6% dos casos de infecção persistente em comparação com pessoas não vacinadas. O benefício da utilização dessa vacina é que pessoas vacinadas, em comparação com as não vacinadas, apresentam diferentes respostas ao vírus HPV em decorrência da",alta concentração de macrófagos.,elevada taxa de anticorpos específicos anti-HPV circulantes.,aumento na produção de hemácias após a infecção por vírus HPV.,rapidez na produção de altas concentrações de linfócitos matadores.,presença de células de memória que atuam na resposta secundária.,2011,55,CN,E,portuguese
QUESTÃO 56,"Certas ligas estanho-chumbo com composição específica formam um eutético simples, o que significa que uma liga com essas características se comporta como uma substância pura, com um ponto de fusão definido, no caso 183 ºC. Essa é uma temperatura inferior mesmo ao ponto de fusão dos metais que compõem esta liga (o estanho puro funde a 232 ºC e o chumbo puro a 320 ºC), o que justifica sua ampla utilização na soldagem de componentes eletrônicos, em que o excesso de aquecimento deve sempre ser evitado. De acordo com as normas internacionais, os valores mínimo e máximo das densidades para essas ligas são de 8,74 g/mL e 8,82 g/mL, respectivamente. As densidades do estanho e do chumbo são 7,3 g/mL e 11,3 g/mL, respectivamente. Um lote contendo 5 amostras de solda estanho- chumbo foi analisado por um técnico, por meio da determinação de sua composição percentual em massa, e os resultados foram os seguintes: amostra I: 60% de Sn e 40% de Pb; amostra II: 62% de Sn e 38% de Pb;amostra III: 65% de Sn e 35% de Pb;amostra IV: 63% de Sn e 37% de Pb;amostra V: 59% de Sn e 41% de Pb. Com base no texto e na análise realizada pelo técnico, as amostras que atendem às normas internacionais são",I e II.,I e III.,II e IV.,III e V.,IV e V.,2011,56,CN,C,portuguese
