question,body,A,B,C,D,E,year,question_number,test,answer,language,CO_HABILIDADE,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
QUESTÃO 01,"Torna-se claro que quem descobriu a África no Brasil, muito antes dos europeus, foram os próprios africanos trazidos como escravos. E esta descoberta não se restringia apenas ao reino linguístico, estendia-se também a outras áreas culturais, inclusive à da religião. Há razões para pensar que os africanos, quando misturados e transportados ao Brasil, não demoraram em perceber a existência entre si de elos culturais mais profundos. Com base no texto, ao favorecer o contato de indivíduos de diferentes partes da África, a experiência da escravidão no Brasil tornou possível a",formação de uma identidade cultural afro-brasileira.,superação de aspectos culturais africanos por antigas tradições europeias.,reprodução de conflitos entre grupos étnicos africanos.,manutenção das características culturais específicas de cada etnia.,resistência à incorporação de elementos culturais indígenas.,2012,1,CH,A,portuguese,17,1.121,-0.493,0.191,154
QUESTÃO 02,"No discurso intitulado Eu tenho um sonho , proferido em agosto de 1963, Martin Luther King Jr afirma: Nós nos recusamos a acreditar que o banco da justiça é falível. Nós nos recusamos a acreditar que há capitais insuficientes de oportunidade nesta nação. Assim nós viemos trocar este cheque, um cheque que nos dará o direito de reclamar as riquezas de liberdade e a segurança da justiça. O cenário vivenciado pela população negra, no sul dos Estados Unidos nos anos 1950, conduziu à mobilização social. Nessa época, surgiram reivindicações que tinham como expoente Martin Luther King e objetivavam",a conquista de d ireitos civis para a população negra.,o apoio aos atos violentos patrocinados pelos negros em espaço urbano.,a supremacia das instituições religiosas em meio à comunidade negra sulista.,a incorporação dos negros no mercado de trabalho.,a aceitação da cultura negra como representante do modo de vida americano .,2012,2,CH,A,portuguese,4,0.983,-0.408,0.15,154
QUESTÃO 03,"Na obra Do Espírito das Leis, Montesquieu escreve: É verdade que nas democracias o povo parece fazer o que quer; mas a liberdade política não consiste nisso. Deve-se ter sempre presente em mente o que é independência e o que é liberdade. A liberdade é o direito de fazer tudo o que as leis permitem; se um cidadão pudesse fazer tudo o que elas proíbem, não teria mais liberdade, porque os outros também teriam tal poder. A característica de democracia ressaltada por Montesquieu diz respeito",ao status de cidadania que o indivíduo adquire ao tomar as decisões por si mesmo.,ao condicionamento da liberdade dos cidadãos à conformidade às leis.,"à possibilidade de o cidadão participar no poder e, nesse caso, livre da submissão às leis.","ao livre-arbítrio do cidadão em relação àquilo que é proibido, desde que ciente das consequências.",ao direito do cidadão exercer sua vontade de acordo com seus valores pessoais.,2012,3,CH,B,portuguese,21,2.88,-0.094,0.173,154
QUESTÃO 04,"Considere a seguinte descrição do cartum O dilema de Lord Willingdon : Gandhi está em uma cela. Do lado de fora milhares de pessoas com o rosto igual ao de Gandhi observam o preso. Lord Willingdon, que está em frente à porta da cela, demonstra dúvida sobre abrir ou fechar o cadeado da cela. O cartum, publicado em 1932, ironiza as consequências sociais das constantes prisões de Mahatma Gandhi pelas autoridades britânicas, na Índia, demonstrando",a ineficiência do sistema judiciário inglês no território indiano.,o apoio da população hindu à prisão de Gandhi.,o caráter violento das manifestações hindus frente à ação inglesa.,a impossibilidade de deter o movimento liderado por Gandhi.,a indiferença das autoridades britânicas frente ao apelo po pular hindu.,2012,4,CH,D,portuguese,21,3.071,0.422,0.155,154
QUESTÃO 05,"Diante dessas inconsistências e de outras que ainda preocupam a opinião pública, nós, jornalistas, estamos encaminhando este documento ao Sindicato dos Jornalistas Profissionais no Estado de São Paulo, para que o entregue à Justiça; e da Justiça esperamos a realização de novas diligências capazes de levar à completa elucidação desses fatos e de outros que porventura vierem a ser levantados. A morte do jornalista Vladimir Herzog, ocorrida durante o regime militar, em 1975, levou a medidas como o abaixo- assinado feito por profissionais da imprensa de São Paulo. A análise dessa medida tomada indica a",certeza do cumprimento das leis.,superação do governo de exceção.,violência dos terroristas de esquerda.,punição dos torturadores da polícia.,expectativa da investigação dos culpados.,2012,5,CH,E,portuguese,13,2.704,2.171,0.221,154
QUESTÃO 06,"Dom Lourenço de Almeida, em 1722, fez a seguinte afirmação: Em todas estas Minas, não há mulheres que hajam de casar, e quando há alguma que viesse em companhia de seus pais (que são raras), são tantos os casamentos que lhe saem, que se vê o pai da noiva em grande embaraço sobre a escolha que há de fazer do genro. No texto, identifica-se uma característica da sociedade mineradora no período colonial cuja explicação está relacionada à",violência dos índios devido à luta contra a escravidão.,influência dos jesuítas devido à rígida moralidade cristã.,falta de ourives devido à oferta de trabalho na metrópole.,fuga dos cativos devido ao enfraquecimento do poder senhorial.,preponderância de colonos devido ao potencial econômico da região.,2012,6,CH,E,portuguese,1,1.624,0.873,0.15,154
QUESTÃO 07,"No Dicionário do Brasil Imperial , organizado pelo historiador Ronaldo Vainfas, encontra-se o seguinte trecho: Após o retorno de uma viagem a Minas Gerais, onde Pedro I fora recebido com grande frieza, seus partidários prepararam uma série de manifestações a favor do imperador no Rio de Janeiro, armando fogueiras e luminárias na cidade. Contudo, na noite de 11 de março, tiveram início os conflitos que ficaram conhecidos como a Noite das Garrafadas, durante os quais os “brasileiros” apagavam as fogueiras “portuguesas” e atacavam as casas iluminadas, sendo respondidos com cacos de garrafas jogadas das janelas. Os anos finais do I Reinado (1822-1831) se caracterizaram pelo aumento da tensão política. Nesse sentido, a análise dos episódios descritos em Minas Gerais e no Rio de Janeiro revela",estímulos ao racismo.,apoio ao xenofobismo.,críticas ao federalismo.,repúdio ao republicanismo.,questionamentos ao autoritarismo.,2012,7,CH,E,portuguese,12,2.406,2.06,0.159,154
QUESTÃO 08,"No livro Terra dos homens: a geografia , Paul Claval escreve: Portadora de memória, a paisagem ajuda a construir os sentimentos de pertencimento; ela cria uma atmosfera que convém aos momentos fortes da vida, às festas, às comemorações. No texto, é apresentada uma forma de integração da paisagem geográfica com a vida social. Nesse sentido, a paisagem, além de existir como forma concreta, apresenta uma dimensão",política de apropriação efetiva do espaço.,econômica de uso de recursos do espaço.,privada de limitação sobre a utilização do espaço.,natural de composição por elementos físicos do espaço.,simbólica de relação subjetiva do indivíduo com o espaço.,2012,8,CH,E,portuguese,23,2.461,0.838,0.201,154
QUESTÃO 09,"No livro A era das Revoluções: 1789-1848 , o historiador Eric Hobsbawm escreve: Em tempo de revolução, nada é mais poderoso do que a queda de símbolos. A queda da Bastilha, que fez do 14 de julho de 1789 a festa nacional francesa, ratificou a queda do despotismo e foi saudada em todo o mundo como o princípio de libertação. De acordo com o texto, a simbologia em torno da Revolução Francesa ensejou uma ruptura com o passado, porque",consolidou os direitos de cidadania conquistados pelos trabalhadores urbanos e rurais.,estabeleceu a igualdade social como direito individual e coletivo garantido pelo Estado.,legitimou o direito à insurreição diante de qualquer opressão exercida pelas autoridades.,estabeleceu o sufrágio universal masculino adequado aos interesses da burguesia.,instituiu a liberdade e a igualdade civil como direitos naturais e inalienáveis do homem.,2012,9,CH,E,portuguese,24,2.208,1.55,0.13,154
QUESTÃO 10,"Em seu texto Resposta à pergunta: o que é Esclarecimento?, o filósofo Immanuel Kant afirma: Esclarecimento é a saída do homem de sua menoridade, da qual ele próprio é culpado. A menoridade é a incapacidade de fazer uso de seu entendimento sem a direção de outro indivíduo. O homem é o próprio culpado dessa menoridade se a causa dela não se encontra na falta de entendimento, mas na falta de decisão e coragem de servir-se de si mesmo sem a direção de outrem. Tem coragem de fazer uso de teu próprio entendimento, tal é o lema do esclarecimento. A preguiça e a covardia são as causas pelas quais uma tão grande parte dos homens, depois que a natureza de há muito os libertou de uma condição estranha, continuem, no entanto, de bom grado menores durante toda a vida. Kant destaca no texto o conceito de Esclarecimento, fundamental para a compreensão do contexto filosófico da Modernidade. Esclarecimento, no sentido empregado por Kant, representa",a reivindicação de autonomia da capacidade racional como expressão da maioridade.,o exercício da racionalidade como pressuposto menor diante das verdades eternas.,"a imposição de verdades matemáticas, com caráter objetivo, de forma heterônoma.",a compreensão de verdades religiosas que libertam o homem da falta de entendimento.,a emancipação da subjetividade humana de ideologias produzidas pela própria razão.,2012,10,CH,A,portuguese,15,1.308,1.057,0.182,154
QUESTÃO 11,"No livro A inclusão do outro: estudos de teoria política , Habermas afirma: Na regulação de matérias culturalmente delicadas, como, por exemplo, a linguagem oficial, os currículos da educação pública, o status das Igrejas e das comunidades religiosas, as normas do direito penal (por exemplo, quanto ao aborto), mas também em assuntos menos chamativos, como, por exemplo, a posição da família e dos consórcios semelhantes ao matrimônio, a aceitação de normas de segurança ou a delimitação das esferas pública e privada — em tudo isso reflete-se amiúde apenas o autoentendimento ético-político de uma cultura majoritária, dominante por motivos históricos. Por causa de tais regras, implicitamente repressivas, mesmo dentro de uma comunidade republicana que garanta formalmente a igualdade de direitos para todos, pode eclodir um conflito cultural movido pelas minorias desprezadas contra a cultura da maioria. A reivindicação dos direitos culturais das minorias, como exposto por Habermas, encontra amparo nas democracias contemporâneas, na medida em que se alcança","a secessão, pela qual a minoria discriminada obteria a igualdade de direitos na condição da sua concentração espacial, num tipo de independência nacional.","a reunificação da sociedade que se encontra fragmentada em grupos de diferentes comunidades étnicas, confissões religiosas e formas de vida, em torno da coesão de uma cultura política nacional.","a coexistência das diferenças, considerando a possibilidade de os discursos de autoentendimento se submeterem ao debate público, cientes de que estarão vinculados à coerção do melhor argumento.","a autonomia dos indivíduos que, ao chegarem à vida adulta, tenham condições de se libertar das tradições de suas origens em nome da harmonia da política nacional.","o desaparecimento de quaisquer limitações, tais como linguagem política ou distintas convenções de comportamento, para compor a arena política a ser compartilhada.",2012,11,CH,C,portuguese,13,2.226,2.501,0.129,154
QUESTÃO 12,"Em Carta enviada aos reis da Espanha, escrita em 1503, Cristóvão Colombo afirma: Mas uma coisa ouso afirmar, porque há muitos testemunhos, e é que vi nesta terra de Veragua [Panamá] maiores indícios de ouro nos dois primeiros dias do que na Hispaniola em quatro anos, e que as terras da região não podem ser mais bonitas nem mais bem lavradas. Ali, se quiserem podem mandar extrair à vontade. O documento permite identificar um interesse econômico espanhol na colonização da América a partir do século XV. A implicação desse interesse na ocupação do espaço americano está indicada na",expulsão dos indígenas para fortalecer o clero católico.,promoção das guerras justas para conquistar o território.,imposição da catequese para explorar o trabalho africano.,opção pela policultura para garantir o povoamento ibérico.,fundação de cidades para controlar a circulação de riquezas.,2012,12,CH,E,portuguese,7,1.799,0.306,0.226,154
QUESTÃO 13,"Consta na Declaração de Direitos : Que é ilegal a faculdade que se atribui à autoridade real para suspender as leis ou seu cumprimento. Que é ilegal toda cobrança de impostos para a Coroa sem o concurso do Parlamento, sob pretexto de prerrogativa, ou em época e modo diferentes dos designados por ele próprio. Que é indispensável convocar com frequência os Parlamentos para satisfazer os agravos, assim como para corrigir, afirmar e conservar leis. No documento de 1689, identifica-se uma particularidade da Inglaterra diante dos demais Estados europeus na Época Moderna. A peculiaridade inglesa e o regime político que predominavam na Europa continental estão indicados, respectivamente, em:",Reduç ão da influência do papa – Teocracia.,Limitação do poder do soberano – Absolutismo.,Ampliação da dominação da nobreza – República.,Expansão da força do presidente – Parlamentarismo.,Restrição da competência do congresso – Presidencialismo.,2012,13,CH,B,portuguese,16,1.477,1.914,0.248,154
QUESTÃO 14,"Considere a seguinte descrição de uma imagem: em uma linha de produção em um galpão de fábrica, operários e operárias executam de forma simultânea a montagem de partes de equipamentos semelhantes. Na imagem do início do século XX, identifica-se um modelo produtivo cuja forma de organização fabril baseava-se na",autonomia do produtor direto.,adoção da divisão sexual do trabalho.,exploração do trabalho repetitivo.,utilização de empregados qualificados.,incentivo à criatividade dos funcionários.,2012,14,CH,C,portuguese,17,1.236,0.525,0.165,154
QUESTÃO 15,"A singularidade da questão da terra na África Colonial é a expropriação por parte do colonizador e as desigualdades raciais no acesso à terra. Após a independência, as populações de colonos brancos tenderam a diminuir, apesar de a proporção de terra em posse da minoria branca não ter diminuído proporcionalmente. Com base no texto, uma característica socioespacial e um consequente desdobramento que marcou o processo de ocupação do espaço rural na África subsaariana foram:",Exploração do campesinato pela elite proprietária – Domínio das instituições fundiárias pelo poder público.,Adoção de práticas discriminatórias de acesso à terra – Controle do uso especulativo da propriedade fundiária.,Desorganização da economia rural de subsistência – Crescimento do consumo interno de alimentos pelas famílias camponesas.,Crescimento dos assentamentos rurais com mão de obra familiar – Avanço crescente das áreas rurais sobre as regiões urbanas.,Concentração das áreas cultiváveis no setor agroexportador – Aumento da ocupação da população pobre em territórios agrícolas marginais.,2012,15,CH,E,portuguese,9,0.777,1.001,0.16,154
QUESTÃO 16,"TExTO I A Europa entrou em estado de exceção, personificado por obscuras forças econômicas sem rosto ou localização física conhecida que não prestam contas a ninguém e se espalham pelo globo por meio de milhões de transações diárias no ciberespaço. TExTO II Estamos imersos numa crise financeira como nunca tínhamos visto desde a Grande Depressão iniciada em 1929 nos Estados U nidos. A comparação entre os signifi cados da atual crise econômica e do crash de 1929 oculta a principal diferença entre essas duas crises, pois",o crash da Bolsa em 1929 adveio do envolvimento dos EUA na I Guerra Mundial e a atual crise é o resultado dos gastos militares desse país nas guerras do Afeganistão e Iraque.,a crise de 1929 ocorreu devido a um quadro de superprodução industrial nos EUA e a atual crise resultou da especulação financeira e da expansão desmedida do crédito bancário.,a crise de 1929 foi o resultado da concorrência dos países europeus reconstruídos após a I Guerra e a atual crise se associa à emergência dos BRICS como novos concorrentes econômicos.,o crash da Bolsa em 1929 resultou do excesso de proteções ao setor produtivo estadunidense e a atual crise tem origem na internacionalização das empresas e no avanço da política de livre mercado.,a crise de 1929 decorreu da política intervencionista norte-americana sobre o sistema de comércio mundial e a atual crise resultou do excesso de regulação do governo desse país sobre o sistema monetário.,2012,16,CH,B,portuguese,8,2.849,0.708,0.128,154
QUESTÃO 17,"TExTO I Em entrevista à revista IstoÉ , publicada em fevereiro de 2010, Joel Birman faz a seguinte afirmação: O que vemos no país é uma espécie de espraiamento e a manifestação da agressividade através da violência. Isso se desdobra de maneira evidente na criminalidade, que está presente em todos os redutos — seja nas áreas abandonadas pelo poder público, seja na política ou no futebol. O brasileiro não é mais violento do que outros povos, mas a fragilidade do exercício e do reconhecimento da cidadania e a ausência do Estado em vários territórios do país se impõem como um caldo de cultura no qual a agressividade e a violência fincam suas raízes. TExTO II No livro O processo civilizador , Nobert Elias escreve: Nenhuma sociedade pode sobreviver sem canalizar as pulsões e emoções do indivíduo, sem um controle muito específico de seu comportamento. Nenhum controle desse tipo é possível sem que as pessoas anteponham limitações umas às outras, e todas as limitações são convertidas, na pessoa a quem são impostas, em medo de um ou outro tipo. Considerando-se a dinâmica do processo civilizador, tal como descrito no Texto II, o argumento do Texto I acerca da violência e agressividade na sociedade brasileira expressa a",incompatibilidade entre os modos democráticos de convívio social e a presença de aparatos de controle policial.,manutenção de práticas repressivas herdadas dos períodos ditatoriais sob a forma de leis e atos administrativos.,inabilidade das forças militares em conter a violência decorrente das ondas migratórias nas grandes cidades brasileiras.,dificuldade histórica da sociedade brasileira em institucionalizar formas de controle social compatíveis com valores democráticos.,incapacidade das instituições político-legislativas em formular mecanismos de controle social específicos à realidade social brasileira.,2012,17,CH,D,portuguese,18,1.506,0.787,0.171,154
QUESTÃO 18,"Considere a seguinte descrição da imagem da capa da primeira edição da versão americana da revista em quadrinhos do Capitão América: a capa apresenta a imagem de vários militares com suásticas estampadas nos uniformes, em combate com o Capitão América, no momento em que ele aplica um soco no Fürer . Com sua entrada no universo dos gibis, o Capitão chegaria para apaziguar a agonia, o autoritarismo militar e combater a tirania. Claro que, em tempos de guerra, um gibi de um herói com uma bandeira americana no peito aplicando um sopapo no Fürer só poderia ganhar destaque, e o sucesso não demoraria muito a chegar. A capa da primeira edição norte-americana da revista do Capitão América demonstra sua associação com a participação dos Estados Unidos na luta contra","a Tríplice Aliança, na Primeira Guerra Mundial.","os regimes totalitários, na Segunda Guerra Mundial.","o poder soviético, durante a Guerra Fria.","o movimento comunista, na Guerra do Vietnã.","o terrorismo internacional, após 11 de setembro de 2001.",2012,18,CH,B,portuguese,24,1.351,2.032,0.199,154
QUESTÃO 19,"Considere a descrição da imagem de um cartaz da Revolução Constitucionalista de 1932, que estampa a frase “Abaixo a Dictadura” e ilustra três homens: à frente, um paulista com postura de desbravador, com chapéu, botas, calças largas e cinto, segura com uma das mãos um homem de estatura pequena, vestido com terno preto e camisa branca. Por trás deste paulista está um militar segurando a bandeira do estado de São Paulo. Elaborado pelos partidários da Revolução Constitucionalista de 1932, o cartaz apresentado pretendia mobilizar a população paulista contra o governo federal. Essa mobilização utilizou-se de uma referência histórica, associando o processo revolucionário","à experiência francesa, expressa no chamado à luta contra a ditadura.","aos ideais republicanos, indicados no destaque à bandeira paulista.","ao protagonismo das Forças Armadas, representadas pelo militar que empunha a bandeira.","ao bandeirantismo, símbolo paulista apresentado em primeiro plano.","ao papel figurativo de Vargas na política, enfatizado pela pequenez de sua figura no cartaz.",2012,19,CH,D,portuguese,19,1.973,0.658,0.121,154
QUESTÃO 20,"Em um artigo de jornal intitulado Defesa do patrimônio artístico e histórico , publicado em 1936, Mário de Andrade afirma: O que o projeto governamental tem em vista é poupar à Nação o prejuízo irreparável do perecimento e da evasão do que há de mais precioso no seu patrimônio. Grande parte das obras de arte até mais valiosas e dos bens de maior interesse histórico, de que a coletividade brasileira era depositária, têm desaparecido ou se arruinado irremediavelmente. As obras de arte típicas e as relíquias da história de cada país não constituem o seu patrimônio privado, e sim um patrimônio comum de todos os povos. A criação no Brasil do Serviço do Patrimônio Histórico Artístico Nacional (SPHAN), em 1937, foi orientada por ideias como as descritas no texto, que visavam","submeter a memória e o patrimônio nacional ao controle dos órgãos públicos, de acordo com a tendência autoritária do Estado Novo.","transferir para a iniciativa privada a responsabilidade de preservação do patrimônio nacional, por meio de leis de incentivo fiscal.","definir os fatos e personagens históricos a serem cultuados pela sociedade brasileira, de acordo com o interesse público.","resguardar da destruição as obras representativas da cultura nacional, por meio de políticas públicas preservacionistas.","determinar as responsabilidades pela destruição do patrimônio nacional, de acordo com a legislação brasileira.",2012,20,CH,D,portuguese,7,2.922,1.048,0.117,154
QUESTÃO 21,"A soma do tempo gasto por todos os navios de carga na espera para atracar no porto de Santos é igual a 11 anos — isso, contando somente o intervalo de janeiro a outubro de 2011. O problema não foi registrado somente neste ano. Desde 2006 a perda de tempo supera uma década. A situação descrita gera consequências em cadeia, tanto para a produção quanto para o transporte. No que se refere à territorialização da produção no Brasil contemporâneo, uma dessas consequências é a",realocação das exportações para o modal aéreo em função da rapidez.,dispersão dos serviços financeiros em função da busca de novos pontos de importação.,redução da exportação de gêneros agrícolas em função da dificuldade para o escoamento.,priorização do comércio com países vizinhos em função da existência de fronteiras terrestres.,estagnação da indústria de alta tecnologia em função da concentração de investimentos na infraestrutura de circulação.,2012,21,CH,C,portuguese,25,2.056,-0.595,0.192,154
QUESTÃO 22,"Considere uma foto, do final dos anos 1960, que mostra um protesto de jovens contra a Guerra do Vietnã. Nesta foto, uma jovem carrega um cartaz com os dizeres: “Amor e não guerra”. Nos anos que se seguiram à Segunda Guerra, movimentos como o Maio de 1968 ou a campanha contra a Guerra do Vietnã culminaram no estabelecimento de diferentes formas de participação política. Seus slogans, tais como “Quando penso em revolução quero fazer amor”, se tornaram símbolos da agitação cultural nos anos 1960, cuja inovação relacionava-se","à contestação da crise econômica europeia, que fora provocada pela manutenção das guerras coloniais.","à organização partidária da juventude comunista, visando o estabelecimento da ditadura do proletariado.","à unificação das noções de libertação social e libertação individual, fornecendo um significado político ao uso do corpo.","à defesa do amor cristão e monogâmico, com fins à reprodução, que era tomado como solução para os conflitos sociais.","ao reconhecimento da cultura das gerações passadas, que conviveram com a emergência do rock e outras mudanças nos costumes.",2012,22,CH,C,portuguese,23,2.619,1.173,0.156,154
QUESTÃO 23,"Nossa cultura lipofóbica muito contribui para a distorção da imagem corporal, gerando gordos que se veem magros e magros que se veem gordos, numa quase unanimidade de que todos se sentem ou se veem “distorcidos”. Engordamos quando somos gulosos. É pecado da gula que controla a relação do homem com a balança. Todo obeso declarou, um dia, guerra à balança. Para emagrecer é preciso fazer as pazes com a dita cuja, visando adequar-se às necessidades para as quais ela aponta. O texto apresenta um discurso de disciplinarização dos corpos, que tem como consequência","a ampliação dos tratamentos médicos alternativos, reduzindo os gastos com remédios.","a democratização do padrão de beleza, tornando-o acessível pelo esforço individual.","o controle do consumo, impulsionando uma crise econômica na indústria de alimentos.","a culpabilização individual, associando obesidade à fraqueza de caráter.","o aumento da longevidade, resultando no crescimento populacional.",2012,23,CH,D,portuguese,11,1.005,2.876,0.226,154
QUESTÃO 24,"TExTO I Anaxímenes de Mileto disse que o ar é o elemento originário de tudo o que existe, existiu e existirá, e que outras coisas provêm de sua descendência. Quando o ar se dilata, transforma-se em fogo, ao passo que os ventos são ar condensado. As nuvens formam-se a partir do ar por feltragem e, ainda mais condensadas, transformam-se em água. A água, quando mais condensada, transforma-se em terra, e quando condensada ao máximo possível, transforma- se em pedras. TExTO II Basílio Magno, filósofo medieval, escreveu: “Deus, como criador de todas as coisas, está no princípio do mundo e dos tempos. Quão parcas de conteúdo se nos apresentam, em face desta concepção, as especulações contraditórias dos filósofos, para os quais o mundo se origina, ou de algum dos quatro elementos, como ensinam os Jônios, ou dos átomos, como julga Demócrito. Na verdade, dão a impressão de quererem ancorar o mundo numa teia de aranha.” Filósofos dos diversos tempos históricos desenvolveram teses para explicar a origem do universo, a partir de uma explicação racional. As teses de Anaxímenes, filósofo grego antigo, e de Basílio, filósofo medieval, têm em comum na sua fundamentação teorias que",eram baseadas nas ciências da natureza.,refutavam as teorias de filósofos da religião.,tinham origem nos mitos das civilizações antigas.,postulavam um princípio originário para o mundo.,defendiam que Deus é o princípio de todas as coisas.,2012,24,CH,D,portuguese,14,1.512,1.567,0.109,154
