question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 46,"No Segundo Congresso Internacional de Ciências Geográficas, em 1875, a que compareceram o presidente da República, o governador de Paris e o presidente da Assembleia, o discurso inaugural do almirante La Roucière-Le Noury expôs a atitude predominante no encontro: “Cavalheiros, a Providência nos ditou a obrigação de conhecer e conquistar a terra. Essa ordem suprema é um dos deveres imperiosos inscritos em nossas inteligências e nossas atividades. A geografia, essa ciência que inspira tão bela devoção e em cujo nome foram sacrificadas tantas vítimas, tornou-se a filosofia da terra”. No contexto histórico apresentado, a exaltação da ciência geográfica decorre do seu uso para o(a)",preservação cultural dos territórios ocupados.,formação humanitária da sociedade europeia.,catalogação de dados úteis aos propósitos colonialistas.,desenvolvimento de técnicas matemáticas de construção de cartas.,consolidação do conhecimento topográfico como campo acadêmico.,2018,46,CH,C,portuguese
QUESTÃO 47,"Os Cavaleiros de Cristo A existência em Jerusalém de um hospital voltado para o alojamento e o cuidado dos peregrinos, assim como daqueles entre eles que estavam cansados ou doentes, fortaleceu o elo entre a obra de assistência e de caridade e a Terra Santa. Ao fazer, em 1113, do Hospital de Jerusalém um estabelecimento central da ordem, Pascoal II estimulava a filiação dos hospitalários do Ocidente a ele, sobretudo daqueles que estavam ligados à peregrinação na Terra Santa ou em outro lugar. A militarização do Hospital de Jerusalém não diminuiu a vocação caritativa primitiva, mas a fortaleceu. O acontecimento descrito vincula-se ao fenômeno ocidental do(a)","surgimento do monasticismo guerreiro, ocasionado pelas cruzadas.","descentralização do poder eclesiástico, produzida pelo feudalismo.","alastramento da peste bubônica, provocado pela expansão comercial.","afirmação da fraternidade mendicante, estimulada pela reforma espiritual.","criação das faculdades de medicina, promovida pelo renascimento urbano.",2018,47,CH,A,portuguese
QUESTÃO 48,"Na obra A sociedade contra o Estado , Pierre Clastres escreve: A tribo não possui um rei, mas um chefe que não é chefe de Estado. O que significa isso? Simplesmente que o chefe não dispõe de nenhuma autoridade, de nenhum poder de coerção, de nenhum meio de dar uma ordem. O chefe não é um comandante, as pessoas da tribo não têm nenhum dever de obediência. O espaço da chefia não é o lugar do poder. Essencialmente encarregado de eliminar conflitos que podem surgir entre indivíduos, famílias e linhagens, o chefe só dispõe, para restabelecer a ordem e a concórdia, do prestígio que lhe reconhece a sociedade. Mas evidentemente prestígio não significa poder, e os meios que o chefe detém para realizar sua tarefa de pacificador limitam-se ao uso exclusivo da palavra. O modelo político das sociedades discutidas no texto contrasta com o do Estado liberal burguês porque se baseia em:",Imposição ideológica e normas hierárquicas.,Determinação divina e soberania monárquica.,Intervenção consensual e autonomia comunitária.,Mediação jurídica e regras contratualistas.,Gestão coletiva e obrigações tributárias.,2018,48,CH,C,portuguese
QUESTÃO 49,"Na obra Elogio da filosofia , Merleau-Ponty escreve: O filósofo reconhece-se pela posse inseparável do gosto da evidência e do sentido da ambiguidade. Quando se limita a suportar a ambiguidade, esta se chama equívoco. Sempre aconteceu que, mesmo aqueles que pretenderam construir uma filosofia absolutamente positiva, só conseguiram ser filósofos na medida em que, simultaneamente, se recusaram o direito de se instalar no saber absoluto. O que caracteriza o filósofo é o movimento que leva incessantemente do saber à ignorância, da ignorância ao saber, e um certo repouso neste movimento. O texto apresenta um entendimento acerca dos elementos constitutivos da atividade do filósofo, que se caracteriza por",reunir os antagonismos das opiniões ao método dialético.,ajustar a clareza do conhecimento ao inatismo das ideias.,associar a certeza do intelecto à imutabilidade da verdade.,conciliar o rigor da investigação à inquietude do questionamento.,compatibilizar as estruturas do pensamento aos princípios fundamentais.,2018,49,CH,D,portuguese
QUESTÃO 50,"Esse ônibus relaciona-se ao ato praticado, em 1955, por Rosa Parks, apresentada em fotografia ao lado de Martin Luther King. O veículo alcançou o estatuto de obra museológica por si mbolizar o(a)",impacto do medo da corrida armamentista.,democratização do acesso à escola pública.,preconceito de gênero no transporte coletivo.,deflagração do movimento por igualdade civil.,eclosão da rebeldia no comportamento juvenil.,2018,50,CH,D,portuguese
QUESTÃO 51,"Na obra Suma Teológica , Tomás de Aquino escreve: Desde que tenhamos compreendido o significado da palavra “Deus”, sabemos, de imediato, que Deus existe. Com efeito, essa palavra designa uma coisa de tal ordem que não podemos conceber nada que lhe seja maior. Ora, o que existe na realidade e no pensamento é maior do que o que existe apenas no pensamento. Donde se segue que o objeto designado pela palavra “Deus”, que existe no pensamento, desde que se entenda essa palavra, também existe na realidade. Por conseguinte, a existência de Deus é evidente. O texto apresenta uma elaboração teórica de Tomás de Aquino caract erizada por",reiterar a ortodoxia religiosa contra os heréticos.,sustentar racionalmente doutrina alicerçada na fé.,explicar as virtudes teologais pela demonstração.,flexibilizar a interpretação oficial dos textos sagrados.,justificar pragm aticamente crença livre de dogmas.,2018,51,CH,B,portuguese
QUESTÃO 52,"TEXTO I Na obra Leviatã , Thomas Hobbes escreve: Tudo aquilo que é válido para um tempo de guerra, em que todo homem é inimigo de todo homem, é válido também para o tempo durante o qual os homens vivem sem outra segurança senão a que lhes pode ser oferecida por sua própria força e invenção. TEXTO II Na obra Discurso sobre a origem e o fundamento da desigualdade entre os homens , Jean-Jacques Rousseau escreve: Não vamos concluir, com Hobbes que, por não ter nenhuma ideia de bondade, o homem seja naturalmente mau. Esse autor deveria dizer que, sendo o estado de natureza aquele em que o cuidado de nossa conservação é menos prejudicial à dos outros, esse estado era, por conseguinte, o mais próprio à paz e o mais conveniente ao gênero humano. Os trechos apresen tam divergências conceituais entre autores que sustentam um entendimento segundo o qual a igualdade entre os homens se dá em razão de uma",predisposição ao conhecimento.,submissão ao transcendente.,tradição epistemológica.,condição original.,vocação política.,2018,52,CH,D,portuguese
QUESTÃO 53,"A globalização como reterritorialização Foi-s e o tempo em que era possível mostrar um mundo econômico organizado em camadas bem definidas, onde grandes centros urbanos se ligavam, por si próprios, a economias adjacentes “lentas”, com o ritmo muito mais rápido do comércio e das finanças de longo alcance. Hoje tudo ocorre como se essas camadas sobrepostas estivessem mescladas e interpermeadas. Interdependências de curto e longo alcance não podem mais ser separadas umas das outras. A maior complexidade dos espaços urbanos contemporâneos ressaltada no texto explica-se pela",expansão de áreas metropolitanas.,emancipação de novos municípios.,consolidação de domínios jurídicos.,articulação de redes multiescalares.,redefinição de regiões administrativa s. Descrição da Figura 1: Fotografia composta por um ônibus antigo exposto em um museu. Descrição da Figura 2: Fotografia em que Rosa Parks está ao lado de Martin Luther King.,2018,53,CH,D,portuguese
QUESTÃO 54,"TEXTO I Demonologia e colonização: séculos XVI-XVIII E pois que em outra cousa nesta parte me não posso vingar do demônio, admoesto da parte da cruz de Cristo Jesus a todos que este lugar lerem, que deem a esta terra o nome que com tanta solenidade lhe foi posto, sob pena de a mesma cruz que nos há de ser mostrada no dia final, os acusar de mais devotos do pau-brasil que dela. TEXTO II Cotidiano e vida privada na América portuguesa E deste modo se hão os povoadores, os quais, por mais arraigados que na terra estejam e mais ricos que sejam, tudo pretendem levar a Portugal, e, se as fazendas e bens que possuem souberam falar, também lhes houveram de ensinar a dizer como os papagaios, aos quais a primeira coisa que ensinam é: papagaio real para Portugal, porque tudo querem para lá. As críticas desses cronistas ao processo de colonização portuguesa na América estavam relacionadas à",utilização do trabalho escravo.,implantação de polos urbanos.,devastação de áreas naturais.,ocupação de terras indígenas.,expropriação de riquezas locais.,2018,54,CH,E,portuguese
QUESTÃO 55,"Cuba e os russos Os soviéticos tinham chegado a Cuba muito cedo na década de 1960, esgueirando-se pela fresta aberta pela imediata hostilidade norte-americana em relação ao processo social revolucionário. Durante três décadas os soviéticos mantiveram sua presença em Cuba com bases e ajuda militar, mas, sobretudo, com todo o apoio econômico que, como saberíamos anos mais tarde, mantinha o país à tona, embora nos deixasse em dívida com os irmãos soviéticos – e depois com seus herdeiros russos – por cifras que chegavam a 32 bilhões de dólares . Ou seja, o que era oferecido em nome da solidariedade socialista tinha um preço definido. O texto indica que durante a Guerra Fria as relações internas em um mesmo bloco foram marcadas pelo(a)",busca da neutralidade política.,estímulo à competição comercial.,subordinação à potência hegemônica.,elasticidade das fronteiras geográficas.,compartilhamento de pesquisas científicas.,2018,55,CH,C,portuguese
QUESTÃO 56,"Geografia da riqueza, fome e meio ambiente A fome não é um problema técnico, pois ela não se deve à falta de alimentos, isso porque a fome convive hoje com as condições materiais para resolvê-la. O texto demonstra que o problema alimentar apresentado tem uma dimensão política por estar associado ao(à)",escala de produtividade regional.,padrão de distribuição de renda.,dificuldade de armazenamento de grãos.,crescimento da população mundial.,custo de escoamento dos produtos.,2018,56,CH,B,portuguese
QUESTÃO 57,"A poetisa Emília Freitas subiu a um palanque, nervosa, pedindo desculpas por não possuir títulos nem conhecimentos, mas orgulhosa ofereceu a sua pena que “sem ser hábil, é, em compensação, guiada pelo poder da vontade”. Maria Tomásia pronunciava orações que levantavam os ouvintes. A escritora Francisca Clotilde arrebatava, declamando seus poemas. Aquelas “angélicas senhoras”, “heroínas da caridade”, levantavam dinheiro para comprar liberdades e usavam de seu entusiasmo a fim de convencer os donos de escravos a fazerem alforrias gratuitamente. As práticas culturais narradas remetem, historicamente, ao movimento",feminista.,sufragista.,socialista.,republicano.,abolicionista.,2018,57,CH,E,portuguese
