question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 46,"No império africano do Mali, no século XIV, Tombuctu foi centro de um comércio internacional onde tudo era negociado — sal, escravos, marﬁm etc. Havia também um grande comércio de livros de história, medicina, astronomia e matemática, além de grande concentração de estudantes. A importância cultural de Tombuctu pode ser percebida por meio de um velho provérbio: “O sal vem do norte, o ouro vem do sul, mas as palavras de Deus e os tesouros da sabedoria vêm de Tombuctu”. Uma explicação para o dinamismo dessa cidade e sua importância histórica no período mencionado era o(a)",isolamento geográﬁco do Saara ocidental.,exploração intensiva de recursos naturais.,posição relativa nas redes de circulação.,tráﬁco transatlântico de mão de obra servil.,competição econômica dos reinos da região.,2017,46,CH,C,portuguese
QUESTÃO 47,"Após a Declaração Universal dos Direitos Humanos pela ONU, em 1948, a Unesco publicou estudos de cientistas de todo o mundo que desqualiﬁcaram as doutrinas racistas e demonstraram a unidade do gênero humano. Desde então, a maioria dos próprios cientistas europeus passou a reconhecer o caráter discriminatório da pretensa superioridade racial do homem branco e a condenar as aberrações cometidas em seu nome. A posição assumida pela Unesco, a partir de 1948, foi motivada por acontecimentos então recentes, dentre os quais se destacava o(a)",ataque feito pelos japoneses à base militar americana de Pearl Harbor.,desencadeamento da Guerra Fria e de novas rivalidades entre nações.,morte de milhões de soldados nos combates da Segunda Guerra Mundial.,execução de judeus e eslavos presos em guetos e campos de concentração nazistas.,lançamento de bombas atômicas em Hiroshima e Nagasaki pelas forças norte-americanas.,2017,47,CH,D,portuguese
QUESTÃO 48,"A moralidade, Bentham exortava, não é uma questão de agradar a Deus, muito menos de ﬁdelidade a regras abstratas. A moralidade é a tentativa de criar a maior quantidade de felicidade possível neste mundo. Ao decidir o que fazer, deveríamos, portanto, perguntar qual curso de conduta promoveria a maior quantidade de felicidade para todos aqueles que serão afetados. Os parâmetros da ação indicados no texto estão em conformidade com uma",fundamentação cientíﬁca de viés positivista.,convenção social de orientação normativa.,transgressão comportamental religiosa.,racionalidade de caráter pragmático.,inclinação de natureza passional.,2017,48,CH,D,portuguese
QUESTÃO 49,"Fala-se muito nos dias de hoje em direitos do homem. Pois bem: foi no século XVIII — em 1789, precisamente — que uma Assembleia Constituinte produziu e proclamou em Paris a Declaração dos Direitos do Homem e do Cidadão. Essa Declaração se impôs como necessária para um grupo de revolucionários, por ter sido preparada por uma mudança no plano das ideias e das mentalidades: o Iluminismo. Correlacionando temporalidades históricas, o texto apresenta uma concepção de pensamento que tem como uma de suas bases a",modernização da educação escolar.,atualização da disciplina moral cristã.,divulgação de costumes aristocráticos.,socialização do conhecimento cientíﬁco.,universalização do princípio da igualdade civil.,2017,49,CH,E,portuguese
QUESTÃO 50,"Na Constituição da República Federativa do Brasil , de 1988, consta: Artigo 231. São reconhecidos aos índios sua organização social, costumes, línguas, crenças e tradições, e os direitos originários sobre as terras que tradicionalmente ocupam, competindo à União demarcá-las, proteger e fazer respeitar todos os seus bens. A persistência das reivindicações relativas à aplicação desse preceito normativo tem em vista a vinculação histórica fundamental entre",etnia e miscigenação racial.,sociedade e igualdade jurídica.,espaço e sobrevivência cultural.,progresso e educação ambiental.,bem-estar e modernização econômica.,2017,50,CH,C,portuguese
QUESTÃO 51,"Descrição da fotografia: É retratada uma mulher negra sentada, elegantemente vestida, adornada com joias e usando um xale, tendo encostado ao seu lado direito um menino branco, em pé, com a cabeça e a mão esquerda delicadamente apoiadas no seu ombro e a mão direita segurando seu braço; ambos estão posando para uma foto. A legenda informa: “Fotograﬁa de Augusto Gomes Leal e da ama de leite Mônica, cartão de visita de 1860”. A fotograﬁa, datada de 1860, é um indício da cultura escravista no Brasil, ao expressar a","ambiguidade do trabalho doméstico exercido pela ama de leite, desenvolvendo uma relação de proximidade e subordinação em relação aos senhores.","integração dos escravos aos valores das classes médias, cultivando a família como pilar da sociedade imperial.","melhoria das condições de vida dos escravos observada pela roupa luxuosa, associando o trabalho doméstico a privilégios para os cativos.","esfera da vida privada, centralizando a ﬁgura feminina para aﬁrmar o trabalho da mulher na educação letrada dos infantes.","distinção étnica entre senhores e escravos, demarcando a convivência entre estratos sociais como meio para superar a mestiçagem.",2017,51,CH,A,portuguese
QUESTÃO 52,"A conﬁguração do espaço urbano da região do Entorno do Distrito Federal assemelha-se às demais aglomerações urbanas e regiões metropolitanas do país, onde é facilmente identiﬁcável a constituição de um centro dinâmico e desenvolvido, onde se concentram as oportunidades de trabalho e os principais serviços, e a constituição de uma região periférica concentradora de população de baixa renda, com acesso restrito às principais atividades com capacidade de acumulação e produtividade, e aos serviços sociais e infraestrutura básica. A organização interna do aglomerado urbano descrito é resultado da ocorrência do processo de",expansão vertical.,polarização nacional.,emancipação municipal.,segregação socioespacial.,desregulamentação comercial.,2017,52,CH,D,portuguese
QUESTÃO 53,"México, Colômbia, Peru e Chile decidiram seguir um caminho mais curto para a integração regional. Os quatro países, em meados de 2012, criaram a Aliança do Pacífico e eliminaram, em 2013, as tarifas aduaneiras de 90 por cento do total de produtos comercializados entre suas fronteiras. O acordo descrito no texto teve como objetivo econômico para os países-membros",promover a livre circulação de trabalhadores.,fomentar a competitividade no mercado externo.,restringir investimentos de empresas multinacionais.,adotar medidas cambiais para subsidiar o setor agrícola.,reduzir a ﬁscalização alfandegária para incentivar o consumo.,2017,53,CH,B,portuguese
QUESTÃO 54,"Descrição da tabela: Indica a tipologia de áreas em relação ao percentual de chuva retida no local e ao percentual de chuva escoada, apresentando os seguintes dados: • Bacias naturais/florestas: com 80 a 100 por cento de chuva retida no local e 0 a 20 por cento de chuva escoada; • Bacias com ocupação agrícola/cultivos: com 40 a 60 por cento de chuva retida no local e 40 a 60 por cento de chuva escoada; • Bacias com ocupação residencial: com 40 a 50 por cento de chuva retida no local e 50 a 60 por cento de chuva escoada; • Bacias com ocupação urbana pesada: com 0 a 10 por cento de chuva retida no local e 90 a 100 por cento de chuva escoada. A leitura dos dados revela que as áreas com maior cobertura vegetal têm o potencial de intensiﬁcar o processo de",erosão laminar.,intemperismo físico.,enchente nas cidades.,compactação do solo.,recarga dos aquíferos.,2017,54,CH,E,portuguese
QUESTÃO 55,"O desgaste acelerado sempre existirá se o agricultor não tiver o devido cuidado de combater as causas, relacionadas a vários processos, tais como: empobrecimento químico e lixiviação provocados pelo esgotamento causado pelas colheitas e pela lavagem vertical de nutrientes da água que se inﬁltra no solo, bem como pela retirada de elementos nutritivos com as colheitas. Os nutrientes retirados, quando não repostos, são comumente substituídos por elementos tóxicos, como, por exemplo, o alumínio. A dinâmica ambiental exempliﬁcada no texto gera a seguinte consequência para o solo agricultável:",Elevação da acidez.,Ampliação da salinidade.,Formação de voçorocas.,Remoção da camada superior.,Intensiﬁcação do escoamento superﬁcial.,2017,55,CH,A,portuguese
QUESTÃO 56,"Os maiores consumidores da infraestrutura logística para exportação no Brasil são os produtos a granel, dentre os quais se destacam o minério de ferro, petróleo e seus derivados e a soja, que, por possuírem baixo valor agregado, e por serem movimentados em grandes volumes, necessitam de uma infraestrutura de grande porte e baixos custos. No caso da soja, a infraestrutura deixa muito a desejar, resultando em enormes ﬁlas de navios, caminhões e trens, que, por ﬁcarem grande parte do tempo ociosos nas ﬁlas, têm seu custo majorado, onerando fortemente o exportador, afetando sua margem de lucro e ameaçando nossa competitividade internacional. No contexto do início do século XXI, uma ação para solucionar os problemas logísticos da soja apresentados no texto seria a",isenção de impostos de transportes.,construção de terminais atracadouros.,diversiﬁcação dos parceiros comerciais.,contratação de trabalhadores portuários.,intensiﬁcação do policiamento das rodovias.,2017,56,CH,B,portuguese
QUESTÃO 57,"A diversidade de atividades relacionadas ao setor terciário reforça a tendência mais geral de desindustrialização de muitos dos países desenvolvidos sem que estes, contudo, percam o comando da economia. Essa mudança implica nova divisão internacional do trabalho, que não é mais apoiada na clara segmentação setorial das atividades econômicas. Nesse contexto, o fenômeno descrito tem como um de seus resultados a",saturação do setor secundário.,ampliação dos direitos laborais.,bipolarização do poder geopolítico.,consolidação do domínio tecnológico.,primarização das exportações globais.,2017,57,CH,D,portuguese
QUESTÃO 58,"Muitos países se caracterizam por terem populações multiétnicas. Com frequência, evoluíram desse modo ao longo de séculos. Outras sociedades se tornaram multiétnicas mais rapidamente, como resultado de políticas incentivando a migração, ou por conta de legados coloniais e imperiais. Do ponto de vista do funcionamento das democracias contemporâneas, o modelo de sociedade descrito demanda, simultaneamente,",defesa do patriotismo e rejeição ao hibridismo.,universalização de direitos e respeito à diversidade.,segregação do território e estímulo ao autogoverno.,políticas de compensação e homogeneização do idioma.,padronização da cultura e repressão aos particularismos.,2017,58,CH,B,portuguese
