question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 136,"Numa atividade de treinamento realizada no Exército de um determinado país, três equipes – Alpha, Beta e Gama – foram designadas a percorrer diferentes caminhos, todos com os mesmos pontos de partida e de chegada. • A equipe Alpha realizou seu percurso em 90 minutos com uma velocidade média de 6,0 quilômetros por hora. • A equipe Beta também percorreu sua trajetória em 90 minutos, mas sua velocidade média foi de 5,0 quilômetros por hora. • Com uma velocidade média de 6,5 quilômetros por hora , a equipe Gama concluiu seu caminho em 60 minutos. Com base nesses dados, foram comparadas as distâncias dBeta ; dAlpha e dGama percorridas pelas três equipes. A ordem das distâncias percorridas pelas equipes Alpha, Beta e Gama é",dGama menor que dBeta menor que dAlpha.,dAlpha igual a dBeta menor que dGama.,dGama menor que dBeta igual a dAlpha.,dBeta menor que dAlpha menor que dGama.,dGama menor que dAlpha menor que dBeta.,2018,136,MT,A,portuguese
QUESTÃO 137,"O colesterol total de uma pessoa é obtido pela soma da taxa do seu “colesterol bom” com a taxa do seu “colesterol ruim”. Os exames periódicos, realizados em um paciente adulto, apresentaram taxa normal de “colesterol bom”, porém, taxa do “colesterol ruim” (também chamado LDL) de 280 miligramas por decilitro . O quadro apresenta uma classificação de acordo com as taxas de LDL em adultos. Descrição do quadro: Quadro intitulado “Taxa de LDL (miligrama por decilitro)” com as seguintes informações: Ótima: menor do que 100. Próxima de ótima: de 100 a 129.Limite: de 130 a 159. Alta: de 160 a 189. Muito alta: 190 ou mais. O paciente, seguindo as recomendações médicas sobre estilo de vida e alimentação, realizou o exame logo após o primeiro mês, e a taxa de LDL reduziu 25 por cento. No mês seguinte, realizou novo exame e constatou uma redução de mais 20 por cento na taxa de LDL. De acordo com o resultado do segundo exame, a classificação da taxa de LDL do paciente é",ótima.,próxima de ótima.,limite.,alta.,muito alta.,2018,137,MT,D,portuguese
QUESTÃO 138,"Uma empresa deseja iniciar uma campanha publicitária divulgando uma promoção para seus possíveis consumidores. Para esse tipo de campanha, os meios mais viáveis são a distribuição de panfletos na rua e anúncios na rádio local. Considera-se que a população alcançada pela distribuição de panfletos seja igual à quantidade de panfletos distribuídos, enquanto que a alcançada por um anúncio na rádio seja igual à quantidade de ouvintes desse anúncio. O custo de cada anúncio na rádio é de R$ 120,00, e a estimativa é de que seja ouvido por 1 500 pessoas. Já a produção e a distribuição dos panfletos custam R$ 180,00 cada 1 000 unidades. Considerando que cada pessoa será alcançada por um único desses meios de divulgação, a empresa pretende investir em ambas as mídias. Considere X e Y os valores (em real) gastos em anúncios na rádio e com panfletos, respectivamente. O número de pessoas alcançadas pela campanha será dado pela expressão","fração de numerador 50 vezes X e denominador 4, mais fração de numerador 50 vezes Y e denominador 9.","fração de numerador 50 vezes X e denominador 9, mais fração de numerador 50 vezes Y e denominador 4.","fração de numerador 4 vezes X e denominador 50, mais fração de numerador 4 vezes Y e denominador 50.","fração de numerador 50 e denominador 4 vezes X, mais fração de numerador 50 e denominador 9 vezes Y .","fração de numerador 50 e denominador 9 vezes X, mais fração de numerador 50 vezes Y e denominador 4 vezes Y .",2018,138,MT,A,portuguese
QUESTÃO 139,"O remo de assento deslizante é um esporte que faz uso de um barco e dois remos do mesmo tamanho. A figura mostra uma das posições de uma técnica chamada afastamento. Descrição da figura: Figura de um barco com uma pessoa no interior segurando, com as mãos juntas, dois remos de mesmo tamanho. Um ponto A indica o ponto de encontro das extremidades dos dois remos; um ponto B e um ponto C indicam as outras extremidades de cada remo. Nessa posição, os dois remos se encontram no ponto",e suas outras extremidades estão indicadas pelos pontos,e,". Esses três pontos formam um triângulo ABC cujo ângulo BÂC tem medida de 170 graus. O tipo de triângulo com vértices nos pontos A , B e C , no momento em que o remador está nessa posição, é A retângulo escaleno. B acutângulo escaleno. C acutângulo isósceles.",obtusângulo escaleno.,obtusângulo isósceles.,2018,139,MT,E,portuguese
QUESTÃO 140,"Um rapaz estuda em uma escola que fica longe de sua casa, e por isso precisa utilizar o transporte público. Como é muito observador, todos os dias ele anota a hora exata (sem considerar os segundos) em que o ônibus passa pelo ponto de espera. Também notou que nunca consegue chegar ao ponto de ônibus antes de 6 horas e 15 minutos da manhã. Analisando os dados coletados durante o mês de fevereiro, o qual teve 21 dias letivos, ele concluiu que 6 horas e 21 minutos foi o que mais se repetiu, e que a mediana do conjunto de dados é 6 horas e 22 minutos. A probabilidade de que, em algum dos dias letivos de fevereiro, esse rapaz tenha apanhado o ônibus antes de 6 horas e 21 minutos da manhã é, no máximo,",fração de numerador 4 e denominador 21.,fração de numerador 5 e denominador 21.,fração de numerador 6 e denominador 21.,fração de numerador 7 e denominador 21.,fração de numerador 8 e denominador 21.,2018,140,MT,D,portuguese
QUESTÃO 141,"Um mapa é a representação reduzida e simplificada de uma localidade. Essa redução, que é feita com o uso de uma escala, mantém a proporção do espaço representado em relação ao espaço real. Certo mapa tem escala 1 para 58 000 000. Considere que, nesse mapa, o segmento de reta que liga o navio à marca do tesouro meça 7,6 centímetros. A medida real, em quilômetro, desse segmento de reta é",4 408.,7 632.,44 080.,76 316.,440 800.,2018,141,MT,A,portuguese
QUESTÃO 142,"Um produtor de milho utiliza uma área de 160 hectares para as suas atividades agrícolas. Essa área é dividida em duas partes: uma de 40 hectares, com maior produtividade, e outra, de 120 hectares, com menor produtividade.  A produtividade é dada pela razão entre a produção, em tonelada, e a área cultivada. Sabe-se que a área de  40 hectares tem produtividade igual a 2,5 vezes à da outra. Esse fazendeiro pretende aumentar sua produção total em 15 por cento, aumentando o tamanho da sua propriedade. Para tanto, pretende comprar uma parte de uma fazenda vizinha, que possui a mesma produtividade da parte de 120 hectares de suas terras. Qual é a área mínima, em hectare, que o produtor precisará comprar?",36,33,27,24,21,2018,142,MT,B,portuguese
QUESTÃO 143,"A raiva é uma doença viral e infecciosa, transmitida por mamíferos. A campanha nacional de vacinação antirrábica tem o objetivo de controlar a circulação do vírus da raiva canina e felina, prevenindo a raiva humana. O gráfico mostra a cobertura (porcentagem de vacinados) da campanha, em cães, nos anos de 2013, 2015 e 2017, no município de Belo Horizonte, em Minas Gerais. Os valores das coberturas dos anos de 2014 e 2016 não estão informados no gráfico e deseja-se estimá-los. Para tal, levou-se em consideração que a variação na cobertura de vacinação da campanha antirrábica, nos períodos de 2013 a 2015 e de 2015 a 2017, deu-se de forma linear. Descrição do gráfico: 2013: 67 por cento; um segmento de reta inclinado para baixo sai de 67 por cento e chega a 59 por cento. 2014: não representado.2015: 59 por cento; um segmento de reta inclinado para cima sai de 59 por cento e chega a 61 por cento. 2016: não representado.2017: 61 por cento. Qual teria sido a cobertura dessa campanha no ano de 2014?","62,3 por cento.","63,0 por cento.","63,5 por cento.","64,0 por cento.","65,5 por cento.",2018,143,MT,B,portuguese
QUESTÃO 144,"Uma empresa de comunicação tem a tarefa de elaborar um material publicitário de um estaleiro para divulgar um novo navio, equipado com um guindaste de 15 metros de altura e uma esteira de 90 metros de comprimento. No desenho desse navio, a representação do guindaste deve ter sua altura entre 0,5 centímetro e 1 centímetro, enquanto a esteira deve apresentar comprimento superior a 4 centímetros. Todo o desenho deverá ser feito em uma escala 1 para X. Os valores possíveis para X são, apenas,",X maior que 1 500.,X menor que 3 000.,1 500 menor que X menor que  2 250.,1 500 menor que X menor que 3 000.,2 250 menor que X menor que 3 000.,2018,144,MT,C,portuguese
QUESTÃO 145,"Em 2014 foi inaugurada a maior roda-gigante do mundo, a High Roller , situada em Las Vegas. A figura representa um esboço dessa roda-gigante, no qual o ponto","representa uma de suas cadeiras: Descrição da figura: A figura representa um círculo dividido em doze raios. O centro está marcado com a letra O e a extremidade de um raio horizontal à direita está com a letra A, que representa uma cadeira. Um segmento perpendicular vai do centro do círculo até o solo. Uma seta indica que o movimento é anti-horário. A partir da posição indicada, em que o segmento OA  se encontra paralelo ao plano do solo, rotaciona-se a High Roller no sentido anti-horário, em torno do ponto O . Sejam t o ângulo determinado pelo segmento OA em relação à sua posição inicial, e f a função que descreve a altura do ponto A , em relação ao solo, em função de t . Após duas voltas completas, f tem o seguinte gráfico: A expressão da função altura é dada por A f de t é igual a 80 vezes seno de t mais 88.",f de t é igual a 80 vezes cosseno de t mais 88.,f de t é igual a 88 vezes cosseno de t mais 168.,f de t é igual a 168 vezes seno de t mais 88 vezes cosseno de t .,"f de t é igual a 88 vezes seno de t mais 168 vezes cosseno de t . Descrição do gráfico: No eixo horizontal, que representa tempo em radianos, estão marcados os pontos zero, pi sobre dois, dois pi e quatro pi. No eixo vertical, que representa f em metro, estão marcados os pontos 0, 88 e 168. Uma curva começa no ponto (0 ; 88) e sobe até o ponto (pi sobre 2 ; 168); a partir desse ponto, desce até perto do eixo horizontal e sobe passando pelo ponto (2pi ; 88), sobe até o ponto de ordenada 168, desce até perto do eixo horizontal e sobe até o ponto (4pi ; 88).",2018,145,MT,A,portuguese
QUESTÃO 146,"Os compositores Pedro, Ricardo e Carlos gravaram um disco com 18 músicas inéditas. Pedro participou da composição de seis músicas, Ricardo participou da composição de oito músicas e Carlos compôs sozinho o restante das músicas. Além disso, Carlos foi parceiro em um terço das músicas compostas por Pedro e em metade das músicas compostas por Ricardo. O número racional que expressa a participação de Carlos na composição das músicas desse disco é",fração de numerador 5 e denominador 9.,fração de numerador 5 e denominador 7.,fração de numerador 1 e denominador 3.,fração de numerador 2 e denominador 7.,fração de numerador 2 e denominador 9.,2018,146,MT,A,portuguese
QUESTÃO 147,"De acordo com um relatório recente da Agência Internacional de Energia (AIE), o mercado de veículos elétricos atingiu um novo marco em 2016, quando foram vendidos mais de 750 mil automóveis da categoria. Com isso, o total de carros elétricos vendidos no mundo alcançou a marca de 2 milhões de unidades desde que os primeiros modelos começaram a ser comercializados em 2011. No Brasil, a expansão das vendas também se verifica. A marca A, por exemplo, expandiu suas vendas no ano de 2016, superando em 360 unidades as vendas de 2015, conforme representado no gráfico. A média anual do número de carros vendidos pela marca A, nos anos representados no gráfico, foi de",192.,240.,252.,320.,420.,2018,147,MT,D,portuguese
QUESTÃO 148,"Para apagar os focos A e B de um incêndio, que estavam a uma distância de 30 metros um do outro, os bombeiros de um quartel decidiram se posicionar de modo que a distância de um bombeiro ao foco A, de temperatura mais elevada, fosse sempre o dobro da distância desse bombeiro ao foco B, de temperatura menos elevada. Nestas condições, a maior distância, em metro, que dois bombeiros poderiam ter entre eles é",30.,40.,45.,60.,68.,2018,148,MT,B,portuguese
QUESTÃO 149,"Torneios de tênis, em geral, são disputados em sistema de eliminatória simples. Nesse sistema, são disputadas partidas entre dois competidores, com a eliminação do perdedor e promoção do vencedor para a fase seguinte. Dessa forma, se na primeira fase o torneio conta com 2 n competidores, então na segunda fase restarão n competidores, e assim sucessivamente até a partida final. Em um torneio de tênis, disputado nesse sistema, participam 128 tenistas. Para se definir o campeão desse torneio, o número de partidas necessárias é dado por",2 × 128,64 + 32 + 16 + 8 + 4 + 2,128 + 64 + 32 + 16 + 8 + 4 + 2 + 1,128 + 64 + 32 + 16 + 8 + 4 + 2,64 + 32 + 16 + 8 + 4 + 2 + 1,2018,149,MT,E,portuguese
QUESTÃO 150,"O artigo 33 da lei brasileira sobre drogas prevê a pena de reclusão de 5 a 15 anos para qualquer pessoa que seja condenada por tráfico ilícito ou produção não autorizada de drogas. Entretanto, caso o condenado seja réu primário, com bons antecedentes criminais, essa pena pode sofrer uma redução de um sexto a dois terços. Suponha que um réu primário, com bons antecedentes criminais, foi condenado pelo artigo 33 da lei brasileira sobre drogas. Após o benefício da redução de pena, sua pena poderá variar de",1 ano e 8 meses a 12 anos e 6 meses.,1 ano e 8 meses a 5 anos.,3 anos e 4 meses a 10 anos.,4 anos e 2 meses a 5 anos.,"4 anos e 2 meses a 12 anos e 6 meses. Descrição do gráfico: O eixo horizontal representa o número de carros e o eixo vertical, o ano. 2014: desenho de um carro. 2015: desenho de dois carros.2016: desenho de cinco carros.",2018,150,MT,anulada,portuguese
