question,answer,test
1,A,english
1,E,spanish
2,A,spanish
2,B,english
3,A,spanish
3,B,english
4,C,spanish
4,C,english
5,A,spanish
5,A,english
6,E,
7,D,
8,C,
9,A,
10,C,
11,D,
12,C,
13,A,
14,D,
15,A,
16,E,
17,B,
18,B,
19,B,
20,D,
21,E,
22,B,
23,B,
24,A,
25,C,
26,E,
27,A,
28,D,
29,C,
30,E,
31,B,
32,D,
33,D,
34,A,
35,C,
36,E,
37,E,
38,D,
39,D,
40,D,
41,B,
42,C,
43,D,
44,B,
45,D,
46,B,
47,B,
48,B,
49,A,
50,A,
51,E,
52,E,
53,C,
54,B,
55,B,
56,A,
57,B,
58,E,
59,E,
60,C,
61,E,
62,B,
63,A,
64,A,
65,E,
66,A,
67,D,
68,B,
69,C,
70,A,
71,C,
72,A,
73,E,
74,A,
75,B,
76,E,
77,D,
78,D,
79,E,
80,B,
81,B,
82,B,
83,A,
84,D,
85,B,
86,C,
87,B,
88,A,
89,D,
90,C,
