question,answer,test
1,B,english
1,B,spanish
2,D,spanish
2,B,english
3,A,spanish
3,E,english
4,C,spanish
4,D,english
5,A,spanish
5,A,english
6,C,
7,B,
8,A,
9,B,
10,A,
11,E,
12,C,
13,B,
14,B,
15,C,
16,C,
17,A,
18,D,
19,C,
20,E,
21,B,
22,D,
23,B,
24,B,
25,C,
26,D,
27,D,
28,E,
29,E,
30,A,
31,A,
32,A,
33,D,
34,D,
35,B,
36,E,
37,C,
38,D,
39,E,
40,C,
41,A,
42,A,
43,E,
44,C,
45,D,
46,C,
47,B,
48,A,
49,B,
50,A,
51,D,
52,B,
53,B,
54,C,
55,E,
56,E,
57,E,
58,B,
59,C,
60,B,
61,A,
62,D,
63,C,
64,B,
65,E,
66,E,
67,D,
68,B,
69,B,
70,E,
71,A,
72,D,
73,B,
74,B,
75,A,
76,C,
77,D,
78,B,
79,B,
80,A,
81,C,
82,C,
83,C,
84,C,
85,A,
86,D,
87,A,
88,C,
89,A,
90,C,
