question,answer,test
91,A,
92,E,
93,E,
94,A,
95,D,
96,A,
97,B,
98,A,
99,B,
100,A,
101,C,
102,C,
103,B,
104,A,
105,C,
106,B,
107,A,
108,C,
109,C,
110,B,
111,E,
112,E,
113,D,
114,A,
115,A,
116,E,
117,D,
118,E,
119,A,
120,C,
121,D,
122,A,
123,A,
124,C,
125,D,
126,D,
127,C,
128,C,
129,A,
130,E,
131,B,
132,A,
133,C,
134,E,
135,E,
136,B,
137,B,
138,C,
139,D,
140,E,
141,D,
142,B,
143,C,
144,B,
145,E,
146,B,
147,D,
148,B,
149,B,
150,E,
151,A,
152,B,
153,E,
154,D,
155,B,
156,A,
157,D,
158,B,
159,B,
160,D,
161,C,
162,A,
163,D,
164,A,
165,C,
166,B,
167,C,
168,B,
169,D,
170,A,
171,C,
172,A,
173,D,
174,B,
175,B,
176,C,
177,C,
178,E,
179,D,
180,E,
