question,answer,test
1,B,english
1,B,spanish
2,A,spanish
2,D,english
3,A,spanish
3,B,english
4,A,spanish
4,B,english
5,E,spanish
5,A,english
6,A,
7,A,
8,E,
9,C,
10,B,
11,B,
12,E,
13,A,
14,A,
15,C,
16,A,
17,A,
18,A,
19,C,
20,E,
21,A,
22,C,
23,B,
24,C,
25,A,
26,C,
27,C,
28,C,
29,E,
30,D,
31,E,
32,D,
33,A,
34,D,
35,B,
36,D,
37,B,
38,E,
39,E,
40,D,
41,D,
42,A,
43,C,
44,C,
45,C,
46,A,
47,B,
48,C,
49,D,
50,C,
51,B,
52,D,
53,A,
54,C,
55,D,
56,A,
57,E,
58,A,
59,C,
60,E,
61,E,
62,C,
63,A,
64,B,
65,A,
66,D,
67,B,
68,E,
69,A,
70,B,
71,A,
72,D,
73,E,
74,B,
75,A,
76,A,
77,B,
78,C,
79,D,
80,C,
81,A,
82,B,
83,A,
84,D,
85,C,
86,D,
87,A,
88,A,
89,D,
90,E,
