question,answer,test
1,E,
2,E,
3,D,
4,B,
5,E,
6,C,
7,E,
8,A,
9,D,
10,A,
11,A,
12,B,
13,D,
14,C,
15,A,
16,C,
17,C,
18,E,
19,D,
20,C,
21,E,
22,D,
23,B,
24,B,
25,A,
26,C,
27,C,
28,D,
29,E,
30,C,
31,B,
32,A,
33,A,
34,D,
35,A,
36,D,
37,B,
38,D,
39,D,
40,B,
41,A,
42,A,
43,E,
44,A,
45,B,
46,A,
47,C,
48,E,
49,C,
50,D,
51,D,
52,C,
53,A,
54,B,
55,E,
56,C,
57,B,
58,E,
59,C,
60,B,
61,B,
62,A,
63,C,
64,A,
65,E,
66,E,
67,E,
68,D,
69,A,
70,B,
71,D,
72,E,
73,D,
74,A,
75,D,
76,D,
77,B,
78,B,
79,E,
80,B,
81,D,
82,B,
83,C,
84,B,
85,A,
86,D,
87,C,
88,A,
89,D,
90,C,
