question,answer,test
91,D,
92,A,
93,D,
94,C,
95,C,
96,E,
97,B,
98,B,
99,C,
100,C,
101,A,
102,C,
103,B,
104,E,
105,E,
106,B,
107,E,
108,E,
109,B,
110,A,
111,C,
112,B,
113,C,
114,D,
115,D,
116,D,
117,D,
118,A,
119,D,
120,B,
121,C,
122,B,
123,B,
124,C,
125,E,
126,A,
127,E,
128,A,
129,D,
130,E,
131,A,
132,D,
133,A,
134,A,
135,E,
136,D,
137,B,
138,E,
139,B,
140,A,
141,C,
142,A,
143,B,
144,C,
145,D,
146,B,
147,A,
148,B,
149,E,
150,C,
151,E,
152,E,
153,E,
154,D,
155,C,
156,B,
157,D,
158,C,
159,C,
160,E,
161,D,
162,C,
163,D,
164,A,
165,B,
166,E,
167,D,
168,A,
169,A,
170,D,
171,D,
172,D,
173,E,
174,C,
175,A,
176,C,
177,A,
178,E,
179,C,
180,B,
