question,answer,test
1,D,spanish
1,A,english
2,D,spanish
2,B,english
3,E,spanish
3,E,english
4,D,spanish
4,E,english
5,A,spanish
5,E,english
6,E,
7,B,
8,E,
9,B,
10,E,
11,E,
12,E,
13,C,
14,D,
15,E,
16,A,
17,A,
18,A,
19,E,
20,B,
21,A,
22,D,
23,D,
24,C,
25,A,
26,D,
27,E,
28,A,
29,B,
30,D,
31,A,
32,B,
33,C,
34,C,
35,D,
36,B,
37,D,
38,D,
39,A,
40,B,
41,C,
42,E,
43,C,
44,C,
45,A,
46,D,
47,C,
48,B,
49,A,
50,E,
51,D,
52,D,
53,B,
54,D,
55,B,
56,C,
57,E,
58,E,
59,C,
60,B,
61,A,
62,A,
63,B,
64,A,
65,C,
66,A,
67,A,
68,D,
69,E,
70,D,
71,C,
72,B,
73,E,
74,A,
75,E,
76,A,
77,E,
78,D,
79,C,
80,E,
81,E,
82,C,
83,D,
84,A,
85,B,
86,C,
87,E,
88,C,
89,D,
90,E,
