question,answer,test
1,D,english
1,E,spanish
2,D,spanish
2,D,english
3,B,spanish
3,C,english
4,E,spanish
4,D,english
5,E,spanish
5,E,english
6,B,
7,D,
8,A,
9,E,
10,D,
11,A,
12,A,
13,B,
14,C,
15,E,
16,C,
17,D,
18,A,
19,E,
20,B,
21,A,
22,D,
23,E,
24,D,
25,E,
26,D,
27,B,
28,B,
29,B,
30,D,
31,E,
32,A,
33,B,
34,B,
35,C,
36,C,
37,A,
38,B,
39,A,
40,A,
41,E,
42,D,
43,D,
44,C,
45,B,
46,C,
47,D,
48,D,
49,E,
50,C,
51,A,
52,D,
53,B,
54,E,
55,A,
56,B,
57,D,
58,B,
59,E,
60,D,
61,A,
62,E,
63,C,
64,A,
65,E,
66,B,
67,D,
68,A,
69,E,
70,B,
71,A,
72,E,
73,D,
74,B,
75,D,
76,B,
77,B,
78,A,
79,E,
80,C,
81,D,
82,A,
83,E,
84,B,
85,C,
86,C,
87,C,
88,C,
89,D,
90,E,
