question,answer,test
1,B,english
1,B,spanish
2,B,spanish
2,B,english
3,C,spanish
3,D,english
4,D,spanish
4,E,english
5,B,spanish
5,C,english
6,C,
7,E,
8,C,
9,B,
10,A,
11,B,
12,D,
13,B,
14,E,
15,D,
16,A,
17,C,
18,D,
19,D,
20,B,
21,B,
22,B,
23,E,
24,A,
25,D,
26,E,
27,C,
28,A,
29,C,
30,E,
31,D,
32,B,
33,E,
34,B,
35,A,
36,B,
37,C,
38,B,
39,E,
40,A,
41,E,
42,C,
43,A,
44,D,
45,A,
46,C,
47,A,
48,C,
49,D,
50,D,
51,B,
52,D,
53,D,
54,E,
55,C,
56,B,
57,E,
58,D,
59,E,
60,E,
61,E,
62,B,
63,C,
64,E,
65,A,
66,E,
67,E,
68,C,
69,B,
70,B,
71,E,
72,B,
73,E,
74,D,
75,B,
76,E,
77,D,
78,E,
79,C,
80,B,
81,E,
82,B,
83,D,
84,C,
85,A,
86,A,
87,B,
88,C,
89,D,
90,E,
