question,answer,test
91,B,
92,C,
93,B,
94,B,
95,E,
96,B,
97,A,
98,A,
99,E,
100,D,
101,D,
102,C,
103,B,
104,D,
105,A,
106,D,
107,E,
108,E,
109,B,
110,A,
111,D,
112,E,
113,C,
114,D,
115,C,
116,B,
117,C,
118,D,
119,A,
120,A,
121,E,
122,A,
123,B,
124,C,
125,E,
126,E,
127,A,
128,A,
129,E,
130,C,
131,D,
132,C,
133,C,
134,D,
135,A,
136,C,
137,C,
138,E,
139,C,
140,E,
141,E,
142,C,
143,D,
144,A,
145,D,
146,B,
147,B,
148,D,
149,B,
150,B,
151,D,
152,B,
153,A,
154,E,
155,B,
156,D,
157,D,
158,A,
159,B,
160,E,
161,C,
162,B,
163,D,
164,C,
165,C,
166,D,
167,E,
168,D,
169,B,
170,B,
171,A,
172,C,
173,A,
174,E,
175,A,
176,D,
177,A,
178,E,
179,A,
180,C,
