question,answer,test
91,E,
92,A,
93,B,
94,D,
95,E,
96,D,
97,E,
98,B,
99,E,
100,C,
101,C,
102,A,
103,B,
104,E,
105,A,
106,A,
107,A,
108,D,
109,E,
110,C,
111,E,
112,C,
113,A,
114,C,
115,D,
116,B,
117,E,
118,A,
119,D,
120,C,
121,C,
122,C,
123,D,
124,B,
125,E,
126,E,
127,A,
128,C,
129,C,
130,D,
131,A,
132,C,
133,anulada,
134,D,
135,B,
136,D,
137,A,
138,D,
139,E,
140,A,
141,D,
142,C,
143,E,
144,A,
145,E,
146,B,
147,D,
148,B,
149,B,
150,A,
151,E,
152,D,
153,A,
154,E,
155,B,
156,B,
157,E,
158,C,
159,A,
160,B,
161,C,
162,C,
163,A,
164,E,
165,C,
166,B,
167,A,
168,D,
169,A,
170,B,
171,C,
172,E,
173,D,
174,B,
175,D,
176,A,
177,C,
178,D,
179,B,
180,E,
