question,answer,test
91,D,
92,D,
93,E,
94,C,
95,D,
96,B,
97,E,
98,A,
99,C,
100,C,
101,A,
102,E,
103,B,
104,E,
105,A,
106,E,
107,B,
108,B,
109,C,
110,C,
111,D,
112,D,
113,C,
114,B,
115,D,
116,D,
117,A,
118,C,
119,B,
120,E,
121,A,
122,C,
123,E,
124,A,
125,B,
126,C,
127,E,
128,A,
129,B,
130,E,
131,D,
132,A,
133,D,
134,B,
135,A,
136,B,
137,E,
138,E,
139,D,
140,A,
141,E,
142,A,
143,B,
144,D,
145,D,
146,C,
147,E,
148,B,
149,D,
150,B,
151,A,
152,A,
153,A,
154,A,
155,A,
156,C,
157,anulada,
158,C,
159,B,
160,C,
161,C,
162,C,
163,B,
164,C,
165,C,
166,D,
167,B,
168,D,
169,E,
170,E,
171,C,
172,B,
173,D,
174,C,
175,A,
176,B,
177,E,
178,E,
179,C,
180,D,
