question,answer,test
91,D,
92,C,
93,D,
94,anulada,
95,D,
96,C,
97,C,
98,A,
99,E,
100,B,
101,A,
102,D,
103,C,
104,B,
105,A,
106,A,
107,E,
108,A,
109,C,
110,C,
111,B,
112,C,
113,E,
114,D,
115,D,
116,C,
117,B,
118,D,
119,D,
120,D,
121,A,
122,E,
123,D,
124,D,
125,C,
126,D,
127,E,
128,C,
129,C,
130,E,
131,D,
132,B,
133,D,
134,D,
135,D,
136,B,
137,A,
138,E,
139,C,
140,D,
141,B,
142,B,
143,anulada,
144,C,
145,C,
146,C,
147,B,
148,D,
149,B,
150,A,
151,C,
152,C,
153,D,
154,B,
155,E,
156,E,
157,E,
158,B,
159,C,
160,C,
161,A,
162,B,
163,B,
164,C,
165,C,
166,A,
167,C,
168,E,
169,A,
170,C,
171,C,
172,E,
173,D,
174,B,
175,C,
176,A,
177,B,
178,C,
179,D,
180,A,
